subID TrialNo Threat(1)/Safe(2) Fractal CodeOutcomeRightSide CodeOutcomeWrongSide CodeOutcomeNoPress ActualOutcome Circleside(1Left2Right) response Accuracy rt 
248 1 1 3 1 1 0 1 1 1 0 3.369040e-01 
248 2 1 1 0 1 1 0 1 1 1 5.296710e-01 
248 3 1 4 -1 -1 0 -1 1 1 0 4.093786e-01 
248 4 1 4 -1 -1 0 0 2 0 1 NaN 
248 5 1 3 0 0 1 0 1 1 0 2.627111e-01 
248 6 1 4 -1 -1 0 0 2 0 1 NaN 
248 7 1 3 0 0 1 0 1 1 0 3.490990e-01 
248 8 1 3 0 0 1 0 2 2 0 3.866302e-01 
248 9 1 1 1 0 0 1 2 2 1 4.578977e-01 
248 10 1 2 0 -1 -1 0 2 2 1 4.678289e-01 
248 11 1 4 0 0 -1 0 2 2 0 6.129363e-01 
248 12 1 3 0 0 1 0 2 2 0 4.348178e-01 
248 13 1 2 -1 0 0 -1 2 2 1 3.291455e-01 
248 14 1 2 0 -1 -1 0 1 1 1 5.748045e-01 
248 15 1 1 1 0 0 1 2 2 1 3.581457e-01 
248 16 1 4 -1 -1 0 -1 1 1 0 4.506892e-01 
248 17 1 2 0 -1 -1 0 2 2 1 7.793460e-01 
248 18 1 1 1 0 0 1 1 1 1 3.738102e-01 
248 19 1 2 0 -1 -1 0 1 1 1 6.394460e-01 
248 20 1 1 1 0 0 1 1 1 1 5.620503e-01 
248 1 2 1 1 0 0 1 1 1 1 3.557983e-01 
248 2 2 4 -1 -1 0 -1 2 2 0 6.287269e-01 
248 3 2 4 -1 -1 0 -1 1 1 0 4.403275e-01 
248 4 2 2 0 -1 -1 0 2 2 1 4.179048e-01 
248 5 2 3 0 0 1 1 2 0 1 NaN 
248 6 2 1 1 0 0 1 1 1 1 3.285312e-01 
248 7 2 1 0 1 1 0 1 1 1 4.101669e-01 
248 8 2 1 1 0 0 1 2 2 1 3.622782e-01 
248 9 2 2 -1 0 0 0 2 0 0 NaN 
248 10 2 2 0 -1 -1 -1 1 0 0 NaN 
248 11 2 4 -1 -1 0 -1 1 1 0 4.063429e-01 
248 12 2 3 0 0 1 1 1 0 1 NaN 
248 13 2 4 -1 -1 0 -1 2 2 0 4.344302e-01 
248 14 2 3 1 1 0 1 1 1 0 4.590596e-01 
248 15 2 3 0 0 1 1 2 0 1 NaN 
248 16 2 3 0 0 1 1 1 0 1 NaN 
248 17 2 2 0 -1 -1 -1 2 0 0 NaN 
248 18 2 2 0 -1 -1 -1 1 0 0 NaN 
248 19 2 1 1 0 0 1 2 2 1 3.449703e-01 
248 20 2 4 0 0 -1 0 2 2 0 4.764458e-01 
248 1 1 3 0 0 1 0 1 1 0 4.669252e-01 
248 2 1 3 0 0 1 1 2 0 1 NaN 
248 3 1 4 0 0 -1 -1 2 0 1 NaN 
248 4 1 1 1 0 0 0 1 0 0 NaN 
248 5 1 4 -1 -1 0 -1 1 1 0 2.848972e-01 
248 6 1 3 1 1 0 1 1 1 0 4.115284e-01 
248 7 1 1 0 1 1 0 1 1 1 3.891679e-01 
248 8 1 3 0 0 1 0 1 1 0 7.780407e-01 
248 9 1 1 1 0 0 1 1 1 1 5.914364e-01 
248 10 1 4 -1 -1 0 -1 1 1 0 5.033839e-01 
248 11 1 2 0 -1 -1 -1 2 0 0 NaN 
248 12 1 2 -1 0 0 -1 2 2 1 4.861784e-01 
248 13 1 1 1 0 0 0 2 0 0 NaN 
248 14 1 2 0 -1 -1 0 1 1 1 3.698185e-01 
248 15 1 1 1 0 0 1 2 2 1 4.501440e-01 
248 16 1 4 -1 -1 0 0 2 0 1 NaN 
248 17 1 3 0 0 1 0 2 2 0 5.758106e-01 
248 18 1 2 0 -1 -1 -1 2 0 0 NaN 
248 19 1 4 -1 -1 0 0 2 0 1 NaN 
248 20 1 2 0 -1 -1 0 1 1 1 2.889526e-01 
248 1 2 3 1 1 0 1 1 1 0 4.263591e-01 
248 2 2 3 0 0 1 1 2 0 1 NaN 
248 3 2 4 -1 -1 0 -1 1 1 0 3.797240e-01 
248 4 2 1 1 0 0 1 1 1 1 2.647533e-01 
248 5 2 2 0 -1 -1 0 1 1 1 3.038419e-01 
248 6 2 1 1 0 0 1 2 2 1 3.621391e-01 
248 7 2 3 0 0 1 1 2 0 1 NaN 
248 8 2 1 1 0 0 0 1 0 0 NaN 
248 9 2 4 -1 -1 0 -1 2 2 0 3.459651e-01 
248 10 2 2 0 -1 -1 0 1 1 1 2.661655e-01 
248 11 2 3 0 0 1 0 1 1 0 4.286393e-01 
248 12 2 4 0 0 -1 0 2 2 0 6.118309e-01 
248 13 2 2 0 -1 -1 0 2 2 1 3.145220e-01 
248 14 2 1 1 0 0 1 2 2 1 4.095477e-01 
248 15 2 3 0 0 1 1 1 0 1 NaN 
248 16 2 2 -1 0 0 -1 2 2 1 3.326708e-01 
248 17 2 4 -1 -1 0 -1 1 1 0 6.583352e-01 
248 18 2 1 0 1 1 0 1 1 1 4.270987e-01 
248 19 2 2 0 -1 -1 0 2 2 1 3.026256e-01 
248 20 2 4 -1 -1 0 -1 2 2 0 5.151365e-01 
248 1 1 1 1 0 0 0 2 0 0 NaN 
248 2 1 3 1 1 0 0 1 0 1 NaN 
248 3 1 4 -1 -1 0 -1 2 2 0 3.944551e-01 
248 4 1 1 1 0 0 0 2 0 0 NaN 
248 5 1 2 0 -1 -1 -1 2 0 0 NaN 
248 6 1 4 -1 -1 0 0 2 0 1 NaN 
248 7 1 2 -1 0 0 -1 2 2 1 3.756361e-01 
248 8 1 2 0 -1 -1 0 2 2 1 7.097626e-01 
248 9 1 1 1 0 0 1 1 1 1 5.068887e-01 
248 10 1 3 0 0 1 0 2 2 0 7.818547e-01 
248 11 1 1 1 0 0 0 1 0 0 NaN 
248 12 1 2 0 -1 -1 0 1 1 1 7.339198e-01 
248 13 1 4 0 0 -1 -1 2 0 1 NaN 
248 14 1 2 0 -1 -1 0 1 1 1 4.459431e-01 
248 15 1 3 0 0 1 0 1 1 0 2.882178e-01 
248 16 1 3 0 0 1 0 2 2 0 3.381306e-01 
248 17 1 3 0 0 1 0 1 1 0 8.267940e-01 
248 18 1 1 0 1 1 1 1 0 0 NaN 
248 19 1 4 -1 -1 0 -1 1 1 0 6.446636e-01 
248 20 1 4 -1 -1 0 0 1 0 1 NaN 
248 1 2 2 0 -1 -1 0 2 2 1 3.458271e-01 
248 2 2 1 1 0 0 0 2 0 0 NaN 
248 3 2 2 -1 0 0 -1 2 2 1 2.525823e-01 
248 4 2 1 1 0 0 0 2 0 0 NaN 
248 5 2 4 -1 -1 0 -1 1 1 0 4.389962e-01 
248 6 2 4 -1 -1 0 0 2 0 1 NaN 
248 7 2 4 -1 -1 0 0 2 0 1 NaN 
248 8 2 3 0 0 1 1 2 0 1 NaN 
248 9 2 4 -1 -1 0 -1 1 1 0 6.777661e-01 
248 10 2 3 0 0 1 1 1 0 1 NaN 
248 11 2 3 0 0 1 1 2 0 1 NaN 
248 12 2 1 1 0 0 0 1 0 0 NaN 
248 13 2 2 0 -1 -1 0 1 1 1 6.099842e-01 
248 14 2 3 0 0 1 1 1 0 1 NaN 
248 15 2 2 0 -1 -1 0 2 2 1 4.389136e-01 
248 16 2 2 0 -1 -1 0 1 1 1 4.010393e-01 
248 17 2 4 0 0 -1 -1 2 0 1 NaN 
248 18 2 3 1 1 0 0 1 0 1 NaN 
248 19 2 1 0 1 1 1 1 0 0 NaN 
248 20 2 1 1 0 0 0 1 0 0 NaN 
248 1 1 3 1 1 0 1 1 1 0 4.960747e-01 
248 2 1 2 0 -1 -1 0 1 1 1 5.975375e-01 
248 3 1 3 0 0 1 1 1 0 1 NaN 
248 4 1 1 1 0 0 1 1 1 1 4.706125e-01 
248 5 1 3 0 0 1 0 2 2 0 3.378190e-01 
248 6 1 2 -1 0 0 0 2 0 0 NaN 
248 7 1 3 0 0 1 1 1 0 1 NaN 
248 8 1 4 0 0 -1 -1 2 0 1 NaN 
248 9 1 2 0 -1 -1 -1 2 0 0 NaN 
248 10 1 2 0 -1 -1 0 2 2 1 2.983572e-01 
248 11 1 3 0 0 1 0 2 2 0 3.437899e-01 
248 12 1 4 -1 -1 0 0 1 0 1 NaN 
248 13 1 4 -1 -1 0 0 2 0 1 NaN 
248 14 1 2 0 -1 -1 0 1 1 1 5.233686e-01 
248 15 1 1 1 0 0 0 2 0 0 NaN 
248 16 1 1 1 0 0 0 1 0 0 NaN 
