,cond,resp,choice,fdbk_sound_off,correct,rt,subn,cuepress,cuert
0,Escape,NoGo,1,1.0,0.0,0.21253204345703125,81,,
1,Avoid,NoGo,1,0.0,0.0,1.2977161407470703,81,,
2,Avoid,Go,1,1.0,1.0,0.6281969547271729,81,,
3,Avoid,Go,1,1.0,1.0,1.3242979049682617,81,,
4,Avoid,NoGo,0,1.0,1.0,,81,,
5,Escape,Go,1,0.0,1.0,0.6412508487701416,81,1.0,0.8553321361541748
6,Escape,NoGo,1,0.0,0.0,0.8558039665222168,81,,
7,Escape,Go,1,1.0,1.0,0.6553599834442139,81,,
8,Avoid,NoGo,1,0.0,0.0,1.9000749588012695,81,,
9,Escape,Go,0,0.0,0.0,,81,,
10,Avoid,Go,1,1.0,1.0,0.9226791858673096,81,,
11,Avoid,Go,1,0.0,1.0,1.886718988418579,81,,
12,Escape,NoGo,0,1.0,1.0,,81,,
13,Escape,NoGo,0,1.0,1.0,,81,,
14,Avoid,NoGo,1,1.0,0.0,0.9896731376647949,81,,
15,Escape,Go,1,1.0,1.0,0.4943981170654297,81,,
16,Escape,Go,1,1.0,1.0,0.5746450424194336,81,,
17,Escape,NoGo,0,1.0,1.0,,81,,
18,Avoid,Go,1,0.0,1.0,1.5253198146820068,81,,
19,Avoid,NoGo,1,0.0,0.0,0.9897029399871826,81,,
20,Avoid,Go,0,0.0,0.0,,81,,
21,Escape,NoGo,0,1.0,1.0,,81,,
22,Avoid,NoGo,1,0.0,0.0,1.1370420455932617,81,,
23,Escape,Go,0,0.0,0.0,,81,,
24,Avoid,Go,1,1.0,1.0,0.4408149719238281,81,,
25,Avoid,NoGo,1,0.0,0.0,0.9894380569458008,81,,
26,Escape,NoGo,1,1.0,0.0,0.45420408248901367,81,,
27,Escape,NoGo,0,1.0,1.0,,81,,
28,Escape,Go,1,1.0,1.0,0.936133861541748,81,,
29,Avoid,NoGo,0,1.0,1.0,,81,,
30,Escape,Go,1,0.0,1.0,0.9227759838104248,81,,
31,Avoid,Go,1,1.0,1.0,0.9228498935699463,81,,
32,Escape,Go,1,1.0,1.0,1.0164289474487305,81,,
33,Avoid,Go,0,0.0,0.0,,81,,
34,Avoid,Go,1,1.0,1.0,1.5518839359283447,81,,
35,Avoid,NoGo,1,0.0,0.0,1.4046709537506104,81,,
36,Escape,NoGo,0,1.0,1.0,,81,,
37,Escape,Go,1,1.0,1.0,1.9269518852233887,81,,
38,Avoid,NoGo,0,0.0,1.0,,81,,
39,Escape,NoGo,1,0.0,0.0,0.6148278713226318,81,,
40,Avoid,Go,1,1.0,1.0,1.0834360122680664,81,,
41,Avoid,NoGo,1,0.0,0.0,1.3778870105743408,81,,
42,Avoid,Go,1,1.0,1.0,0.8156828880310059,81,,
