trial,robot,stimulus
1,NGW,1
2,NGAL,2
3,NGAL,3
4,GW,4
5,GW,4
6,NGAL,3
7,NGAL,2
8,NGW,1
9,NGAL,3
10,NGAL,2
11,NGW,1
12,GW,4
13,NGAL,3
14,NGAL,2
15,GW,4
16,NGW,1
17,NGAL,2
18,NGAL,3
19,GW,4
20,NGW,1
21,NGAL,3
22,NGW,1
23,GW,4
24,NGAL,2
25,NGW,1
26,GW,4
27,NGAL,2
28,NGAL,3
29,GW,4
30,NGAL,3
31,NGAL,2
32,NGW,1
33,GW,5
34,GAL,6
35,NGAL,3
36,NGW,1
37,GAL,6
38,GW,5
39,NGW,1
40,NGAL,3
41,NGAL,3
42,GAL,6
43,NGW,1
44,GW,5
45,GAL,6
46,NGW,1
47,NGAL,3
48,GW,5
49,GAL,6
50,GAL,7
51,GW,5
52,NGW,8
53,NGW,8
54,GAL,7
55,GW,5
56,GAL,6
57,GAL,7
58,GW,5
59,NGW,8
60,GAL,6
61,GAL,6
62,GAL,7
63,GW,5
64,NGW,8
65,NGW,8
66,GAL,7
67,GW,5
68,GAL,6
69,GAL,6
70,NGW,8
71,GW,5
72,GAL,7
73,GW,9
74,NGW,8
75,GAL,7
76,GAL,6
77,GW,9
78,GAL,6
79,GAL,7
80,NGW,8
81,NGAL,10
82,GW,9
83,NGW,11
84,GAL,7
85,NGW,11
86,GW,9
87,GAL,7
88,NGAL,10
89,NGAL,10
90,GAL,12
91,NGW,11
92,GW,9
93,GW,9
94,GAL,12
95,NGW,11
96,NGAL,10
97,NGAL,10
98,NGW,11
99,GAL,12
100,GW,9
101,NGW,11
102,GAL,12
103,NGAL,10
104,GW,9
105,NGW,11
106,NGAL,10
107,GAL,12
108,GW,9
109,NGW,11
110,NGAL,10
111,GAL,12
112,GW,9
113,GW,9
114,NGAL,10
115,GAL,12
116,NGW,11
117,NGAL,10
118,NGW,11
119,GW,9
120,GAL,12
