subID TrialNo Threat(1)/Safe(2) Fractal CodeOutcomeRightSide CodeOutcomeWrongSide CodeOutcomeNoPress ActualOutcome Circleside(1Left2Right) response Accuracy rt 
227 1 2 3 0 0 1 0 2 2 0 5.849101e-01 
227 2 2 3 0 0 1 0 2 2 0 4.042809e-01 
227 3 2 4 -1 -1 0 0 1 0 1 NaN 
227 4 2 3 0 0 1 0 1 1 0 5.382135e-01 
227 5 2 1 0 1 1 0 1 1 1 6.502655e-01 
227 6 2 4 -1 -1 0 -1 2 2 0 5.244627e-01 
227 7 2 2 0 -1 -1 0 1 1 1 8.753878e-01 
227 8 2 1 1 0 0 0 2 0 0 NaN 
227 9 2 2 -1 0 0 -1 2 2 1 9.142364e-01 
227 10 2 1 1 0 0 1 2 2 1 7.193550e-01 
227 11 2 2 0 -1 -1 0 2 2 1 6.937570e-01 
227 12 2 1 1 0 0 1 1 1 1 8.873570e-01 
227 13 2 1 1 0 0 1 1 1 1 6.891514e-01 
227 14 2 3 1 1 0 1 1 2 0 8.412685e-01 
227 15 2 4 -1 -1 0 -1 1 1 0 6.707826e-01 
227 16 2 4 -1 -1 0 -1 2 2 0 7.455400e-01 
227 17 2 2 0 -1 -1 -1 1 0 0 NaN 
227 18 2 2 0 -1 -1 0 2 2 1 8.409374e-01 
227 19 2 4 0 0 -1 0 2 2 0 5.501395e-01 
227 20 2 3 0 0 1 0 1 1 0 7.726666e-01 
227 1 1 1 1 0 0 1 1 1 1 6.248353e-01 
227 2 1 2 0 -1 -1 0 2 2 1 7.640776e-01 
227 3 1 2 0 -1 -1 -1 2 0 0 NaN 
227 4 1 3 0 0 1 0 1 1 0 7.540664e-01 
227 5 1 4 -1 -1 0 -1 1 1 0 6.893133e-01 
227 6 1 3 0 0 1 0 1 1 0 6.889682e-01 
227 7 1 1 1 0 0 1 2 2 1 5.070603e-01 
227 8 1 3 1 1 0 0 1 0 1 NaN 
227 9 1 4 0 0 -1 0 2 2 0 6.227427e-01 
227 10 1 4 -1 -1 0 0 2 0 1 NaN 
227 11 1 3 0 0 1 1 2 0 1 NaN 
227 12 1 1 1 0 0 1 1 1 1 8.182507e-01 
227 13 1 1 1 0 0 0 2 0 0 NaN 
227 14 1 2 0 -1 -1 0 1 1 1 8.211527e-01 
227 15 1 3 0 0 1 0 2 2 0 3.476145e-01 
227 16 1 4 -1 -1 0 0 1 0 1 NaN 
227 17 1 1 0 1 1 0 1 1 1 5.928075e-01 
227 18 1 2 0 -1 -1 -1 1 0 0 NaN 
227 19 1 2 -1 0 0 -1 2 2 1 7.024454e-01 
227 20 1 4 -1 -1 0 -1 2 2 0 7.821552e-01 
227 1 2 3 0 0 1 1 1 0 1 NaN 
227 2 2 1 1 0 0 0 2 0 0 NaN 
227 3 2 3 0 0 1 0 2 2 0 4.961688e-01 
227 4 2 3 1 1 0 0 1 0 1 NaN 
227 5 2 3 0 0 1 0 1 1 0 9.192365e-01 
227 6 2 1 1 0 0 1 1 1 1 6.468419e-01 
227 7 2 1 1 0 0 0 2 0 0 NaN 
227 8 2 3 0 0 1 1 2 0 1 NaN 
227 9 2 2 -1 0 0 -1 2 2 1 7.346954e-01 
227 10 2 2 0 -1 -1 -1 2 0 0 NaN 
227 11 2 1 1 0 0 1 1 1 1 8.510016e-01 
227 12 2 4 -1 -1 0 0 1 0 1 NaN 
227 13 2 1 0 1 1 1 1 0 0 NaN 
227 14 2 4 0 0 -1 0 2 2 0 6.825494e-01 
227 15 2 4 -1 -1 0 0 2 0 1 NaN 
227 16 2 2 0 -1 -1 -1 2 0 0 NaN 
227 17 2 4 -1 -1 0 -1 2 2 0 4.393158e-01 
227 18 2 2 0 -1 -1 -1 1 0 0 NaN 
227 19 2 2 0 -1 -1 0 1 1 1 5.264485e-01 
227 20 2 4 -1 -1 0 -1 1 1 0 8.067541e-01 
227 1 1 1 1 0 0 1 2 2 1 5.867455e-01 
227 2 1 1 0 1 1 1 1 0 0 NaN 
227 3 1 1 1 0 0 0 1 0 0 NaN 
227 4 1 4 -1 -1 0 -1 2 2 0 5.674053e-01 
227 5 1 2 0 -1 -1 0 2 2 1 7.161677e-01 
227 6 1 2 0 -1 -1 0 1 1 1 6.693414e-01 
227 7 1 3 0 0 1 1 2 0 1 NaN 
227 8 1 1 1 0 0 0 2 0 0 NaN 
227 9 1 1 1 0 0 1 1 1 1 7.913614e-01 
