Subject,Version,Block,Trial,Valence,Action,Robot,Rune,Correct,Choice,RT,Accuracy,Sham,Outcome,TotalKeys
1el4r80fxt4k6nkx41bqjynb,1,1,1,Win,No-Go,,,0,1,0.683,0,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,2,Lose,Go,,,1,0,,0,0,-1,
1el4r80fxt4k6nkx41bqjynb,1,1,3,Lose,No-Go,,,0,0,,1,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,4,Win,Go,,,1,1,0.558,1,0,1,
1el4r80fxt4k6nkx41bqjynb,1,1,5,Lose,Go,,,1,1,0.81,1,1,-1,
1el4r80fxt4k6nkx41bqjynb,1,1,6,Lose,No-Go,,,0,0,,1,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,7,Win,Go,,,1,1,0.615,1,0,1,
1el4r80fxt4k6nkx41bqjynb,1,1,8,Win,No-Go,,,0,1,0.694,0,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,9,Win,Go,,,1,1,0.414,1,0,1,
1el4r80fxt4k6nkx41bqjynb,1,1,10,Lose,Go,,,1,0,,0,0,-1,
1el4r80fxt4k6nkx41bqjynb,1,1,11,Win,No-Go,,,0,1,0.44,0,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,12,Lose,No-Go,,,0,0,,1,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,13,Win,Go,,,1,1,0.566,1,0,1,
1el4r80fxt4k6nkx41bqjynb,1,1,14,Win,No-Go,,,0,1,0.447,0,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,15,Lose,Go,,,1,0,,0,0,-1,
1el4r80fxt4k6nkx41bqjynb,1,1,16,Lose,No-Go,,,0,0,,1,1,-1,
1el4r80fxt4k6nkx41bqjynb,1,1,17,Win,Go,,,1,1,0.347,1,1,0,
1el4r80fxt4k6nkx41bqjynb,1,1,18,Lose,Go,,,1,1,0.629,1,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,19,Win,No-Go,,,0,1,0.501,0,1,1,
1el4r80fxt4k6nkx41bqjynb,1,1,20,Lose,No-Go,,,0,0,,1,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,21,Lose,No-Go,,,0,0,,1,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,22,Win,No-Go,,,0,1,0.676,0,0,0,
