Subject,Block,Trial,Valence,Exposure,Action,Robot,Rune,Color,Correct,Choice,RT,Accuracy,Sham,Outcome,TotalKeys
0ubclurpshlgyru3cwo3stun,1,1,Win,1,No-Go,NGW,rune_02_os,yellow,0,1,0.396,0,0.0,+1,1
0ubclurpshlgyru3cwo3stun,1,2,Win,1,Go,GW,rune_02_cen,yellow,1,1,0.561,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,3,Lose,1,Go,GAL,rune_02_raido,blue,1,1,0.577,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,4,Lose,1,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,5,Win,2,No-Go,NGW,rune_02_os,yellow,0,1,0.614,0,0.0,+1,1
0ubclurpshlgyru3cwo3stun,1,6,Win,2,Go,GW,rune_02_cen,yellow,1,1,0.455,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,7,Lose,2,Go,GAL,rune_02_raido,blue,1,0,,0,0.0,-10,0
0ubclurpshlgyru3cwo3stun,1,8,Lose,2,No-Go,NGAL,rune_02_haglaz,blue,0,1,0.752,0,1.0,-1,1
0ubclurpshlgyru3cwo3stun,1,9,Lose,3,Go,GAL,rune_02_raido,blue,1,1,0.958,1,1.0,-10,1
0ubclurpshlgyru3cwo3stun,1,10,Win,3,No-Go,NGW,rune_02_os,yellow,0,1,0.76,0,0.0,+1,1
0ubclurpshlgyru3cwo3stun,1,11,Lose,3,No-Go,NGAL,rune_02_haglaz,blue,0,1,0.803,0,0.0,-10,1
0ubclurpshlgyru3cwo3stun,1,12,Win,3,Go,GW,rune_02_cen,yellow,1,1,0.633,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,13,Lose,4,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,14,Win,4,Go,GW,rune_02_cen,yellow,1,1,0.625,1,1.0,+1,1
0ubclurpshlgyru3cwo3stun,1,15,Win,4,No-Go,NGW,rune_02_os,yellow,0,1,0.965,0,0.0,+1,1
0ubclurpshlgyru3cwo3stun,1,16,Lose,4,Go,GAL,rune_02_raido,blue,1,0,,0,0.0,-10,0
0ubclurpshlgyru3cwo3stun,1,17,Lose,5,Go,GAL,rune_02_raido,blue,1,1,0.528,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,18,Win,5,Go,GW,rune_02_cen,yellow,1,1,0.592,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,19,Lose,5,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,20,Win,5,No-Go,NGW,rune_02_os,yellow,0,0,,1,1.0,+1,0
0ubclurpshlgyru3cwo3stun,1,21,Lose,6,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,22,Win,6,Go,GW,rune_02_cen,yellow,1,1,0.446,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,23,Win,6,No-Go,NGW,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,24,Lose,6,Go,GAL,rune_02_raido,blue,1,1,1.059,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,25,Lose,7,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,1.0,-10,0
0ubclurpshlgyru3cwo3stun,1,26,Win,7,Go,GW,rune_02_cen,yellow,1,1,0.729,1,0.0,+10,1
