Subject,Comp-Loops,GAD7-Q08,7U7D-Q15,BISBAS-Q13,Infreq,GAD7-RT,7U7D-RT,BISBAS-RT,Survey-RT,Accuracy,RT,Reject
0ubclurpshlgyru3cwo3stun,1,0,0,0,0,0,0,0,0,0,0.46299999999999997,0
11tg5yxy1g1hl5rwr7qap82j,2,1,1,0,2,0,0,0,0,1,0.247,1
12ide102xqajrz6cxib9berc,1,0,1,0,1,0,1,0,1,0,0.9035,0
1dneojj1ydge4lw1zgtzfoj8,1,0,0,0,0,0,0,0,0,1,0.479,1
1e7zni3hs3hxwy7aqhg0bkb0,1,0,0,0,0,0,0,0,0,0,0.6515,0
1idwvxzpt8dvsgsfthnl4uu1,1,0,0,1,1,0,0,0,0,0,0.4315,0
1pvf4ir8v21v5wrnei5xl1zq,1,0,0,0,0,0,0,0,0,0,0.4105,0
35u9tjs3cet5fhuskp61780m,1,0,0,0,0,0,0,0,0,0,0.7184999999999999,0
3eazb0ta6orlr8pndlxjcx7u,1,0,0,0,0,0,0,0,0,0,0.56,0
3jbtztfuani1nngygmcdf2tj,1,0,0,0,0,0,0,0,0,0,0.622,0
3jijrkavuzibk5dbcpckeszy,1,0,0,0,0,0,0,0,0,0,0.731,0
3uyqn5io0l0baxb4j39wxv63,4,0,1,1,2,0,1,0,1,0,0.8759999999999999,1
3wbvn159qj7euefwbye5hsa1,1,0,0,0,0,0,0,0,0,0,0.419,0
48mo481q4rmdo6g2jkwat6is,1,0,0,0,0,0,0,0,0,1,0.27149999999999996,1
49tag69y1779cq1xg8vbych8,1,0,0,0,0,0,0,0,0,0,0.7120000000000001,0
4czoxtp58q3xntzt3xinuxym,2,0,0,0,0,0,0,0,0,0,0.63,0
4dymnxa4iq2lis85044q2d18,1,0,0,0,0,0,0,0,0,0,0.51,0
4h35z4tknl9w66kawo0m99q7,1,0,0,0,0,1,1,0,2,0,0.462,0
4mgb8kl5yu9c3gnz77hricuo,1,0,0,0,0,0,0,0,0,0,0.636,0
4qb5f90qopafnsvaa9g13z39,1,0,0,0,0,0,0,0,0,1,0.41100000000000003,1
4slss2knn07mc55jjvf9mr9n,1,0,0,0,0,0,0,0,0,0,0.653,0
4v07twzd8u7flz37znyp5ahi,1,0,0,0,0,0,0,0,0,0,0.4605,0
4v17v6gmgneye8dtdtc24edi,1,0,0,0,0,0,0,0,0,0,0.5595000000000001,0
4v9dxlevowlqpnkfrtoyigh7,2,0,0,0,0,0,0,0,0,1,0.5075000000000001,1
59alhvho5v1e7tbqe6pa4zua,1,0,0,0,0,0,0,0,0,0,0.5479999999999999,0
5kfsrwk6isjumbygpci2nc1b,1,0,0,0,0,0,0,0,0,0,0.647,0
5s1xh81p48d3cgfopxg5th7b,1,0,0,0,0,0,0,0,0,0,0.513,0
6g87adypc7f01zqupbd6odyy,2,0,0,0,0,0,0,0,0,1,0.4875,1
6h6js8ula53vd8q3q1xov9s2,1,0,0,0,0,0,0,0,0,0,0.447,0
6jh3218tkyseo1xlzimcqvys,1,0,0,0,0,0,0,0,0,0,0.455,0
6p1y7pl0nlfw1wn9m9hgqftk,1,0,0,0,0,0,0,0,0,0,0.612,0
6ueg047d0lkoiwaz3lddkv03,2,0,0,0,0,0,0,0,0,0,0.5770000000000001,0
6v44zezjk7c1zcphfa0gtc1c,1,0,0,0,0,0,0,0,0,0,0.6569999999999999,0
6wf3yot4sk9y2rpa1l0uauhc,2,0,1,0,1,0,0,0,0,1,0.774,1
73947eje09vgrmrmpi6a3lbc,2,0,1,0,1,0,0,0,0,1,0.787,1
73axljwbabsrpj8gvfh5dabg,1,0,0,0,0,0,0,0,0,0,0.5579999999999999,0
74uxf3ljs4ky0ma7s0w7nm8e,3,1,1,0,2,0,1,0,1,0,0.46499999999999997,1
7bta3bfm5fbj4vsch0128msc,1,0,0,0,0,0,1,0,1,0,0.532,0
7gafs5x9i6b9bxf0gh9icj2g,2,0,1,0,1,0,1,0,1,1,0.954,1
7iv5iyrqps4pg6vrc61221ul,1,0,0,0,0,0,0,0,0,0,0.5785,0
82qtd6kuuhj5kbi23lh9ebcj,2,0,0,0,0,0,0,0,0,1,0.604,1
84bneiymbaj8wii2y89ot9pm,1,0,0,0,0,0,0,0,0,0,0.6245,0
8g18lriszq9mzwrvii4kud1f,1,0,0,0,0,0,0,0,0,0,0.541,0
97sn4yno3bhp0q9qiwh8ga0i,1,0,0,0,0,0,0,0,0,1,0.4385,1
9kg42bzf48f7hbwsvb15dcdw,2,0,1,0,1,0,0,0,0,0,0.6154999999999999,0
a74ii84ekpz0ewjmteuoo4tj,1,1,1,1,3,0,0,0,0,1,0.836,1
a999bxrmsrbho722z3h1ixwx,1,0,0,0,0,0,0,0,0,0,0.5235000000000001,0
c04g8el6o97pgtvk4dsvt4sb,1,0,0,0,0,0,0,0,0,0,0.5589999999999999,0
cfa2axc94u0j5uq6vkm6ws3k,1,0,0,0,0,0,0,0,0,0,0.5,0
coz12o3u8bejfxzrobndpgvr,1,0,0,0,0,0,0,0,0,0,0.552,0
cspu6oze190o8a7gb4wvbkgp,1,0,0,0,0,0,0,0,0,0,0.5235000000000001,0
d03i4yb65sex3u8dczofhk96,1,0,0,0,0,0,0,0,0,1,0.321,1
d5lczvoy71v8c7w2xhhphgcb,1,0,0,0,0,0,0,0,0,0,0.613,0
dg4z3jsbfn20de6i05xme8h3,1,0,0,0,0,0,0,0,0,0,0.784,0
dg96lmcvm2b8cwvc7zwcmqd5,1,0,0,0,0,0,0,0,0,0,0.81,0
dh7lweje6pjihtj1gak632sw,1,0,0,0,0,0,0,0,0,1,0.2895,1
drf5o1lo33plcbhrkknsm4kz,1,0,0,0,0,0,0,0,0,0,0.522,0
dwmjnt76sup1g25gjedh2pfb,1,0,0,0,0,0,0,0,0,0,0.8365,0
e7ldy6mpet45xr7wqa1ne5pw,1,0,0,0,0,0,0,0,0,0,0.5539999999999999,0
e7mfumj1wz7iq1qi1xiysp88,1,0,1,0,1,0,1,0,1,1,0.2825,1
ea0k6vqrjovnxvqd2dcivslk,1,0,0,0,0,0,0,0,0,0,0.52,0
fiwsf4ul3d58zfz1akws3jpo,1,0,0,0,0,0,0,0,0,0,0.8865000000000001,0
fp7csa2rz19l6t90s0ftwn8v,2,0,0,0,0,0,0,0,0,0,0.63,0
g7qeqtu8d01e6dito8a18uii,1,0,0,0,0,0,0,0,0,0,0.424,0
gd6lbuycu8vux2kk0dz46s2w,1,0,0,0,0,0,0,0,0,0,0.4405,0
goaouki4iqik3pea65n91ckb,1,0,0,0,0,0,0,0,0,1,0.615,1
grvvupl60f45b87jqonaqxlu,1,1,1,1,3,0,0,0,0,1,0.6445000000000001,1
hng0kxh86gm4sri5qed9ov88,1,0,1,0,1,0,1,0,1,1,0.363,1
i1tfnk9rd0znvar0osctyab8,1,0,1,0,1,0,0,0,0,0,0.555,0
iivv86wxwvonnpgve4xthtu1,1,0,0,0,0,0,0,0,0,1,0.46599999999999997,1
im1x578djv5qys3397hkll2b,1,0,0,0,0,0,0,0,0,1,0.339,1
ipgum2nxzkv3wg37c4w3qh6o,1,0,0,0,0,0,0,0,0,0,0.509,0
ju0f49e2syj7yu56vwlehxyy,1,0,0,0,0,0,0,0,0,0,0.6145,0
k7iveyein54g2c50ty7z8vxs,2,0,1,0,1,0,0,0,0,0,0.74,0
k9aubsm14o60l5ozagwbc8si,1,0,0,0,0,0,0,0,0,0,0.56,0
kdf364gyhp7cnlnv3h0wu7tq,1,0,0,0,0,0,0,0,0,0,0.485,0
kfsk05ryf7w1i41ernnh8oth,2,0,0,0,0,0,0,0,0,1,0.619,1
kot5rz3je22hoavaecvsaodu,1,0,0,0,0,0,0,0,0,0,0.6945,0
kyi38hfnjulfsnfuymib41o7,1,1,1,1,3,0,0,0,0,1,1.0105,1
lklyh5d5d62lcannsm93uvmx,1,0,0,0,0,0,0,0,0,0,0.52,0
lztau5qskxmhgxj4f07c2otv,1,0,0,0,0,0,0,0,0,0,0.426,0
m2j8nqjszft6h1ryq8q61fmy,1,0,0,0,0,0,0,0,0,0,0.4955,0
m8r6o4nh90s3vbwadial0bfv,1,0,0,0,0,0,0,0,0,0,0.675,0
mjis8e000aa6i3mflf0qfdhn,1,0,0,0,0,0,0,0,0,0,0.502,0
mkekir1x2ffpjt7wnlm9xupm,1,0,0,0,0,0,0,0,0,0,0.5285,0
mueq3f1w9571be42t6l3oibo,1,1,1,1,3,0,0,0,0,1,0.6495,1
mxwf5gguwvri7zxae22opke7,1,0,0,0,0,0,0,0,0,0,0.618,0
ndf4cr8g95xznbyy9bzdmchn,1,0,0,0,0,0,0,0,0,0,0.493,0
nz9zfobqkkrija2o8wpk80pj,2,0,0,0,0,0,0,0,0,0,0.518,0
nzeb0oa79n7lannb0f6c8mgr,2,1,1,1,3,0,1,0,1,1,0.5085,1
odbc1avwxhy09ukmn5ymmefe,1,0,0,0,0,0,0,0,0,0,0.446,0
oemai1vch0xjh2tfdr718qw6,1,0,0,0,0,0,0,0,0,0,0.396,0
oj6gfmd6h8w33zu4mwdt3s71,1,0,0,1,1,0,0,0,0,1,0.484,1
osfqan6p1j4elf6478uhi2cc,2,0,0,0,0,0,0,0,0,0,0.49700000000000005,0
osj8m0yvw306t6y74xe9o4qn,1,0,0,0,0,0,0,0,0,0,0.614,0
p5843ltu7lw25o03nbadzsaa,1,0,0,0,0,0,0,0,0,0,0.866,0
p5f3fscxjt1ulrzv5fr3nlhx,2,0,0,0,0,0,0,0,0,0,0.429,0
q2uwl4i2899pwzypw9h23za2,1,1,1,0,2,0,1,0,1,1,0.314,1
qhwl1mwjpvnd9ju8e7yz68b2,2,0,0,0,0,0,0,0,0,0,0.7205000000000001,0
qoxp3z22sxf0oiq3tg13tfjw,1,0,0,0,0,0,0,0,0,0,0.374,0
qz9a56zl60mfwv7umkwwph2d,1,0,0,0,0,0,0,0,0,0,0.49200000000000005,0
rci3lcophxwhturxe4bx1cj9,1,0,0,0,0,0,0,0,0,0,0.5805,0
rl9qohmfkxokqsrwgf3e6uvz,1,0,0,0,0,0,0,0,0,0,0.47200000000000003,0
rvtfwjpc6ibxodgxmq16o47l,1,0,0,0,0,0,0,0,0,1,0.912,1
sfnb1wv4zqbp2g1pgpri2b6n,1,0,0,0,0,0,0,0,0,0,0.574,0
sldfzozvya0866f3mwvojl0g,1,0,0,0,0,0,0,0,0,0,0.478,0
sm5nnykjuou0ucd6iydv21bx,1,0,0,0,0,0,0,0,0,0,0.565,0
sr0xjnvm85vs64bpp2vniu0u,1,0,0,0,0,0,0,0,0,0,0.6599999999999999,0
stgt2bwysexroszj1fsfw7m2,1,0,0,0,0,0,0,0,0,0,0.6005,0
t1y3gw8hh5yw5j4dcpvixjkg,1,0,0,0,0,0,0,0,0,0,0.5760000000000001,0
t7zcpggxc4dw09wg818s0z8d,1,0,1,0,1,0,0,0,0,1,0.855,1
te8lv9mcydnr2gfteeony4tx,2,0,0,0,0,0,0,0,0,0,0.526,0
telvsjfuohblsio4g1vjjrf8,1,0,0,0,0,0,0,0,0,0,0.45399999999999996,0
tyritp9n7pxyn4jzal4fkb93,1,0,0,0,0,0,0,0,0,1,0.41,1
u1yahm3i373lvy46e68roh9k,1,0,0,0,0,0,0,0,0,0,0.933,0
ubbgbypw5bvfev15ma7swm4j,2,0,0,0,0,0,0,0,0,0,0.525,0
ul8vo5g8rz3r5jp5zbtpznof,1,0,0,0,0,0,0,0,0,0,0.6765,0
um1mxzd3jsgdi3rt0574kybs,1,0,0,0,0,0,0,0,0,1,0.945,1
v32lbqm6bqaj6831d8tng6hn,1,0,0,0,0,0,0,0,0,0,0.701,0
v6ag7qnuysho3wws8lnmg47r,1,0,0,0,0,0,0,0,0,0,0.413,0
v9k6n64hnw8hkg4cj1gi8b2p,2,0,0,0,0,0,0,0,0,0,0.718,0
va5umhs0pg7xiukmm90crtyj,1,1,1,1,3,0,1,0,1,1,0.5775,1
vkkhzo5vo6hete7ff0czcb04,1,1,0,0,1,0,0,0,0,0,0.498,0
vlviswi01shek11svmj2n9sf,2,0,0,0,0,0,0,0,0,1,0.2985,1
vunoao3ndpdppgruy4molrto,1,0,0,0,0,0,0,0,0,0,0.48100000000000004,0
vwpb6kloy44staj1tnyrfbjk,1,0,0,0,0,0,1,0,1,1,0.28400000000000003,1
w4i3zftzk81kn6zqkd7jt2k7,1,0,0,0,0,0,0,0,0,0,0.579,0
w9eo0yzev6m4t90lvpo4okmt,1,0,0,0,0,0,0,0,0,1,1.242,1
wbzt9bh8zuien3221yh6rao0,1,0,0,0,0,0,0,0,0,0,0.446,0
wcl8t0q0vchm8ituba7c1ls5,1,0,0,0,0,0,0,0,0,0,0.559,0
wstj8ff7bh0vzer63dwmis3z,1,1,1,0,2,0,0,0,0,1,1.0345,1
wzsrt9rz6ebtuf7xqlsmaha4,2,1,1,0,2,0,1,1,2,1,0.455,1
xb2gf4at9tcsmrsjjqubddrl,1,0,0,0,0,0,0,0,0,1,0.35200000000000004,1
xe4y3wjth90p0vfgki0beff4,1,0,0,0,0,0,0,0,0,0,0.6005,0
xet0i5hcytbgz14tmtwlr9dy,1,0,0,1,1,0,1,0,1,0,0.62,0
xg2518nfozv44h2x9oibsayj,1,0,0,0,0,0,0,0,0,0,0.551,0
xpmique3djjgli63fytwqxx0,1,0,1,0,1,0,0,0,0,0,0.494,0
xvobs4rpjasm65b174jexrh6,1,0,1,0,1,0,0,0,0,0,0.506,0
y6mtiyl0fovt18hy2cyjyhtf,1,0,0,0,0,0,0,0,0,0,0.47700000000000004,0
yewselly2twm866hfeimbufp,1,0,0,0,0,0,0,0,0,0,0.71,0
yioiqliweevmi62w56el04vm,1,0,1,0,1,0,0,0,0,0,0.6165,0
yjj3v9gcp2jguget50879m0g,1,0,0,0,0,0,0,0,0,1,0.645,1
yynz7n0qxjkm01alpqutecfa,1,0,0,0,0,0,0,0,0,0,0.436,0
zfw3qz2zykuc3bgav1o9g1mv,1,0,0,0,0,0,0,0,0,1,0.3275,1
zjklcju9qpwp67b3ve3bixgp,1,0,0,0,0,0,0,0,0,1,0.36,1
zkvrjxd1s6y0lm29zrko2iab,1,1,1,0,2,0,1,0,1,1,0.5894999999999999,1
zp309icv0mikrt590td60goa,1,0,0,0,0,0,0,0,0,0,0.7509999999999999,0
zs0ivt9u3ettlwl99p77nrl8,1,0,0,0,0,0,0,0,0,0,0.7020000000000001,0
