,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
"mu_pr[1,1]",1.8481239097878046,0.0062812580685304206,0.1468719506292046,1.589466957431024,1.7423678329055798,1.8430690839799557,1.9426138213761641,2.1655763718946637,546.7445362783078,1.0098195284783824
"mu_pr[2,1]",-1.3741684510267296,0.0033364266576383647,0.07282606300617221,-1.5142448651899214,-1.4258579462056384,-1.3738398745401685,-1.3241120564937463,-1.233008725819489,476.4425057560359,1.0039998819156268
"mu_pr[3,1]",0.041780203028990756,0.00021034939561865887,0.005453405418007826,0.03144015284868506,0.037934630368531064,0.041578780938911875,0.04534132346266355,0.052973748203741185,672.1296181635188,1.0068925395319896
"mu_pr[4,1]",0.020357657873160663,0.00017294927593763967,0.004711306784210951,0.011628343300508652,0.017141087355191632,0.020153707480517688,0.02345714855321508,0.03010148906435042,742.0706818181959,1.006461157315633
"mu_pr[1,2]",2.0851661742854053,0.007579423464507372,0.15023950205953246,1.822220430548831,1.9784082854127514,2.0726328627959396,2.1850289187314944,2.393409220099822,392.91257394559346,1.0084046393846546
"mu_pr[2,2]",-1.2040193297274773,0.0032959497166938625,0.07116626417981822,-1.344106866489414,-1.2501468385914527,-1.205219975193016,-1.1542237704747746,-1.0658738304983257,466.21600870400437,1.0076242747370263
"mu_pr[3,2]",0.039814880420496225,0.0002078763609225817,0.00541292548237367,0.02979738934030251,0.03604681125817375,0.03962782434062784,0.04334426301200779,0.051227259386444034,678.037768350201,1.0060331465170411
"mu_pr[4,2]",0.010508601570445197,0.00016841852260075462,0.004607515833161296,0.0017585001297800117,0.007398745963436697,0.010398231720322285,0.013393629504383674,0.01991279054710118,748.434788350974,1.0025133439673959
"theta_c_pr[1,1]",0.6028899600174167,0.014547259072158158,0.6242283414634432,-0.46910772112967414,0.17774544250041047,0.549168461283102,0.973549228681333,2.0251137439781215,1841.3002794253368,1.0007787553979663
"theta_c_pr[2,1]",0.49966469272701086,0.01056208769446305,0.35203942063022337,-0.20527860257230102,0.2643880231954323,0.5021000555821822,0.7315899215327907,1.1770286222158894,1110.9206948886688,1.0022047360821889
"theta_c_pr[3,1]",0.5434230692276786,0.014495005219886132,0.5876014897441848,-0.5641634694335653,0.13995481034011903,0.529025926787625,0.9412384170089754,1.7456030418071242,1643.346045964505,1.0006079885760264
"theta_c_pr[4,1]",-0.1782952132315461,0.015160216737493754,0.6372117179071333,-1.3867284729261193,-0.6149231582230292,-0.1679911118302273,0.2670849683719131,1.0984791922649129,1766.6750948705696,1.002780223310643
"theta_c_pr[1,2]",-1.2019317222092964,0.020453554422904297,0.5917350804068651,-1.9547512262821758,-1.5973935953916003,-1.3339699938167064,-0.9772981548237265,0.4461415976239936,836.9837998080801,1.0017785627330213
