Subject,Version,Block,Trial,Exposure,Valence,Action,Robot,Rune,Color,Correct,Choice,RT,Accuracy,Sham,Outcome,TotalKeys
1el4r80fxt4k6nkx41bqjynb,1,1,1,1,Win,No-Go,NGW,,,0,1,0.683,0,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,2,1,Lose,Go,GAL,,,1,0,,0,0,-1,
1el4r80fxt4k6nkx41bqjynb,1,1,3,1,Lose,No-Go,NGAL,,,0,0,,1,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,4,1,Win,Go,GW,,,1,1,0.558,1,0,1,
1el4r80fxt4k6nkx41bqjynb,1,1,5,2,Lose,Go,GAL,,,1,1,0.81,1,1,-1,
1el4r80fxt4k6nkx41bqjynb,1,1,6,2,Lose,No-Go,NGAL,,,0,0,,1,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,7,2,Win,Go,GW,,,1,1,0.615,1,0,1,
1el4r80fxt4k6nkx41bqjynb,1,1,8,2,Win,No-Go,NGW,,,0,1,0.694,0,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,9,3,Win,Go,GW,,,1,1,0.414,1,0,1,
1el4r80fxt4k6nkx41bqjynb,1,1,10,3,Lose,Go,GAL,,,1,0,,0,0,-1,
1el4r80fxt4k6nkx41bqjynb,1,1,11,3,Win,No-Go,NGW,,,0,1,0.44,0,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,12,3,Lose,No-Go,NGAL,,,0,0,,1,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,13,4,Win,Go,GW,,,1,1,0.566,1,0,1,
1el4r80fxt4k6nkx41bqjynb,1,1,14,4,Win,No-Go,NGW,,,0,1,0.447,0,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,15,4,Lose,Go,GAL,,,1,0,,0,0,-1,
1el4r80fxt4k6nkx41bqjynb,1,1,16,4,Lose,No-Go,NGAL,,,0,0,,1,1,-1,
1el4r80fxt4k6nkx41bqjynb,1,1,17,5,Win,Go,GW,,,1,1,0.347,1,1,0,
1el4r80fxt4k6nkx41bqjynb,1,1,18,5,Lose,Go,GAL,,,1,1,0.629,1,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,19,5,Win,No-Go,NGW,,,0,1,0.501,0,1,1,
1el4r80fxt4k6nkx41bqjynb,1,1,20,5,Lose,No-Go,NGAL,,,0,0,,1,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,21,6,Lose,No-Go,NGAL,,,0,0,,1,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,22,6,Win,No-Go,NGW,,,0,1,0.676,0,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,23,6,Win,Go,GW,,,1,1,0.573,1,0,1,
1el4r80fxt4k6nkx41bqjynb,1,1,24,6,Lose,Go,GAL,,,1,0,,0,0,-1,
1el4r80fxt4k6nkx41bqjynb,1,1,25,7,Lose,No-Go,NGAL,,,0,0,,1,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,26,7,Win,Go,GW,,,1,1,0.481,1,0,1,
1el4r80fxt4k6nkx41bqjynb,1,1,27,7,Lose,Go,GAL,,,1,0,,0,0,-1,
1el4r80fxt4k6nkx41bqjynb,1,1,28,7,Win,No-Go,NGW,,,0,1,0.479,0,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,29,8,Lose,Go,GAL,,,1,1,0.726,1,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,30,8,Win,No-Go,NGW,,,0,1,0.427,0,1,1,
1el4r80fxt4k6nkx41bqjynb,1,1,31,8,Win,Go,GW,,,1,1,0.459,1,1,0,
1el4r80fxt4k6nkx41bqjynb,1,1,32,8,Lose,No-Go,NGAL,,,0,1,0.597,0,0,-1,
1el4r80fxt4k6nkx41bqjynb,1,1,33,9,Lose,No-Go,NGAL,,,0,0,,1,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,34,9,Win,No-Go,NGW,,,0,1,0.504,0,0,0,
1el4r80fxt4k6nkx41bqjynb,1,1,35,9,Win,Go,GW,,,1,1,0.461,1,0,1,
