Subject,Version,GW,Comp-Errors,clarity,Reject
02h60o19i9dmlsik7aoi0yjg,3,False,False,False,False
17tsyr93dley30erwad50q8d,3,False,False,False,False
1el4r80fxt4k6nkx41bqjynb,1,False,False,False,False
1j7s5s6u515ntmsxjxm9vlkx,3,False,False,False,False
2ei3r25qpzx9ltlxw0da58rb,1,False,False,False,False
2qc01up7z92d4unvafei3tj5,2,False,False,False,False
2xcj06ij576i0hg5wu6nhdfw,2,False,False,False,False
3befz6gaec5j18hl2flx89cc,1,False,False,False,False
3fm17j69wpnckfpihi50b4cf,3,False,False,False,False
4deb3co8avbcrw0pawlsdorq,2,False,False,False,False
52fjb9sxn5tdxslbebzipfjt,1,False,False,False,False
54fak01q4oxbaqt7lua2unuk,1,False,False,False,False
56zh5ndoykipsdz93cun3h2o,1,False,False,False,False
5m4wtrggf87lvhab5194a437,1,False,False,False,False
60p3rctjhyoirvzspqmzzgb3,2,False,False,False,False
60ps01lk2rbnmcgahtka1nq2,2,False,False,False,False
7yzkytu1jb5coqvafeepu8kt,3,False,False,False,False
9ebhpr9lvkz061wau9c0ew31,1,False,False,False,False
9tpri3k3e27yxjljkpbnjun0,1,False,False,False,False
awrr9yaci6gk710v21alcms1,3,False,False,False,False
cd6u275crfmwyp7bysqdt3xj,3,False,False,False,False
cv2eofq2m6l23jy7wubcgiwu,3,False,False,False,False
d14dqkh0d3qdm4g9t1b7dcra,3,False,False,False,False
e0lmmv26e6b9vxril9e8qspl,1,False,False,False,False
ejfcjg7wcfv8d8jl97hj8ds9,1,False,False,False,False
epp7teulyyew4abfe4yqmw0v,2,False,False,False,False
f80j5kguz0kzb6jejbmskmfv,2,False,False,False,False
f8woor2tyna0sdrq3m9bugom,3,False,False,False,False
g8xe4lym5ao538zatlg8xse0,2,False,False,False,False
gm9rz0ez2ar3ix58qj40i6zy,1,False,False,False,False
gv9wzcb2w6nwx739qj93ovat,3,False,False,False,False
h75onlxjjlc1sumz3bucinlz,2,False,False,False,False
i3s8ajqovg6cy9hsdvta7ne7,2,False,False,False,False
ivzjv4bbrnmn4cro0xgc3iqu,1,False,False,False,False
jewffmlf5xezpovrwav519sp,2,True,False,False,True
jn2kth5a4sszl58giis17yzv,2,False,False,False,False
jxl1gd066o7tytf037e61ksp,1,False,False,False,False
k7yotlzokc66c3k88jpih8y9,3,True,False,False,True
kz2yjx5o986dvkgjd6dyrdjp,3,False,False,False,False
l58oavnffnc2531qgd32mbru,3,False,False,False,False
lh8c4oac5mi7imaz6t4fg8s7,1,False,False,False,False
nfer18u8g72rnlxpcz1cjppz,2,False,False,False,False
qd20slsdo6d35ucsjcmlfyhq,3,False,False,False,False
r4pw8hqqxzrolbjbfm6dg8hz,2,False,False,False,False
slc7rds6or7cljlmd4aayd4z,2,False,False,False,False
spp6bc6yy2j0wx8orizd9o11,1,False,False,False,False
t7cwzshib95nuxmvtd9rsgd5,1,False,False,False,False
t7e4f7gtfepk4p4vaa65ynfu,3,True,False,False,True
tgvsomy4rsd6ek00zje2cxnz,3,False,False,False,False
txgojfa3ev7v7cp4oxuzb1d6,2,False,False,False,False
vjrkicab3qqho6hf5fymm0l2,1,False,False,False,False
xks68ibgwl49hffb13pgnzb7,1,False,False,False,False
xtz4g5xmefwjgkjegmqy1o3v,3,False,False,False,False
xvnftiu9yebqeqwba2h0r70d,3,False,False,False,False
yaudi4ebrx7f6rekxliie3b1,2,True,False,False,True
yphizpxdi12wvkeqvg4ruwnd,1,False,False,False,False
yu5mzpwmcles0uof1i05zyhk,2,False,False,False,False
z8ttfemyp3342ajl83mio3xq,2,False,False,False,False
zt6rath0nosne25pc0t28g66,2,False,False,False,False
