subject,block,trial,exposure,valence,action,robot,rune,correct,choice,rt,accuracy,sham,outcome,total_keys
0fzu43pctwr7mmapsd9pbw3x,1,1,1,lose,no-go,NGAL,I,0,0,,1,0.0,-1,0
0fzu43pctwr7mmapsd9pbw3x,1,2,1,win,no-go,NGW,U,0,1,0.633,0,1.0,+10,1
0fzu43pctwr7mmapsd9pbw3x,1,3,1,win,go,GW,F,1,1,1.08,1,1.0,+1,1
0fzu43pctwr7mmapsd9pbw3x,1,4,1,win,go,GW,P,1,1,0.978,1,0.0,+10,1
0fzu43pctwr7mmapsd9pbw3x,1,5,2,win,no-go,NGW,U,0,1,0.833,0,0.0,+1,1
0fzu43pctwr7mmapsd9pbw3x,1,6,2,win,go,GW,P,1,1,0.658,1,1.0,+1,1
0fzu43pctwr7mmapsd9pbw3x,1,7,2,lose,no-go,NGAL,I,0,1,0.952,0,1.0,-1,1
0fzu43pctwr7mmapsd9pbw3x,1,8,2,win,go,GW,F,1,1,0.833,1,0.0,+10,1
0fzu43pctwr7mmapsd9pbw3x,1,9,3,win,no-go,NGW,U,0,0,,1,0.0,+10,0
0fzu43pctwr7mmapsd9pbw3x,1,10,3,win,go,GW,P,1,1,0.847,1,0.0,+10,1
0fzu43pctwr7mmapsd9pbw3x,1,11,3,win,go,GW,F,1,1,0.882,1,1.0,+1,1
0fzu43pctwr7mmapsd9pbw3x,1,12,3,lose,no-go,NGAL,I,0,1,0.954,0,0.0,-10,1
0fzu43pctwr7mmapsd9pbw3x,1,13,4,win,go,GW,P,1,1,1.105,1,0.0,+10,1
0fzu43pctwr7mmapsd9pbw3x,1,14,4,lose,no-go,NGAL,I,0,0,,1,1.0,-10,0
0fzu43pctwr7mmapsd9pbw3x,1,15,4,win,go,GW,F,1,1,0.791,1,0.0,+10,1
0fzu43pctwr7mmapsd9pbw3x,1,16,4,win,no-go,NGW,U,0,1,0.608,0,0.0,+1,1
0fzu43pctwr7mmapsd9pbw3x,1,17,5,win,go,GW,P,1,1,0.641,1,0.0,+10,1
0fzu43pctwr7mmapsd9pbw3x,1,18,5,lose,no-go,NGAL,I,0,0,,1,0.0,-1,0
0fzu43pctwr7mmapsd9pbw3x,1,19,5,win,no-go,NGW,U,0,1,0.677,0,0.0,+1,1
0fzu43pctwr7mmapsd9pbw3x,1,20,5,win,go,GW,F,1,0,,0,0.0,+1,0
0fzu43pctwr7mmapsd9pbw3x,1,21,6,win,go,GW,P,1,1,0.382,1,0.0,+10,1
0fzu43pctwr7mmapsd9pbw3x,1,22,6,win,no-go,NGW,U,0,0,,1,1.0,+1,0
0fzu43pctwr7mmapsd9pbw3x,1,23,6,lose,no-go,NGAL,I,0,0,,1,1.0,-10,0
0fzu43pctwr7mmapsd9pbw3x,1,24,6,win,go,GW,F,1,0,,0,1.0,+10,0
0fzu43pctwr7mmapsd9pbw3x,1,25,7,win,no-go,NGW,U,0,1,0.447,0,0.0,+1,1
0fzu43pctwr7mmapsd9pbw3x,1,26,7,win,go,GW,F,1,1,0.576,1,0.0,+10,1
0fzu43pctwr7mmapsd9pbw3x,1,27,7,win,go,GW,P,1,1,0.657,1,1.0,+1,1
0fzu43pctwr7mmapsd9pbw3x,1,28,7,lose,no-go,NGAL,I,0,1,1.169,0,0.0,-10,1
0fzu43pctwr7mmapsd9pbw3x,1,29,8,win,go,GW,P,1,1,0.4,1,0.0,+10,1
0fzu43pctwr7mmapsd9pbw3x,1,30,8,lose,no-go,NGAL,I,0,0,,1,0.0,-1,0
0fzu43pctwr7mmapsd9pbw3x,1,31,8,win,go,GW,F,1,1,0.829,1,0.0,+10,1
0fzu43pctwr7mmapsd9pbw3x,1,32,8,win,no-go,NGW,U,0,1,0.673,0,0.0,+1,1
0fzu43pctwr7mmapsd9pbw3x,1,33,1,win,go,GW,J,1,1,0.842,1,0.0,+10,1
0fzu43pctwr7mmapsd9pbw3x,1,34,9,lose,no-go,NGAL,I,0,1,0.833,0,0.0,-10,1
0fzu43pctwr7mmapsd9pbw3x,1,35,9,win,no-go,NGW,U,0,1,1.25,0,0.0,+1,1
0fzu43pctwr7mmapsd9pbw3x,1,36,9,win,go,GW,P,1,1,0.498,1,0.0,+10,1
0fzu43pctwr7mmapsd9pbw3x,1,37,10,win,no-go,NGW,U,0,0,,1,0.0,+10,0
