subject,block,trial,exposure,valence,action,robot,rune,rune_set,correct,choice,rt,accuracy,sham,outcome,total_keys
0hjvmiavfa7a1a1ft8xz2bnj,1,1,1,win,go,GW,L,bacs1,1,1,1.034,1,0.0,+10,1
0hjvmiavfa7a1a1ft8xz2bnj,1,2,1,win,go,GW,A,bacs1,1,0,,0,1.0,+10,0
0hjvmiavfa7a1a1ft8xz2bnj,1,3,1,lose,no-go,NGAL,C,bacs1,0,1,0.722,0,0.0,-10,1
0hjvmiavfa7a1a1ft8xz2bnj,1,4,1,win,no-go,NGW,Q,bacs1,0,1,0.832,0,0.0,+1,1
0hjvmiavfa7a1a1ft8xz2bnj,1,5,2,win,go,GW,A,bacs1,1,0,,0,0.0,+1,0
0hjvmiavfa7a1a1ft8xz2bnj,1,6,2,lose,no-go,NGAL,C,bacs1,0,0,,1,0.0,-1,0
0hjvmiavfa7a1a1ft8xz2bnj,1,7,2,win,no-go,NGW,Q,bacs1,0,1,0.905,0,0.0,+1,1
0hjvmiavfa7a1a1ft8xz2bnj,1,8,2,win,go,GW,L,bacs1,1,1,0.596,1,0.0,+10,1
0hjvmiavfa7a1a1ft8xz2bnj,1,9,3,win,go,GW,A,bacs1,1,1,0.464,1,0.0,+10,1
0hjvmiavfa7a1a1ft8xz2bnj,1,10,3,win,go,GW,L,bacs1,1,1,0.389,1,0.0,+10,1
0hjvmiavfa7a1a1ft8xz2bnj,1,11,3,lose,no-go,NGAL,C,bacs1,0,0,,1,0.0,-1,0
0hjvmiavfa7a1a1ft8xz2bnj,1,12,3,win,no-go,NGW,Q,bacs1,0,0,,1,0.0,+10,0
0hjvmiavfa7a1a1ft8xz2bnj,1,13,4,win,go,GW,A,bacs1,1,1,0.398,1,1.0,+1,1
0hjvmiavfa7a1a1ft8xz2bnj,1,14,4,win,no-go,NGW,Q,bacs1,0,1,0.868,0,1.0,+10,1
0hjvmiavfa7a1a1ft8xz2bnj,1,15,4,win,go,GW,L,bacs1,1,1,0.494,1,0.0,+10,1
0hjvmiavfa7a1a1ft8xz2bnj,1,16,4,lose,no-go,NGAL,C,bacs1,0,0,,1,1.0,-10,0
0hjvmiavfa7a1a1ft8xz2bnj,1,17,5,lose,no-go,NGAL,C,bacs1,0,1,0.482,0,0.0,-10,1
