subject,total,interactions,practice_01,practice_02,practice_03,practice_04,comprehension,age,gender-categorical,gender-free-response,ethnicity,race,language,fluency,difficulty,fun,clarity,strategy,feedback
0hjvmiavfa7a1a1ft8xz2bnj,23.91,14,4,4,4,4,0,42,Female,,Not Hispanic or Latino,['White'],Yes,Very well,2,2,5,"no, there were too many varieties of robot to remember which ones may or may not need a repair that time.  ",
121hxl93e8gfzl0pp8urplao,19.14,8,4,17,9,6,0,37,Female,,Not Hispanic or Latino,['White'],Yes,Very well,3,4,5,No strategies,
21du2t6p93afcagmlp1dxfbe,23.23,2,5,4,4,4,0,36,Male,,Not Hispanic or Latino,['White'],Yes,Very well,2,4,5,I tried to use trial and error to see what worked then remember from there.,Thanks for the opportunity.
2t0g7jiyw7j0cag8sbjpktjm,22.8,12,63,5,16,4,0,34,Female,,Not Hispanic or Latino,['White'],Yes,Very well,3,3,5,none,none
31e2cihw40i0566cg72muino,19.49,2,4,4,4,4,0,37,Female,,Not Hispanic or Latino,['White'],Yes,Very well,4,4,5,tried to remember the symbols,
3l2umgnl4x6qfyiy6qgrbhxm,33.98,6,180,67,8,4,1,30,Male,,Not Hispanic or Latino,['Black or African American'],Yes,Very well,5,4,5,good,good
4pjlgf99dxbiw4qvtbrawfv3,20.13,1,7,5,4,4,0,50,Male,,Not Hispanic or Latino,['White'],Yes,Very well,1,4,5,I just tried to memorize colors and symbols.,
4szlmt4oe3431yy1oaqpqpff,21.92,16,7,19,7,4,0,39,Male,,Not Hispanic or Latino,['White'],Yes,Very well,3,1,5,"I tried to rely on memory alone, though it didn't work well as planned.",This is rather underpaid without a bonus.
5no1quf7b09qvj39sp0tw93k,26.62,22,129,11,4,13,1,43,Female,,Hispanic or Latino,['Black or African American'],Yes,Very well,2,4,5,no,good study 
6cu1d6b6mhcsptyj6axzb96y,21.04,1,4,4,4,4,0,45,Male,,Not Hispanic or Latino,['White'],Yes,Very well,2,4,5,too many changing trials to make an effective strategy,seemed the last batch was made of 75% red choices.  
7h5w3a6b38k9qu5xn0gorizt,17.67,0,4,4,4,4,0,33,Female,,Not Hispanic or Latino,['White'],Yes,Very well,4,4,5,I tried to repeat things in my head to help remember.,
7hmin7meo9algfnt83cf5ecf,22.25,2,4,46,4,4,0,34,Male,,Not Hispanic or Latino,['White'],Yes,Very well,2,2,5,no,
7jxxcaegdiogiz69etojrlz5,19.01,2,4,4,6,4,0,51,Male,,Not Hispanic or Latino,['White'],Yes,Very well,5,3,5,No i didnt write things down,"no additional comments, thank you"
