subID TrialNo Threat(1)/Safe(2) Fractal CodeOutcomeRightSide CodeOutcomeWrongSide CodeOutcomeNoPress ActualOutcome Circleside(1Left2Right) response Accuracy rt 
26 1 1 3 1 1 0 1 1 2 0 3.568817e-01 
26 2 1 1 0 1 1 0 1 1 1 5.988870e-01 
26 3 1 4 -1 -1 0 0 1 0 1 NaN 
26 4 1 4 -1 -1 0 -1 2 2 0 5.670780e-01 
26 5 1 3 0 0 1 0 1 1 0 6.005362e-01 
26 6 1 4 -1 -1 0 0 2 0 1 NaN 
26 7 1 3 0 0 1 0 1 1 0 5.362137e-01 
26 8 1 3 0 0 1 0 2 2 0 6.802086e-01 
26 9 1 1 1 0 0 0 2 0 0 NaN 
26 10 1 2 0 -1 -1 0 2 2 1 5.614082e-01 
26 11 1 4 0 0 -1 0 2 2 0 5.904512e-01 
26 12 1 3 0 0 1 0 2 2 0 6.535973e-01 
26 13 1 2 -1 0 0 0 2 0 0 NaN 
26 14 1 2 0 -1 -1 0 1 1 1 5.928473e-01 
26 15 1 1 1 0 0 1 2 2 1 5.825175e-01 
26 16 1 4 -1 -1 0 -1 1 1 0 6.317274e-01 
26 17 1 2 0 -1 -1 0 2 2 1 7.190223e-01 
26 18 1 1 1 0 0 0 1 0 0 NaN 
26 19 1 2 0 -1 -1 -1 1 0 0 NaN 
26 20 1 1 1 0 0 1 1 1 1 5.313177e-01 
26 1 2 1 1 0 0 1 1 1 1 5.827176e-01 
26 2 2 4 -1 -1 0 -1 2 2 0 7.117250e-01 
26 3 2 4 -1 -1 0 0 1 0 1 NaN 
26 4 2 2 0 -1 -1 0 2 2 1 5.622068e-01 
26 5 2 3 0 0 1 0 2 2 0 7.084868e-01 
26 6 2 1 1 0 0 1 1 1 1 6.931824e-01 
26 7 2 1 0 1 1 0 1 1 1 4.791622e-01 
26 8 2 1 1 0 0 1 2 2 1 5.525619e-01 
26 9 2 2 -1 0 0 -1 2 2 1 7.730924e-01 
26 10 2 2 0 -1 -1 -1 1 0 0 NaN 
26 11 2 4 -1 -1 0 -1 1 1 0 5.387090e-01 
26 12 2 3 0 0 1 1 1 0 1 NaN 
26 13 2 4 -1 -1 0 0 2 0 1 NaN 
26 14 2 3 1 1 0 1 1 1 0 6.117862e-01 
26 15 2 3 0 0 1 0 2 2 0 5.440298e-01 
26 16 2 3 0 0 1 0 1 1 0 4.873197e-01 
26 17 2 2 0 -1 -1 -1 2 0 0 NaN 
26 18 2 2 0 -1 -1 0 1 1 1 5.245193e-01 
26 19 2 1 1 0 0 1 2 2 1 4.454900e-01 
26 20 2 4 0 0 -1 -1 2 0 1 NaN 
26 1 1 3 0 0 1 0 1 1 0 5.090854e-01 
26 2 1 3 0 0 1 0 2 2 0 5.936040e-01 
26 3 1 4 0 0 -1 -1 2 0 1 NaN 
26 4 1 1 1 0 0 0 1 0 0 NaN 
26 5 1 4 -1 -1 0 -1 1 1 0 5.438498e-01 
26 6 1 3 1 1 0 1 1 1 0 6.747452e-01 
26 7 1 1 0 1 1 0 1 1 1 4.966875e-01 
26 8 1 3 0 0 1 0 1 1 0 3.189814e-01 
26 9 1 1 1 0 0 0 1 0 0 NaN 
26 10 1 4 -1 -1 0 0 1 0 1 NaN 
26 11 1 2 0 -1 -1 -1 2 0 0 NaN 
26 12 1 2 -1 0 0 -1 2 2 1 7.034080e-01 
26 13 1 1 1 0 0 0 2 0 0 NaN 
26 14 1 2 0 -1 -1 -1 1 0 0 NaN 
26 15 1 1 1 0 0 1 2 2 1 5.679141e-01 
26 16 1 4 -1 -1 0 -1 2 2 0 6.089172e-01 
26 17 1 3 0 0 1 0 2 2 0 5.029841e-01 
26 18 1 2 0 -1 -1 -1 2 0 0 NaN 
26 19 1 4 -1 -1 0 -1 2 2 0 4.113027e-01 
26 20 1 2 0 -1 -1 0 1 1 1 6.883542e-01 
26 1 2 3 1 1 0 0 1 0 1 NaN 
26 2 2 3 0 0 1 1 2 0 1 NaN 
26 3 2 4 -1 -1 0 -1 1 1 0 3.787718e-01 
26 4 2 1 1 0 0 1 1 1 1 3.140364e-01 
26 5 2 2 0 -1 -1 0 1 1 1 5.722339e-01 
