Block,Trial,Robot,Valence,Action,Correct,Sham
1,1,2,Win,No-Go,-1,0
1,2,3,Lose,Go,32,0
1,3,4,Lose,No-Go,-1,0
1,4,1,Win,Go,32,0
1,5,3,Lose,Go,32,1
1,6,4,Lose,No-Go,-1,0
1,7,1,Win,Go,32,0
1,8,2,Win,No-Go,-1,0
1,9,1,Win,Go,32,0
1,10,3,Lose,Go,32,0
1,11,2,Win,No-Go,-1,0
1,12,4,Lose,No-Go,-1,0
1,13,1,Win,Go,32,0
1,14,2,Win,No-Go,-1,0
1,15,3,Lose,Go,32,0
1,16,4,Lose,No-Go,-1,1
1,17,1,Win,Go,32,1
1,18,3,Lose,Go,32,0
1,19,2,Win,No-Go,-1,1
1,20,4,Lose,No-Go,-1,0
1,21,4,Lose,No-Go,-1,0
1,22,2,Win,No-Go,-1,0
1,23,1,Win,Go,32,0
1,24,3,Lose,Go,32,0
1,25,4,Lose,No-Go,-1,0
1,26,1,Win,Go,32,0
1,27,3,Lose,Go,32,0
1,28,2,Win,No-Go,-1,0
1,29,3,Lose,Go,32,0
1,30,2,Win,No-Go,-1,1
1,31,1,Win,Go,32,1
1,32,4,Lose,No-Go,-1,0
1,33,4,Lose,No-Go,-1,0
1,34,2,Win,No-Go,-1,0
1,35,1,Win,Go,32,0
1,36,3,Lose,Go,32,1
1,37,4,Lose,No-Go,-1,1
1,38,3,Lose,Go,32,0
1,39,1,Win,Go,32,0
1,40,2,Win,No-Go,-1,0
1,41,3,Lose,Go,32,1
1,42,2,Win,No-Go,-1,0
1,43,4,Lose,No-Go,-1,0
1,44,1,Win,Go,32,0
1,45,4,Lose,No-Go,-1,0
1,46,2,Win,No-Go,-1,1
1,47,3,Lose,Go,32,0
1,48,1,Win,Go,32,0
1,49,4,Lose,No-Go,-1,0
1,50,1,Win,Go,32,0
1,51,2,Win,No-Go,-1,0
1,52,3,Lose,Go,32,0
1,53,2,Win,No-Go,-1,0
1,54,3,Lose,Go,32,0
1,55,4,Lose,No-Go,-1,0
1,56,1,Win,Go,32,0
1,57,1,Win,Go,32,1
1,58,3,Lose,Go,32,0
1,59,4,Lose,No-Go,-1,1
1,60,2,Win,No-Go,-1,0
1,61,2,Win,No-Go,-1,0
1,62,3,Lose,Go,32,0
1,63,4,Lose,No-Go,-1,0
1,64,1,Win,Go,32,0
1,65,2,Win,No-Go,-1,0
1,66,4,Lose,No-Go,-1,0
1,67,1,Win,Go,32,1
1,68,3,Lose,Go,32,0
1,69,4,Lose,No-Go,-1,1
1,70,3,Lose,Go,32,0
1,71,1,Win,Go,32,0
1,72,2,Win,No-Go,-1,0
1,73,2,Win,No-Go,-1,0
1,74,3,Lose,Go,32,1
1,75,1,Win,Go,32,0
1,76,4,Lose,No-Go,-1,0
1,77,2,Win,No-Go,-1,1
1,78,1,Win,Go,32,0
1,79,4,Lose,No-Go,-1,0
1,80,3,Lose,Go,32,0
2,81,5,Win,Go,32,0
2,82,6,Win,No-Go,-1,0
2,83,8,Lose,No-Go,-1,0
2,84,7,Lose,Go,32,0
2,85,5,Win,Go,32,0
2,86,6,Win,No-Go,-1,0
2,87,7,Lose,Go,32,0
2,88,8,Lose,No-Go,-1,0
2,89,7,Lose,Go,32,1
2,90,5,Win,Go,32,1
2,91,6,Win,No-Go,-1,0
2,92,8,Lose,No-Go,-1,0
2,93,8,Lose,No-Go,-1,0
2,94,5,Win,Go,32,0
2,95,7,Lose,Go,32,0
2,96,6,Win,No-Go,-1,1
2,97,8,Lose,No-Go,-1,1
2,98,5,Win,Go,32,0
2,99,7,Lose,Go,32,0
2,100,6,Win,No-Go,-1,0
2,101,8,Lose,No-Go,-1,0
2,102,7,Lose,Go,32,0
2,103,5,Win,Go,32,1
2,104,6,Win,No-Go,-1,1
2,105,7,Lose,Go,32,0
2,106,5,Win,Go,32,0
2,107,6,Win,No-Go,-1,0
2,108,8,Lose,No-Go,-1,0
2,109,6,Win,No-Go,-1,0
2,110,8,Lose,No-Go,-1,0
2,111,5,Win,Go,32,0
2,112,7,Lose,Go,32,0
2,113,6,Win,No-Go,-1,0
2,114,8,Lose,No-Go,-1,0
2,115,7,Lose,Go,32,1
2,116,5,Win,Go,32,0
2,117,8,Lose,No-Go,-1,1
2,118,7,Lose,Go,32,0
2,119,6,Win,No-Go,-1,0
2,120,5,Win,Go,32,0
2,121,6,Win,No-Go,-1,0
2,122,8,Lose,No-Go,-1,0
2,123,7,Lose,Go,32,0
2,124,5,Win,Go,32,1
