subID TrialNo Threat(1)/Safe(2) Fractal CodeOutcomeRightSide CodeOutcomeWrongSide CodeOutcomeNoPress ActualOutcome Circleside(1Left2Right) response Accuracy rt 
2256 1 1 3 1 1 0 0 1 0 1 NaN 
2256 2 1 4 -1 -1 0 -1 1 1 0 5.521092e-01 
2256 3 1 2 -1 0 0 0 2 0 0 NaN 
2256 4 1 4 0 0 -1 -1 2 0 1 NaN 
2256 5 1 2 0 -1 -1 0 1 1 1 3.810179e-01 
2256 6 1 1 1 0 0 0 1 0 0 NaN 
2256 7 1 3 0 0 1 0 2 2 0 5.969497e-01 
2256 8 1 2 0 -1 -1 -1 1 0 0 NaN 
2256 9 1 1 1 0 0 1 1 1 1 7.381394e-01 
2256 10 1 4 -1 -1 0 -1 2 2 0 5.529190e-01 
2256 11 1 2 0 -1 -1 0 2 2 1 4.961060e-01 
2256 12 1 4 -1 -1 0 -1 2 2 0 9.062122e-01 
2256 13 1 3 0 0 1 1 2 0 1 NaN 
2256 14 1 1 1 0 0 1 2 2 1 5.784700e-01 
2256 15 1 3 0 0 1 0 1 1 0 4.768278e-01 
2256 16 1 1 1 0 0 0 2 0 0 NaN 
2256 17 1 4 -1 -1 0 -1 1 1 0 4.701000e-01 
2256 18 1 3 0 0 1 1 1 0 1 NaN 
2256 19 1 2 0 -1 -1 0 2 2 1 5.407322e-01 
2256 20 1 1 0 1 1 1 1 0 0 NaN 
2256 1 2 2 -1 0 0 0 2 0 0 NaN 
2256 2 2 1 1 0 0 0 1 0 0 NaN 
2256 3 2 4 -1 -1 0 -1 1 1 0 6.475554e-01 
2256 4 2 1 1 0 0 0 1 2 0 2.955710e-01 
2256 5 2 1 1 0 0 1 2 2 1 3.041589e-01 
2256 6 2 3 1 1 0 1 1 1 0 3.109884e-01 
2256 7 2 1 1 0 0 1 2 2 1 3.725293e-01 
2256 8 2 3 0 0 1 0 1 1 0 4.168993e-01 
2256 9 2 2 0 -1 -1 -1 1 0 0 NaN 
2256 10 2 2 0 -1 -1 -1 2 0 0 NaN 
2256 11 2 3 0 0 1 0 2 2 0 5.639813e-01 
2256 12 2 1 0 1 1 0 1 1 1 2.892641e-01 
2256 13 2 4 -1 -1 0 -1 1 1 0 4.685193e-01 
2256 14 2 4 0 0 -1 -1 2 0 1 NaN 
2256 15 2 2 0 -1 -1 0 1 1 1 4.378918e-01 
2256 16 2 2 0 -1 -1 -1 2 0 0 NaN 
2256 17 2 4 -1 -1 0 -1 2 2 0 4.825026e-01 
2256 18 2 4 -1 -1 0 0 2 0 1 NaN 
2256 19 2 3 0 0 1 0 2 2 0 3.932273e-01 
2256 20 2 3 0 0 1 0 1 1 0 6.929760e-01 
2256 1 1 2 0 -1 -1 0 1 1 1 6.858955e-01 
2256 2 1 3 0 0 1 0 1 1 0 6.157496e-01 
2256 3 1 3 0 0 1 1 2 0 1 NaN 
2256 4 1 4 0 0 -1 0 2 2 0 8.005858e-01 
2256 5 1 4 -1 -1 0 0 2 0 1 NaN 
2256 6 1 3 0 0 1 1 1 0 1 NaN 
2256 7 1 3 0 0 1 1 2 0 1 NaN 
2256 8 1 2 0 -1 -1 0 2 2 1 4.143095e-01 
2256 9 1 1 1 0 0 1 2 2 1 4.539409e-01 
2256 10 1 1 1 0 0 1 1 1 1 4.624915e-01 
2256 11 1 2 -1 0 0 -1 2 2 1 6.920884e-01 
2256 12 1 2 0 -1 -1 -1 1 0 0 NaN 
2256 13 1 1 0 1 1 0 1 1 1 3.726629e-01 
2256 14 1 1 1 0 0 1 2 2 1 3.145544e-01 
2256 15 1 3 1 1 0 1 1 1 0 3.956517e-01 
2256 16 1 2 0 -1 -1 0 2 2 1 4.568040e-01 
2256 17 1 1 1 0 0 1 1 1 1 3.645941e-01 
2256 18 1 4 -1 -1 0 0 1 0 1 NaN 
2256 19 1 4 -1 -1 0 0 1 0 1 NaN 
2256 20 1 4 -1 -1 0 -1 2 2 0 3.500750e-01 
2256 1 2 3 1 1 0 1 1 1 0 4.988653e-01 
2256 2 2 1 1 0 0 1 1 1 1 3.246497e-01 
2256 3 2 4 -1 -1 0 0 2 0 1 NaN 
2256 4 2 1 1 0 0 1 2 2 1 4.082217e-01 
2256 5 2 2 0 -1 -1 -1 1 0 0 NaN 
2256 6 2 4 0 0 -1 0 2 2 0 5.214902e-01 
2256 7 2 2 -1 0 0 0 2 0 0 NaN 
2256 8 2 4 -1 -1 0 -1 2 2 0 4.575485e-01 
2256 9 2 3 0 0 1 1 2 0 1 NaN 
2256 10 2 3 0 0 1 0 1 1 0 3.003051e-01 
2256 11 2 1 1 0 0 1 2 2 1 4.453859e-01 
2256 12 2 1 0 1 1 0 1 1 1 7.119772e-01 
2256 13 2 2 0 -1 -1 -1 2 0 0 NaN 
2256 14 2 3 0 0 1 0 2 2 0 4.188145e-01 
2256 15 2 4 -1 -1 0 -1 1 1 0 3.757013e-01 
2256 16 2 3 0 0 1 0 1 1 0 5.575340e-01 
2256 17 2 2 0 -1 -1 -1 1 0 0 NaN 
2256 18 2 1 1 0 0 0 1 2 0 2.999055e-01 
2256 19 2 4 -1 -1 0 0 1 0 1 NaN 
2256 20 2 2 0 -1 -1 0 2 2 1 6.542510e-01 
2256 1 1 2 0 -1 -1 0 2 2 1 8.547980e-01 
2256 2 1 3 1 1 0 1 1 1 0 2.918412e-01 
2256 3 1 3 0 0 1 0 1 1 0 4.978127e-01 
2256 4 1 1 0 1 1 0 1 1 1 4.423215e-01 
2256 5 1 3 0 0 1 0 2 2 0 6.811056e-01 
2256 6 1 4 0 0 -1 0 2 2 0 9.465268e-01 
2256 7 1 4 -1 -1 0 -1 2 2 0 4.998002e-01 
2256 8 1 1 1 0 0 1 2 2 1 5.257062e-01 
2256 9 1 2 0 -1 -1 0 1 1 1 4.534081e-01 
2256 10 1 1 1 0 0 1 2 2 1 6.148401e-01 
2256 11 1 4 -1 -1 0 -1 2 2 0 3.894992e-01 
2256 12 1 1 1 0 0 0 1 0 0 NaN 
2256 13 1 2 -1 0 0 -1 2 2 1 4.497985e-01 
2256 14 1 4 -1 -1 0 0 1 0 1 NaN 
2256 15 1 4 -1 -1 0 -1 1 1 0 4.682163e-01 
2256 16 1 1 1 0 0 0 1 0 0 NaN 
2256 17 1 2 0 -1 -1 0 1 1 1 3.671572e-01 
2256 18 1 3 0 0 1 1 1 0 1 NaN 
2256 19 1 2 0 -1 -1 0 2 2 1 3.204008e-01 
2256 20 1 3 0 0 1 0 2 2 0 7.459592e-01 
2256 1 2 1 1 0 0 1 1 1 1 4.740191e-01 
2256 2 2 2 -1 0 0 0 2 0 0 NaN 
2256 3 2 1 1 0 0 1 2 2 1 2.504976e-01 
2256 4 2 3 0 0 1 0 1 1 0 3.406290e-01 
2256 5 2 4 -1 -1 0 -1 1 1 0 4.450045e-01 
2256 6 2 3 0 0 1 0 1 1 0 3.537397e-01 
2256 7 2 4 -1 -1 0 -1 2 2 0 3.026385e-01 
2256 8 2 2 0 -1 -1 0 2 2 1 4.130761e-01 
2256 9 2 3 0 0 1 0 2 2 0 5.426525e-01 
2256 10 2 4 0 0 -1 -1 2 0 1 NaN 
2256 11 2 2 0 -1 -1 -1 1 0 0 NaN 
2256 12 2 2 0 -1 -1 -1 2 0 0 NaN 
2256 13 2 1 0 1 1 0 1 1 1 3.603250e-01 
2256 14 2 1 1 0 0 1 1 1 1 6.946638e-01 
2256 15 2 4 -1 -1 0 0 2 0 1 NaN 
2256 16 2 2 0 -1 -1 -1 1 0 0 NaN 
2256 17 2 3 1 1 0 0 1 0 1 NaN 
2256 18 2 3 0 0 1 1 2 0 1 NaN 
2256 19 2 1 1 0 0 1 2 2 1 5.330086e-01 
2256 20 2 4 -1 -1 0 0 1 0 1 NaN 
2256 1 1 3 0 0 1 0 2 2 0 5.389680e-01 
2256 2 1 4 -1 -1 0 -1 2 2 0 6.510468e-01 
2256 3 1 3 0 0 1 1 1 0 1 NaN 
2256 4 1 2 0 -1 -1 0 2 2 1 4.071883e-01 
2256 5 1 4 0 0 -1 -1 2 0 1 NaN 
2256 6 1 1 1 0 0 1 1 1 1 5.111330e-01 
2256 7 1 1 1 0 0 1 2 2 1 5.533378e-01 
2256 8 1 2 0 -1 -1 -1 1 0 0 NaN 
2256 9 1 2 0 -1 -1 -1 1 0 0 NaN 
2256 10 1 4 -1 -1 0 0 1 0 1 NaN 
2256 11 1 4 -1 -1 0 -1 2 2 0 3.394452e-01 
2256 12 1 1 0 1 1 0 1 1 1 6.510674e-01 
2256 13 1 3 0 0 1 0 1 1 0 5.136817e-01 
2256 14 1 1 1 0 0 0 2 0 0 NaN 
2256 15 1 3 1 1 0 0 1 0 1 NaN 
2256 16 1 2 0 -1 -1 0 2 2 1 4.738212e-01 
2256 17 1 4 -1 -1 0 0 1 0 1 NaN 
2256 18 1 1 1 0 0 0 1 0 0 NaN 
2256 19 1 3 0 0 1 1 2 0 1 NaN 
2256 20 1 2 -1 0 0 -1 2 2 1 4.246410e-01 
2256 1 2 4 -1 -1 0 0 1 0 1 NaN 
2256 2 2 2 0 -1 -1 -1 2 0 0 NaN 
2256 3 2 4 0 0 -1 0 2 2 0 4.248304e-01 
2256 4 2 4 -1 -1 0 -1 2 2 0 5.631762e-01 
2256 5 2 1 1 0 0 1 1 1 1 3.618800e-01 
2256 6 2 3 0 0 1 1 1 0 1 NaN 
2256 7 2 1 1 0 0 1 2 2 1 2.677501e-01 
2256 8 2 3 1 1 0 1 1 1 0 4.105938e-01 
2256 9 2 2 0 -1 -1 -1 2 0 0 NaN 
2256 10 2 1 1 0 0 1 2 2 1 7.565613e-01 
2256 11 2 3 0 0 1 0 2 2 0 6.290024e-01 
2256 12 2 2 0 -1 -1 -1 1 0 0 NaN 
2256 13 2 4 -1 -1 0 0 2 0 1 NaN 
2256 14 2 1 0 1 1 1 1 0 0 NaN 
2256 15 2 2 0 -1 -1 -1 1 0 0 NaN 
2256 16 2 1 1 0 0 1 1 1 1 4.502403e-01 
