subject,session,block,trial,exposure,stimulus,valence,action,robot,rune,color,correct,choice,rt,accuracy,sham,outcome,totalkeys
0ubclurpshlgyru3cwo3stun,1,1,1,1,1,win,no-go,ngw,rune_02_os,yellow,0,1,0.396,0,0.0,+1,1
0ubclurpshlgyru3cwo3stun,1,1,2,1,2,win,go,gw,rune_02_cen,yellow,1,1,0.561,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,1,3,1,3,lose,go,gal,rune_02_raido,blue,1,1,0.577,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,1,4,1,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,1,5,2,1,win,no-go,ngw,rune_02_os,yellow,0,1,0.614,0,0.0,+1,1
0ubclurpshlgyru3cwo3stun,1,1,6,2,2,win,go,gw,rune_02_cen,yellow,1,1,0.455,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,1,7,2,3,lose,go,gal,rune_02_raido,blue,1,0,,0,0.0,-10,0
0ubclurpshlgyru3cwo3stun,1,1,8,2,4,lose,no-go,ngal,rune_02_haglaz,blue,0,1,0.752,0,1.0,-1,1
0ubclurpshlgyru3cwo3stun,1,1,9,3,3,lose,go,gal,rune_02_raido,blue,1,1,0.958,1,1.0,-10,1
0ubclurpshlgyru3cwo3stun,1,1,10,3,1,win,no-go,ngw,rune_02_os,yellow,0,1,0.76,0,0.0,+1,1
0ubclurpshlgyru3cwo3stun,1,1,11,3,4,lose,no-go,ngal,rune_02_haglaz,blue,0,1,0.803,0,0.0,-10,1
0ubclurpshlgyru3cwo3stun,1,1,12,3,2,win,go,gw,rune_02_cen,yellow,1,1,0.633,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,1,13,4,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,1,14,4,2,win,go,gw,rune_02_cen,yellow,1,1,0.625,1,1.0,+1,1
0ubclurpshlgyru3cwo3stun,1,1,15,4,1,win,no-go,ngw,rune_02_os,yellow,0,1,0.965,0,0.0,+1,1
0ubclurpshlgyru3cwo3stun,1,1,16,4,3,lose,go,gal,rune_02_raido,blue,1,0,,0,0.0,-10,0
0ubclurpshlgyru3cwo3stun,1,1,17,5,3,lose,go,gal,rune_02_raido,blue,1,1,0.528,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,1,18,5,2,win,go,gw,rune_02_cen,yellow,1,1,0.592,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,1,19,5,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,1,20,5,1,win,no-go,ngw,rune_02_os,yellow,0,0,,1,1.0,+1,0
0ubclurpshlgyru3cwo3stun,1,1,21,6,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,1,22,6,2,win,go,gw,rune_02_cen,yellow,1,1,0.446,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,1,23,6,1,win,no-go,ngw,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,1,24,6,3,lose,go,gal,rune_02_raido,blue,1,1,1.059,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,1,25,7,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,1.0,-10,0
0ubclurpshlgyru3cwo3stun,1,1,26,7,2,win,go,gw,rune_02_cen,yellow,1,1,0.729,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,1,27,7,3,lose,go,gal,rune_02_raido,blue,1,1,1.241,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,1,28,7,1,win,no-go,ngw,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,1,29,8,2,win,go,gw,rune_02_cen,yellow,1,1,0.507,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,1,30,8,1,win,no-go,ngw,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,1,31,8,3,lose,go,gal,rune_02_raido,blue,1,1,0.918,1,1.0,-10,1
0ubclurpshlgyru3cwo3stun,1,1,32,8,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,1,33,9,2,win,go,gw,rune_02_cen,yellow,1,1,0.426,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,1,34,9,3,lose,go,gal,rune_02_raido,blue,1,1,0.532,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,1,35,9,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,1,36,9,1,win,no-go,ngw,rune_02_os,yellow,0,0,,1,1.0,+1,0
0ubclurpshlgyru3cwo3stun,1,1,37,10,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,1,38,10,2,win,go,gw,rune_02_cen,yellow,1,1,0.31,1,1.0,+1,1
0ubclurpshlgyru3cwo3stun,1,1,39,10,1,win,no-go,ngw,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,1,40,10,3,lose,go,gal,rune_02_raido,blue,1,1,0.481,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,1,41,11,1,win,no-go,ngw,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,1,42,11,2,win,go,gw,rune_02_cen,yellow,1,1,0.374,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,1,43,11,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,1,44,11,3,lose,go,gal,rune_02_raido,blue,1,1,0.605,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,1,45,12,2,win,go,gw,rune_02_cen,yellow,1,1,0.4,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,1,46,12,1,win,no-go,ngw,rune_02_os,yellow,0,0,,1,1.0,+1,0
0ubclurpshlgyru3cwo3stun,1,1,47,12,3,lose,go,gal,rune_02_raido,blue,1,1,0.672,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,1,48,12,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,1,49,13,3,lose,go,gal,rune_02_raido,blue,1,1,0.621,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,1,50,13,2,win,go,gw,rune_02_cen,yellow,1,1,0.47,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,1,51,13,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,1.0,-10,0
0ubclurpshlgyru3cwo3stun,1,1,52,13,1,win,no-go,ngw,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,1,53,14,2,win,go,gw,rune_02_cen,yellow,1,1,0.396,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,1,54,14,3,lose,go,gal,rune_02_raido,blue,1,1,0.413,1,1.0,-10,1
0ubclurpshlgyru3cwo3stun,1,1,55,14,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,1,56,14,1,win,no-go,ngw,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,1,57,15,3,lose,go,gal,rune_02_raido,blue,1,1,0.569,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,1,58,15,1,win,no-go,ngw,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,1,59,15,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,1,60,15,2,win,go,gw,rune_02_cen,yellow,1,1,0.341,1,1.0,+1,1
0ubclurpshlgyru3cwo3stun,1,1,61,16,1,win,no-go,ngw,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,1,62,16,2,win,go,gw,rune_02_cen,yellow,1,1,0.389,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,1,63,16,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,1,64,16,3,lose,go,gal,rune_02_raido,blue,1,1,0.614,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,1,65,17,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,1,66,17,3,lose,go,gal,rune_02_raido,blue,1,1,0.511,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,1,67,17,2,win,go,gw,rune_02_cen,yellow,1,1,0.371,1,1.0,+1,1
0ubclurpshlgyru3cwo3stun,1,1,68,17,1,win,no-go,ngw,rune_02_os,yellow,0,1,0.409,0,0.0,+1,1
0ubclurpshlgyru3cwo3stun,1,1,69,18,1,win,no-go,ngw,rune_02_os,yellow,0,0,,1,1.0,+1,0
0ubclurpshlgyru3cwo3stun,1,1,70,18,2,win,go,gw,rune_02_cen,yellow,1,1,0.366,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,1,71,18,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,1.0,-10,0
0ubclurpshlgyru3cwo3stun,1,1,72,18,3,lose,go,gal,rune_02_raido,blue,1,1,0.463,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,1,73,19,1,win,no-go,ngw,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,1,74,19,3,lose,go,gal,rune_02_raido,blue,1,1,0.531,1,1.0,-10,1
0ubclurpshlgyru3cwo3stun,1,1,75,19,2,win,go,gw,rune_02_cen,yellow,1,1,0.471,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,1,76,19,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,1,77,20,3,lose,go,gal,rune_02_raido,blue,1,1,0.483,1,0.0,-1,1
