name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
beta_mu[1,1]	2.01	0.00702	0.108	1.83	2.01	2.17	235.0	0.188	1.01
beta_mu[1,2]	2.69	0.00674	0.107	2.51	2.69	2.86	254.0	0.203	1.01
beta_mu[2,1]	1.65	0.00534	0.151	1.4	1.65	1.9	795.0	0.635	1.0
beta_mu[2,2]	1.5	0.0053	0.162	1.23	1.49	1.76	931.0	0.743	1.0
beta_mu[3,1]	0.233	0.00346	0.106	0.0581	0.234	0.407	937.0	0.748	1.0
beta_mu[3,2]	0.448	0.00326	0.118	0.256	0.446	0.645	1310.0	1.05	1.0
beta_mu[4,1]	-2.44	0.0076	0.205	-2.78	-2.44	-2.11	730.0	0.583	1.0
beta_mu[4,2]	-2.14	0.00738	0.223	-2.51	-2.14	-1.77	908.0	0.725	1.0
alpha[1]	-0.0128	0.000955	0.0331	-0.0686	-0.0116	0.0401	1200.0	0.959	1.0
beta_c_pr[1,1]	0.889	0.00818	0.286	0.436	0.881	1.37	1224.0	0.977	1.0
beta_c_pr[1,2]	-1.26	0.00992	0.186	-1.57	-1.26	-0.956	352.0	0.281	1.0
beta_c_pr[1,3]	-1.15	0.00973	0.185	-1.46	-1.15	-0.856	362.0	0.289	1.01
beta_c_pr[1,4]	0.681	0.00698	0.275	0.24	0.676	1.15	1558.0	1.24	1.0
beta_c_pr[1,5]	0.728	0.00757	0.268	0.299	0.719	1.19	1258.0	1.0	1.0
beta_c_pr[1,6]	0.608	0.00691	0.256	0.197	0.605	1.05	1372.0	1.1	1.0
beta_c_pr[1,7]	-0.473	0.00857	0.202	-0.798	-0.472	-0.137	553.0	0.441	1.0
beta_c_pr[1,8]	-0.917	0.00936	0.185	-1.23	-0.915	-0.611	391.0	0.312	1.0
beta_c_pr[1,9]	0.672	0.00696	0.261	0.254	0.665	1.12	1410.0	1.13	1.0
beta_c_pr[1,10]	-1.05	0.00911	0.182	-1.35	-1.05	-0.755	399.0	0.319	1.0
beta_c_pr[1,11]	-0.58	0.00834	0.195	-0.909	-0.576	-0.259	544.0	0.435	1.0
beta_c_pr[1,12]	-0.122	0.00769	0.204	-0.456	-0.127	0.21	701.0	0.56	1.0
beta_c_pr[1,13]	-1.11	0.00926	0.21	-1.46	-1.1	-0.775	513.0	0.41	1.01
beta_c_pr[1,14]	0.0498	0.00731	0.222	-0.296	0.0446	0.424	920.0	0.734	1.0
beta_c_pr[1,15]	1.18	0.00879	0.326	0.669	1.17	1.73	1373.0	1.1	1.0
beta_c_pr[1,16]	0.449	0.00692	0.236	0.0673	0.447	0.843	1161.0	0.927	0.999
beta_c_pr[1,17]	0.92	0.00812	0.298	0.442	0.907	1.43	1342.0	1.07	1.0
