	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
beta_mu_01[1]	3.71	0.00501	0.109	3.5	3.71	3.92	473.0	0.0243	1.01
beta_mu_01[2]	1.13	0.00117	0.0593	1.01	1.13	1.24	2557.0	0.131	1.0
beta_mu_01[3]	0.245	0.000904	0.0512	0.139	0.245	0.341	3202.0	0.164	1.0
beta_mu_01[4]	0.709	0.00108	0.0549	0.593	0.71	0.811	2585.0	0.133	1.0
beta_mu_01[5]	5.27	0.00581	0.201	4.85	5.27	5.64	1193.0	0.0612	1.0
beta_mu_02[1]	-0.0113	0.000791	0.0476	-0.109	-0.0114	0.0779	3622.0	0.186	1.0
beta_mu_02[2]	0.233	0.0113	0.208	-0.207	0.235	0.625	341.0	0.0175	1.01
sigma[1]	1.95	0.0036	0.0891	1.78	1.95	2.13	614.0	0.0315	1.01
sigma[2]	0.927	0.00106	0.0496	0.829	0.925	1.02	2171.0	0.111	1.0
sigma[3]	0.721	0.000944	0.0452	0.63	0.72	0.809	2295.0	0.118	1.0
sigma[4]	0.849	0.000998	0.0475	0.755	0.848	0.942	2262.0	0.116	1.0
sigma[5]	3.45	0.0058	0.177	3.1	3.45	3.81	930.0	0.0477	1.0
beta[1,1,1]	0.509	0.00887	0.544	-0.509	0.477	1.6	3766.0	0.193	1.0
beta[2,1,1]	-3.13	0.0077	0.209	-3.56	-3.13	-2.75	734.0	0.0376	1.01
beta[3,1,1]	-2.36	0.00822	0.24	-2.84	-2.37	-1.9	856.0	0.0439	1.0
beta[4,1,1]	-0.563	0.00811	0.396	-1.36	-0.57	0.197	2385.0	0.122	1.0
beta[5,1,1]	-1.11	0.00827	0.336	-1.75	-1.13	-0.455	1647.0	0.0845	1.0
beta[6,1,1]	-0.231	0.00767	0.428	-1.04	-0.249	0.617	3106.0	0.159	1.0
beta[7,1,1]	-1.3	0.00814	0.323	-1.93	-1.31	-0.668	1576.0	0.0809	1.0
beta[8,1,1]	0.215	0.00905	0.486	-0.737	0.197	1.14	2884.0	0.148	1.0
beta[9,1,1]	-2.67	0.00722	0.219	-3.13	-2.67	-2.25	920.0	0.0472	1.0
beta[10,1,1]	-0.273	0.00832	0.486	-1.18	-0.301	0.695	3414.0	0.175	1.0
beta[11,1,1]	-2.07	0.00812	0.261	-2.58	-2.07	-1.57	1033.0	0.053	1.0
beta[12,1,1]	-2.38	0.00808	0.243	-2.87	-2.38	-1.92	906.0	0.0465	1.01
beta[13,1,1]	-0.929	0.00947	0.345	-1.62	-0.945	-0.261	1328.0	0.0681	1.0
beta[14,1,1]	-2.9	0.00764	0.219	-3.36	-2.9	-2.49	820.0	0.0421	1.0
beta[15,1,1]	-1.98	0.00748	0.245	-2.5	-1.98	-1.52	1072.0	0.055	1.0
beta[16,1,1]	0.846	0.0095	0.611	-0.323	0.826	2.04	4136.0	0.212	1.0
beta[17,1,1]	0.577	0.0102	0.607	-0.56	0.539	1.77	3563.0	0.183	1.0
beta[18,1,1]	2.56	0.0114	0.83	0.932	2.54	4.17	5278.0	0.271	1.0
beta[19,1,1]	-2.05	0.00765	0.269	-2.58	-2.06	-1.52	1231.0	0.0631	1.0
beta[20,1,1]	-0.493	0.00793	0.412	-1.3	-0.506	0.305	2704.0	0.139	1.0
beta[21,1,1]	2.48	0.0117	0.914	0.78	2.44	4.29	6139.0	0.315	1.0
beta[22,1,1]	0.252	0.00847	0.519	-0.722	0.227	1.31	3748.0	0.192	1.0
beta[23,1,1]	-2.81	0.00719	0.238	-3.3	-2.81	-2.35	1095.0	0.0562	1.0
beta[24,1,1]	0.0351	0.0081	0.471	-0.846	0.0116	0.999	3386.0	0.174	1.0
beta[25,1,1]	-2.0	0.00777	0.249	-2.5	-2.0	-1.53	1025.0	0.0526	1.0
beta[26,1,1]	1.07	0.012	0.694	-0.227	1.04	2.48	3336.0	0.171	1.0
beta[27,1,1]	-3.29	0.00748	0.2	-3.7	-3.28	-2.92	716.0	0.0367	1.01
beta[28,1,1]	0.302	0.00893	0.527	-0.692	0.282	1.36	3488.0	0.179	1.0
beta[29,1,1]	1.74	0.0105	0.734	0.319	1.72	3.19	4851.0	0.249	1.0
beta[30,1,1]	-0.273	0.00844	0.415	-1.06	-0.292	0.55	2414.0	0.124	1.0
beta[31,1,1]	-3.21	0.00798	0.207	-3.64	-3.21	-2.81	676.0	0.0347	1.01
beta[32,1,1]	-0.962	0.00857	0.386	-1.71	-0.98	-0.197	2029.0	0.104	1.0
beta[33,1,1]	-2.13	0.00724	0.254	-2.64	-2.14	-1.64	1230.0	0.0631	1.0
beta[34,1,1]	-0.323	0.00812	0.396	-1.09	-0.337	0.451	2377.0	0.122	1.0
beta[35,1,1]	-1.25	0.00807	0.331	-1.88	-1.27	-0.591	1684.0	0.0864	1.0
beta[36,1,1]	-0.0464	0.0095	0.454	-0.911	-0.0638	0.842	2283.0	0.117	1.0
beta[37,1,1]	-2.75	0.00734	0.211	-3.19	-2.75	-2.36	829.0	0.0425	1.0
beta[38,1,1]	-2.43	0.0075	0.228	-2.89	-2.43	-1.98	925.0	0.0474	1.01
beta[39,1,1]	-2.66	0.00762	0.214	-3.1	-2.66	-2.25	790.0	0.0405	1.01
beta[40,1,1]	-3.03	0.00781	0.239	-3.52	-3.03	-2.58	936.0	0.048	1.0
beta[41,1,1]	-2.95	0.00802	0.209	-3.37	-2.95	-2.56	677.0	0.0347	1.01
beta[42,1,1]	1.95	0.0107	0.759	0.504	1.93	3.39	5075.0	0.26	1.0
beta[43,1,1]	-0.966	0.00727	0.318	-1.6	-0.977	-0.361	1919.0	0.0984	1.0
beta[44,1,1]	-2.7	0.00724	0.215	-3.13	-2.7	-2.3	881.0	0.0452	1.0
beta[45,1,1]	-1.48	0.00726	0.288	-2.06	-1.48	-0.917	1577.0	0.0809	1.0
beta[46,1,1]	1.34	0.0106	0.715	0.0336	1.29	2.81	4560.0	0.234	1.0
beta[47,1,1]	-1.44	0.00769	0.31	-2.06	-1.44	-0.855	1620.0	0.0831	1.0
beta[48,1,1]	-0.218	0.00876	0.446	-1.07	-0.241	0.681	2590.0	0.133	1.0
beta[49,1,1]	-1.32	0.00833	0.313	-1.96	-1.33	-0.715	1409.0	0.0723	1.0
beta[50,1,1]	-3.0	0.0079	0.22	-3.44	-3.0	-2.6	777.0	0.0399	1.01
beta[51,1,1]	-2.09	0.00803	0.267	-2.64	-2.1	-1.58	1105.0	0.0567	1.0
beta[52,1,1]	-0.369	0.00963	0.447	-1.22	-0.391	0.511	2149.0	0.11	1.0
beta[53,1,1]	-3.19	0.00779	0.207	-3.62	-3.2	-2.79	709.0	0.0364	1.01
beta[54,1,1]	-2.39	0.00739	0.221	-2.84	-2.39	-1.97	896.0	0.046	1.0
beta[55,1,1]	0.171	0.00895	0.499	-0.779	0.141	1.19	3114.0	0.16	1.0
beta[56,1,1]	1.43	0.0104	0.688	0.115	1.4	2.79	4401.0	0.226	1.0
beta[57,1,1]	-2.82	0.0072	0.214	-3.26	-2.82	-2.42	887.0	0.0455	1.0
beta[58,1,1]	-1.08	0.0072	0.318	-1.69	-1.09	-0.451	1948.0	0.0999	1.0
beta[59,1,1]	-2.42	0.0082	0.245	-2.93	-2.42	-1.96	895.0	0.0459	1.01
beta[60,1,1]	-2.28	0.00801	0.254	-2.8	-2.29	-1.78	1006.0	0.0516	1.0
beta[61,1,1]	0.0951	0.00803	0.479	-0.815	0.0738	1.06	3564.0	0.183	1.0
