name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
mu_pr[1]	2.84	0.0132	0.289	2.39	2.83	3.33	480.0	0.0163	1.01
mu_pr[2]	0.236	0.000323	0.0171	0.208	0.236	0.265	2817.0	0.0956	1.0
mu_pr[3]	0.0227	0.000167	0.0113	0.00419	0.0227	0.0414	4597.0	0.156	1.0
mu_pr[4]	-1.13	0.00482	0.0989	-1.29	-1.13	-0.963	420.0	0.0143	1.01
theta_pr[1,1]	0.0142	0.00703	0.416	-0.553	-0.0462	0.799	3504.0	0.119	1.0
theta_pr[1,2]	0.687	0.158	1.37	-1.55	1.18	2.37	75.2	0.00255	1.07
theta_pr[1,3]	0.658	0.0199	0.968	-1.14	0.857	2.0	2356.0	0.08	1.0
theta_pr[1,4]	-0.483	0.00719	0.283	-0.855	-0.519	0.0103	1552.0	0.0527	1.0
theta_pr[1,5]	-0.764	0.0111	0.489	-1.21	-0.897	0.365	1955.0	0.0664	1.0
theta_pr[1,6]	0.173	0.00711	0.465	-0.47	0.105	1.04	4284.0	0.145	1.0
theta_pr[1,7]	-0.28	0.0153	0.748	-1.1	-0.555	1.2	2396.0	0.0814	1.0
theta_pr[1,8]	-0.185	0.00741	0.256	-0.578	-0.2	0.261	1196.0	0.0406	1.01
theta_pr[1,9]	-0.392	0.0762	1.22	-1.52	-1.15	1.76	255.0	0.00865	1.01
theta_pr[1,10]	0.865	0.00701	0.541	0.0351	0.827	1.82	5947.0	0.202	1.0
theta_pr[1,11]	0.905	0.00749	0.637	-0.192	0.925	1.92	7218.0	0.245	1.0
theta_pr[1,12]	-1.24	0.00752	0.154	-1.5	-1.23	-0.99	418.0	0.0142	1.01
theta_pr[1,13]	0.903	0.00712	0.593	-0.0733	0.896	1.89	6942.0	0.236	1.0
theta_pr[1,14]	-1.4	0.00763	0.16	-1.67	-1.39	-1.14	438.0	0.0149	1.01
theta_pr[1,15]	-0.197	0.0871	1.21	-1.39	-0.987	1.88	193.0	0.00657	1.03
theta_pr[1,16]	0.202	0.00771	0.428	-0.39	0.151	0.993	3076.0	0.104	1.0
theta_pr[1,17]	0.321	0.00669	0.502	-0.413	0.268	1.22	5626.0	0.191	1.0
theta_pr[1,18]	0.686	0.0084	0.468	0.0066	0.645	1.51	3101.0	0.105	1.0
theta_pr[1,19]	-0.511	0.0226	0.871	-1.31	-0.942	1.28	1489.0	0.0506	1.0
theta_pr[1,20]	0.67	0.00705	0.581	-0.259	0.656	1.64	6772.0	0.23	1.0
theta_pr[1,21]	0.79	0.00895	0.442	0.13	0.761	1.57	2437.0	0.0827	1.0
theta_pr[1,22]	0.812	0.00752	0.504	0.0301	0.795	1.67	4491.0	0.152	1.0
theta_pr[1,23]	-1.34	0.00755	0.158	-1.6	-1.33	-1.08	438.0	0.0149	1.01
theta_pr[1,24]	-0.293	0.00596	0.325	-0.727	-0.343	0.313	2972.0	0.101	1.0
theta_pr[1,25]	-0.173	0.0497	1.13	-1.38	-0.794	1.67	516.0	0.0175	1.01
