subject	session	block	trial	exposure	valence	action	robot	correct	choice	rt	accuracy	sham	outcome	Y_hat	Y_pred	waic
0ubclurpshlgyru3cwo3stun	2	2	123	1	0	Go	GAL	1	1	0.689	1	0.0	1	0.7067	0.7028480918283407	-0.3607009848425381
0ubclurpshlgyru3cwo3stun	2	2	125	2	0	Go	GAL	1	1	1.052	1	0.0	1	0.9001	0.8968675032448309	-0.11166435047167539
0ubclurpshlgyru3cwo3stun	2	2	132	3	0	Go	GAL	1	1	0.506	1	1.0	0	0.9633	0.9622958642732446	-0.039191048620293656
0ubclurpshlgyru3cwo3stun	2	2	134	4	0	Go	GAL	1	1	0.534	1	0.0	1	0.8487	0.8468850007592633	-0.16941652294191564
0ubclurpshlgyru3cwo3stun	2	2	140	5	0	Go	GAL	1	1	0.505	1	0.0	1	0.9443	0.9474163016890672	-0.05497732828323206
0ubclurpshlgyru3cwo3stun	2	2	141	6	0	Go	GAL	1	1	0.576	1	0.0	1	0.9799	0.9797220334112361	-0.020747542535566696
0ubclurpshlgyru3cwo3stun	2	2	147	7	0	Go	GAL	1	1	0.333	1	0.0	1	0.9923	0.9912252308617368	-0.008886968922262093
0ubclurpshlgyru3cwo3stun	2	2	150	8	0	Go	GAL	1	1	0.445	1	0.0	1	0.9961	0.9958047742693125	-0.004226588807750517
0ubclurpshlgyru3cwo3stun	2	2	153	9	0	Go	GAL	1	1	0.521	1	1.0	0	0.9983	0.9978138430581414	-0.002196182974352036
0ubclurpshlgyru3cwo3stun	2	2	158	10	0	Go	GAL	1	1	0.488	1	0.0	1	0.9868	0.9872898769118336	-0.012893085445139035
0ubclurpshlgyru3cwo3stun	2	2	163	11	0	Go	GAL	1	1	0.462	1	0.0	1	0.9948	0.9944770168821153	-0.0055644957495771825
0ubclurpshlgyru3cwo3stun	2	2	167	12	0	Go	GAL	1	1	0.423	1	0.0	1	0.9965	0.997281835458044	-0.0027304661935473483
0ubclurpshlgyru3cwo3stun	2	2	171	13	0	Go	GAL	1	1	0.401	1	1.0	0	0.9986	0.9985276863504805	-0.0014766186326644157
0ubclurpshlgyru3cwo3stun	2	2	174	14	0	Go	GAL	1	1	0.421	1	0.0	1	0.9912	0.9898784315443272	-0.010277730291538086
0ubclurpshlgyru3cwo3stun	2	2	177	15	0	Go	GAL	1	1	0.373	1	0.0	1	0.9955	0.9956929609504865	-0.004335468518229829
0ubclurpshlgyru3cwo3stun	2	2	181	16	0	Go	GAL	1	1	0.28	1	0.0	1	0.9986	0.9978696385971698	-0.002138438818408405
0ubclurpshlgyru3cwo3stun	2	2	186	17	0	Go	GAL	1	1	0.478	1	0.0	1	0.9986	0.998827066568185	-0.0011758082458175312
0ubclurpshlgyru3cwo3stun	2	2	192	18	0	Go	GAL	1	1	0.415	1	0.0	1	0.9993	0.9992975875689477	-0.0007036095340253943
0ubclurpshlgyru3cwo3stun	2	2	194	19	0	Go	GAL	1	1	0.443	1	0.0	1	0.9992	0.9995489950759032	-0.00045157046059909124
0ubclurpshlgyru3cwo3stun	2	2	198	20	0	Go	GAL	1	1	0.508	1	1.0	0	0.9995	0.999692599560857	-0.00030769828543137024
0ubclurpshlgyru3cwo3stun	2	2	202	21	0	Go	GAL	1	1	0.425	1	1.0	0	0.9963	0.9971877514954968	-0.002836873366915
0ubclurpshlgyru3cwo3stun	2	2	206	22	0	Go	GAL	1	1	0.428	1	0.0	1	0.9782	0.9774039797512105	-0.024761872355237382
0ubclurpshlgyru3cwo3stun	2	2	210	23	0	Go	GAL	1	1	0.493	1	0.0	1	0.9934	0.9926964472187166	-0.007423743251772739
0ubclurpshlgyru3cwo3stun	2	2	216	24	0	Go	GAL	1	1	0.458	1	0.0	1	0.9972	0.9969373993808461	-0.003082302995698784
0ubclurpshlgyru3cwo3stun	2	2	220	25	0	Go	GAL	1	1	0.444	1	0.0	1	0.9989	0.9984727082340216	-0.001532598635467878
0ubclurpshlgyru3cwo3stun	2	2	222	26	0	Go	GAL	1	1	0.455	1	0.0	1	0.999	0.99914128173968	-0.0008606066958129054
0ubclurpshlgyru3cwo3stun	2	2	228	27	0	Go	GAL	1	1	0.532	1	0.0	1	0.9998	0.9994714238642509	-0.000529386978304664
0ubclurpshlgyru3cwo3stun	2	2	230	28	0	Go	GAL	1	1	0.408	1	0.0	1	0.9999	0.9996502073807977	-0.0003501937724043092
0ubclurpshlgyru3cwo3stun	2	2	233	29	0	Go	GAL	1	1	0.362	1	1.0	0	0.9998	0.999754195240183	-0.00024602728873957094
0ubclurpshlgyru3cwo3stun	2	2	237	30	0	Go	GAL	1	1	0.462	1	0.0	1	0.9971	0.9974989129581969	-0.0025244950912428894
0ubclurpshlgyru3cwo3stun	2	2	122	1	1	No-Go	NGW	0	1	0.687	0	0.0	0	0.7069	0.7028480918283407	-0.3607009848425381
0ubclurpshlgyru3cwo3stun	2	2	127	2	1	No-Go	NGW	0	0		1	1.0	0	0.3782	0.6211793159079823	-0.4941231689437927
0ubclurpshlgyru3cwo3stun	2	2	129	3	1	No-Go	NGW	0	1	0.323	0	0.0	0	0.6949	0.7028480918283407	-0.3607009848425381
0ubclurpshlgyru3cwo3stun	2	2	135	4	1	No-Go	NGW	0	0		1	0.0	1	0.4137	0.580155239514508	-0.5618995453708087
0ubclurpshlgyru3cwo3stun	2	2	138	5	1	No-Go	NGW	0	0		1	0.0	1	0.1404	0.854621153934677	-0.16421986537383473
0ubclurpshlgyru3cwo3stun	2	2	142	6	1	No-Go	NGW	0	0		1	0.0	1	0.0505	0.9496807129907698	-0.05339942692512725
0ubclurpshlgyru3cwo3stun	2	2	145	7	1	No-Go	NGW	0	0		1	0.0	1	0.019	0.9807495668657759	-0.019855148214687517
0ubclurpshlgyru3cwo3stun	2	2	149	8	1	No-Go	NGW	0	0		1	0.0	1	0.0076	0.9918304627528461	-0.008308738787487693
0ubclurpshlgyru3cwo3stun	2	2	156	9	1	No-Go	NGW	0	0		1	1.0	0	0.0036	0.9961958830129454	-0.0038409151993324788
0ubclurpshlgyru3cwo3stun	2	2	159	10	1	No-Go	NGW	0	0		1	0.0	1	0.0183	0.9830267074996435	-0.01734744874666668
0ubclurpshlgyru3cwo3stun	2	2	161	11	1	No-Go	NGW	0	0		1	0.0	1	0.0064	0.992949169505174	-0.007136329209432646
0ubclurpshlgyru3cwo3stun	2	2	165	12	1	No-Go	NGW	0	0		1	0.0	1	0.0037	0.9967241424327503	-0.003299017033442458
0ubclurpshlgyru3cwo3stun	2	2	172	13	1	No-Go	NGW	0	0		1	0.0	1	0.0019	0.9983332142078858	-0.0016739696592954652
0ubclurpshlgyru3cwo3stun	2	2	173	14	1	No-Go	NGW	0	0		1	0.0	1	0.0009	0.9990838681065647	-0.0009186390473943457
0ubclurpshlgyru3cwo3stun	2	2	180	15	1	No-Go	NGW	0	0		1	1.0	0	0.0007	0.9994612315180682	-0.0005397429290914113
0ubclurpshlgyru3cwo3stun	2	2	182	16	1	No-Go	NGW	0	0		1	0.0	1	0.003	0.9968306023550507	-0.0031884435638468308
0ubclurpshlgyru3cwo3stun	2	2	187	17	1	No-Go	NGW	0	0		1	0.0	1	0.0017	0.9984590943613352	-0.0015462048502954363
0ubclurpshlgyru3cwo3stun	2	2	190	18	1	No-Go	NGW	0	0		1	1.0	0	0.0005	0.9991656432481213	-0.0008361940376721959
0ubclurpshlgyru3cwo3stun	2	2	196	19	1	No-Go	NGW	0	0		1	0.0	1	0.0048	0.9946741609925357	-0.0053814727509013715
0ubclurpshlgyru3cwo3stun	2	2	197	20	1	No-Go	NGW	0	0		1	0.0	1	0.0024	0.9976987387215155	-0.0023123218685261225
0ubclurpshlgyru3cwo3stun	2	2	204	21	1	No-Go	NGW	0	0		1	0.0	1	0.001	0.9988448016692557	-0.0011584431456398822
0ubclurpshlgyru3cwo3stun	2	2	205	22	1	No-Go	NGW	0	0		1	0.0	1	0.0007	0.9993563004740805	-0.0006448759767876847
0ubclurpshlgyru3cwo3stun	2	2	211	23	1	No-Go	NGW	0	0		1	1.0	0	0.0001	0.9996110688542136	-0.0003894267811010093
0ubclurpshlgyru3cwo3stun	2	2	214	24	1	No-Go	NGW	0	0		1	0.0	1	0.0036	0.9972200490279738	-0.0027992106787036856
0ubclurpshlgyru3cwo3stun	2	2	218	25	1	No-Go	NGW	0	0		1	0.0	1	0.0016	0.9987033249409207	-0.0013010859579246443
0ubclurpshlgyru3cwo3stun	2	2	221	26	1	No-Go	NGW	0	0		1	1.0	0	0.0009	0.9993057244196462	-0.0006957063463809673
0ubclurpshlgyru3cwo3stun	2	2	225	27	1	No-Go	NGW	0	0		1	0.0	1	0.0053	0.9950274592772296	-0.0050339291776860876
0ubclurpshlgyru3cwo3stun	2	2	231	28	1	No-Go	NGW	0	0		1	0.0	1	0.0023	0.997934184750484	-0.0020763280752407335
0ubclurpshlgyru3cwo3stun	2	2	235	29	1	No-Go	NGW	0	0		1	0.0	1	0.0007	0.9989792869340918	-0.0010235802356080837
0ubclurpshlgyru3cwo3stun	2	2	239	30	1	No-Go	NGW	0	0		1	0.0	1	0.0003	0.9994327585816744	-0.0005682530009283565
0ubclurpshlgyru3cwo3stun	2	2	124	1	1	Go	GW	1	1	0.86	1	0.0	1	0.6917	0.7028480918283407	-0.3607009848425381
0ubclurpshlgyru3cwo3stun	2	2	126	2	1	Go	GW	1	1	0.77	1	0.0	1	0.9156	0.9220889709154911	-0.0833189600199417
0ubclurpshlgyru3cwo3stun	2	2	130	3	1	Go	GW	1	1	0.514	1	1.0	0	0.9754	0.9759271398405385	-0.02484550896761421
