name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
lp__	-13500.0	0.932	29.6	-13600.0	-13500.0	-13400.0	1010.0	0.0717	1.01
theta_mu[1,1]	24.1	0.0157	1.09	21.8	24.1	26.2	4825.0	0.343	1.0
theta_mu[1,2]	1.66	0.00368	0.107	1.44	1.66	1.87	850.0	0.0605	1.01
theta_mu[2,1]	0.0121	0.00023	0.0103	-0.00872	0.0118	0.0315	2028.0	0.144	1.0
theta_mu[2,2]	0.061	0.000271	0.0124	0.0363	0.0604	0.0847	2074.0	0.148	1.0
theta_mu[3,1]	0.211	0.000477	0.0175	0.175	0.212	0.243	1344.0	0.0957	1.0
theta_mu[3,2]	0.123	0.00048	0.0198	0.0811	0.124	0.158	1707.0	0.122	1.0
theta_mu[4,1]	-2.8	0.000946	0.033	-2.87	-2.8	-2.74	1217.0	0.0866	1.01
theta_mu[4,2]	-1.06	0.00192	0.0434	-1.15	-1.06	-0.978	513.0	0.0365	1.0
theta_mu[5,1]	-2.85	0.00197	0.0339	-2.92	-2.85	-2.79	297.0	0.0211	1.02
theta_mu[5,2]	-1.1	0.00105	0.0424	-1.19	-1.1	-1.02	1637.0	0.117	1.0
theta_c_pr[1,1]	0.246	0.0125	0.423	-0.548	0.22	1.09	1155.0	0.0822	1.0
theta_c_pr[1,2]	0.421	0.0107	0.42	-0.411	0.407	1.25	1549.0	0.11	1.0
theta_c_pr[1,3]	0.322	0.0124	0.451	-0.501	0.292	1.19	1323.0	0.0941	1.01
theta_c_pr[1,4]	0.686	0.0156	0.521	-0.232	0.643	1.77	1113.0	0.0792	1.01
theta_c_pr[1,5]	0.258	0.00643	0.366	-0.449	0.236	1.01	3250.0	0.231	1.0
theta_c_pr[1,6]	-1.11	0.00807	0.273	-1.67	-1.12	-0.576	1145.0	0.0815	1.0
theta_c_pr[1,7]	0.528	0.0137	0.451	-0.302	0.495	1.44	1079.0	0.0768	1.01
theta_c_pr[1,8]	-0.244	0.0247	0.429	-1.02	-0.285	0.648	303.0	0.0215	1.01
theta_c_pr[1,9]	-1.15	0.0169	0.307	-1.73	-1.15	-0.534	330.0	0.0235	1.02
theta_c_pr[1,10]	1.06	0.0114	0.575	-0.00775	1.0	2.25	2560.0	0.182	1.0
theta_c_pr[1,11]	-0.984	0.0116	0.308	-1.6	-1.0	-0.345	703.0	0.05	1.0
theta_c_pr[1,12]	0.958	0.0131	0.543	-0.089	0.927	2.04	1724.0	0.123	1.0
theta_c_pr[1,13]	-1.31	0.011	0.273	-1.91	-1.31	-0.786	611.0	0.0435	1.01
theta_c_pr[1,14]	0.978	0.0385	0.588	-0.0755	0.926	2.2	233.0	0.0166	1.01
theta_c_pr[1,15]	0.811	0.00837	0.523	-0.152	0.79	1.91	3903.0	0.278	1.0
theta_c_pr[1,16]	1.17	0.0094	0.563	0.119	1.12	2.32	3585.0	0.255	1.0
theta_c_pr[1,17]	0.521	0.0154	0.541	-0.467	0.475	1.59	1231.0	0.0876	1.0
theta_c_pr[1,18]	-0.0468	0.0187	0.439	-0.836	-0.092	0.827	550.0	0.0392	1.01
theta_c_pr[1,19]	1.07	0.00786	0.527	0.0911	1.03	2.14	4495.0	0.32	1.0
theta_c_pr[1,20]	0.969	0.0205	0.55	-0.00436	0.935	2.1	721.0	0.0513	1.0
theta_c_pr[1,21]	-0.451	0.00852	0.374	-1.16	-0.486	0.338	1929.0	0.137	1.0
theta_c_pr[1,22]	1.51	0.0133	0.623	0.372	1.48	2.78	2183.0	0.155	1.0
theta_c_pr[1,23]	-0.755	0.016	0.299	-1.33	-0.77	-0.149	349.0	0.0249	1.01
theta_c_pr[1,24]	0.333	0.0187	0.466	-0.537	0.299	1.26	618.0	0.044	1.01
theta_c_pr[1,25]	1.78	0.0161	0.669	0.547	1.73	3.16	1728.0	0.123	1.0
theta_c_pr[1,26]	0.17	0.00905	0.421	-0.625	0.147	1.05	2169.0	0.154	1.0
theta_c_pr[1,27]	1.18	0.0191	0.577	0.154	1.13	2.38	915.0	0.0652	1.0
theta_c_pr[1,28]	-1.33	0.00918	0.275	-1.89	-1.34	-0.797	898.0	0.0639	1.01
theta_c_pr[1,29]	-0.257	0.0278	0.427	-1.1	-0.277	0.615	235.0	0.0167	1.02
theta_c_pr[1,30]	-0.72	0.0107	0.295	-1.3	-0.737	-0.145	760.0	0.0541	1.0
theta_c_pr[1,31]	1.06	0.0176	0.756	-0.367	1.05	2.57	1856.0	0.132	1.01
theta_c_pr[1,32]	-0.06	0.00753	0.359	-0.739	-0.086	0.661	2266.0	0.161	1.0
theta_c_pr[1,33]	0.562	0.0155	0.552	-0.456	0.519	1.71	1266.0	0.0901	1.0
theta_c_pr[1,34]	-1.34	0.0111	0.278	-1.97	-1.34	-0.803	624.0	0.0444	1.01
theta_c_pr[1,35]	0.867	0.00993	0.508	-0.0914	0.842	1.91	2615.0	0.186	1.0
theta_c_pr[1,36]	-1.2	0.0154	0.298	-1.83	-1.21	-0.667	374.0	0.0266	1.01
theta_c_pr[1,37]	0.489	0.00857	0.445	-0.34	0.445	1.42	2701.0	0.192	1.0
