name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
lp__	-14500.0	1.02	32.3	-14600.0	-14500.0	-14400.0	1000.0	0.139	1.0
theta_mu[1,1]	24.1	0.0178	1.1	21.8	24.1	26.2	3856.0	0.535	1.0
theta_mu[1,2]	1.67	0.00343	0.108	1.44	1.67	1.87	996.0	0.138	1.0
theta_mu[2,1]	0.0166	0.000218	0.00958	-0.00324	0.0165	0.035	1939.0	0.269	1.0
theta_mu[2,2]	0.06	0.000259	0.0121	0.036	0.0599	0.0836	2202.0	0.306	1.0
theta_mu[3,1]	0.205	0.000366	0.0168	0.171	0.205	0.237	2103.0	0.292	1.0
theta_mu[3,2]	0.12	0.000491	0.0198	0.0789	0.119	0.157	1621.0	0.225	1.0
theta_mu[4,1]	-2.81	0.000822	0.0316	-2.88	-2.81	-2.75	1476.0	0.205	1.0
theta_mu[4,2]	-1.07	0.00124	0.0445	-1.16	-1.07	-0.983	1290.0	0.179	1.0
theta_mu[5,1]	-2.87	0.000908	0.0325	-2.93	-2.87	-2.8	1283.0	0.178	1.0
theta_mu[5,2]	-1.11	0.00124	0.0417	-1.19	-1.11	-1.03	1125.0	0.156	1.0
theta_c_pr[1,1]	0.213	0.00964	0.432	-0.591	0.18	1.1	2005.0	0.278	1.0
theta_c_pr[1,2]	0.415	0.00801	0.418	-0.403	0.399	1.26	2717.0	0.377	1.0
theta_c_pr[1,3]	-0.0185	0.0141	1.01	-2.13	-0.0374	1.87	5112.0	0.71	1.0
theta_c_pr[1,4]	0.33	0.0105	0.467	-0.523	0.291	1.28	1991.0	0.277	1.0
theta_c_pr[1,5]	0.723	0.0103	0.531	-0.237	0.684	1.8	2651.0	0.368	1.0
theta_c_pr[1,6]	0.256	0.00847	0.372	-0.442	0.24	1.02	1931.0	0.268	1.0
theta_c_pr[1,7]	-1.13	0.00744	0.261	-1.7	-1.13	-0.635	1229.0	0.171	1.0
theta_c_pr[1,8]	0.0583	0.0134	1.0	-1.99	0.0746	1.95	5631.0	0.782	1.0
theta_c_pr[1,9]	0.512	0.00902	0.449	-0.323	0.478	1.47	2478.0	0.344	1.0
theta_c_pr[1,10]	0.0454	0.0141	0.982	-1.95	0.0456	1.88	4879.0	0.678	1.0
theta_c_pr[1,11]	-0.27	0.00883	0.413	-1.03	-0.303	0.614	2182.0	0.303	1.0
theta_c_pr[1,12]	-1.14	0.008	0.296	-1.72	-1.15	-0.538	1369.0	0.19	1.0
theta_c_pr[1,13]	1.05	0.0103	0.577	-0.0307	1.01	2.22	3134.0	0.435	1.0
theta_c_pr[1,14]	-1.01	0.00773	0.294	-1.61	-1.02	-0.426	1445.0	0.201	1.0
theta_c_pr[1,15]	0.933	0.00958	0.554	-0.0747	0.886	2.07	3348.0	0.465	1.0
theta_c_pr[1,16]	0.948	0.0125	0.57	-0.13	0.904	2.11	2092.0	0.29	1.0
theta_c_pr[1,17]	0.8	0.011	0.538	-0.181	0.769	1.89	2407.0	0.334	1.0
theta_c_pr[1,18]	1.14	0.00864	0.557	0.088	1.11	2.25	4158.0	0.577	1.0
theta_c_pr[1,19]	0.486	0.0109	0.524	-0.461	0.452	1.57	2295.0	0.319	1.0
theta_c_pr[1,20]	-0.0802	0.0102	0.433	-0.854	-0.12	0.846	1807.0	0.251	1.0
theta_c_pr[1,21]	1.06	0.00979	0.533	0.0532	1.05	2.16	2957.0	0.411	1.0
