	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu[1]	19.7	0.0567	1.95	16.0	19.6	23.5	1180.0	0.094	1.0
b1_mu[2]	21.5	0.0504	1.88	17.9	21.5	25.2	1393.0	0.111	1.0
b2_mu[1]	17.9	0.0575	1.79	14.5	17.8	21.5	969.0	0.0771	1.01
b2_mu[2]	20.1	0.0534	1.7	16.8	20.0	23.4	1018.0	0.081	1.0
b3_mu[1]	8.96	0.0288	0.895	7.27	8.91	10.8	969.0	0.0771	1.01
b3_mu[2]	10.0	0.0267	0.851	8.39	9.99	11.7	1018.0	0.081	1.0
b4_mu[1]	0.993	0.00234	0.112	0.765	0.993	1.21	2270.0	0.181	1.0
b4_mu[2]	0.787	0.00227	0.115	0.55	0.787	1.0	2554.0	0.203	1.0
a1_mu[1]	0.524	0.000129	0.00706	0.51	0.524	0.538	3002.0	0.239	0.999
a1_mu[2]	0.53	0.000135	0.00733	0.515	0.529	0.544	2934.0	0.234	1.0
a2_mu[1]	0.119	0.000324	0.0142	0.0914	0.119	0.147	1916.0	0.153	1.0
a2_mu[2]	0.143	0.000257	0.0139	0.115	0.143	0.17	2925.0	0.233	1.0
sigma[1,1]	1.24	0.00429	0.161	0.955	1.23	1.57	1400.0	0.111	1.0
sigma[2,1]	1.08	0.00341	0.132	0.846	1.07	1.36	1502.0	0.12	1.0
sigma[3,1]	0.146	0.000298	0.0163	0.115	0.145	0.18	3001.0	0.239	1.0
sigma[4,1]	0.113	0.000306	0.0159	0.0832	0.112	0.146	2707.0	0.216	1.0
sigma[5,1]	0.221	0.00307	0.0702	0.0513	0.226	0.343	524.0	0.0417	1.01
sigma[6,1]	0.29	0.00258	0.0698	0.144	0.29	0.42	731.0	0.0582	1.0
sigma[1,2]	0.19	0.00186	0.0665	0.0741	0.183	0.332	1277.0	0.102	1.0
sigma[2,2]	0.244	0.00162	0.0558	0.137	0.24	0.355	1180.0	0.0939	1.01
sigma[3,2]	0.0604	0.000274	0.0141	0.0314	0.0601	0.088	2651.0	0.211	1.0
sigma[4,2]	0.0352	0.000333	0.0146	0.00434	0.0357	0.0613	1917.0	0.153	1.0
sigma[5,2]	0.211	0.0009	0.037	0.132	0.211	0.282	1689.0	0.134	1.0
sigma[6,2]	0.108	0.00217	0.0563	0.0071	0.108	0.217	673.0	0.0536	1.02
b1[1,1]	31.9	0.138	8.96	16.4	30.8	50.4	4205.0	0.335	1.0
b1[2,1]	34.0	0.139	8.81	18.9	33.1	52.1	3996.0	0.318	1.0
b1[1,2]	29.4	0.123	7.77	16.7	28.6	46.3	4007.0	0.319	1.0
b1[2,2]	29.9	0.131	8.17	16.0	29.2	47.5	3913.0	0.312	1.0
b1[1,3]	31.6	0.139	9.13	15.5	30.8	50.9	4295.0	0.342	1.0
b1[2,3]	33.5	0.138	9.16	17.2	32.7	52.4	4407.0	0.351	1.0
b1[1,4]	32.6	0.134	8.48	18.1	31.7	50.5	4023.0	0.32	1.0
b1[2,4]	33.9	0.133	8.57	19.2	33.0	52.1	4176.0	0.332	1.0
b1[1,5]	20.7	0.076	4.99	12.1	20.1	31.6	4307.0	0.343	1.0
b1[2,5]	22.4	0.0834	5.56	12.5	21.9	34.0	4455.0	0.355	1.0
b1[1,6]	9.11	0.0434	2.58	5.23	8.74	14.5	3517.0	0.28	1.0
b1[2,6]	9.21	0.0418	2.54	5.17	8.87	14.7	3690.0	0.294	1.0
b1[1,7]	20.4	0.0946	5.83	11.4	19.6	33.5	3801.0	0.303	1.0
b1[2,7]	24.0	0.0918	5.91	14.3	23.2	36.8	4146.0	0.33	1.0
b1[1,8]	28.2	0.137	8.48	13.9	27.4	45.9	3807.0	0.303	1.0
b1[2,8]	30.7	0.131	8.32	16.4	29.8	48.2	4009.0	0.319	1.0
b1[1,9]	8.19	0.0876	3.76	3.4	7.39	17.0	1840.0	0.146	1.0
b1[2,9]	10.2	0.0733	3.62	5.33	9.54	18.6	2443.0	0.194	1.0
b1[1,10]	28.2	0.118	7.62	15.3	27.3	44.4	4180.0	0.333	1.0
b1[2,10]	30.3	0.117	7.66	17.4	29.5	46.4	4270.0	0.34	1.0
b1[1,11]	12.7	0.0812	4.19	6.9	11.9	22.4	2660.0	0.212	1.0
b1[2,11]	11.1	0.107	4.69	5.14	10.0	22.4	1904.0	0.152	1.0
b1[1,12]	29.1	0.124	7.97	15.5	28.2	46.0	4108.0	0.327	1.0
b1[2,12]	30.0	0.126	8.0	16.6	29.1	46.9	3999.0	0.318	1.0
b1[1,13]	5.5	0.0345	2.09	2.44	5.13	10.3	3689.0	0.294	1.0
b1[2,13]	6.64	0.0335	2.03	3.65	6.31	11.2	3690.0	0.294	1.0
b1[1,14]	34.6	0.132	8.66	19.5	33.5	52.8	4298.0	0.342	1.0
b1[2,14]	36.1	0.137	8.81	20.4	35.4	54.2	4115.0	0.328	1.0
b1[1,15]	27.6	0.142	8.44	13.7	26.8	45.6	3552.0	0.283	1.0
b1[2,15]	30.3	0.133	8.34	16.3	29.4	48.1	3910.0	0.311	1.0
b1[1,16]	31.9	0.131	8.41	17.7	31.1	49.9	4145.0	0.33	1.0
b1[2,16]	33.1	0.135	8.61	18.3	32.3	51.3	4087.0	0.325	1.0
b1[1,17]	18.6	0.131	6.31	9.03	17.4	33.3	2323.0	0.185	1.0
b1[2,17]	19.8	0.135	6.5	9.75	18.7	35.2	2305.0	0.184	1.0
b1[1,18]	17.2	0.18	7.69	6.64	15.6	35.7	1827.0	0.145	1.0
b1[2,18]	21.7	0.124	6.85	11.6	20.5	37.8	3042.0	0.242	1.0
b1[1,19]	32.8	0.148	8.98	17.8	31.9	51.9	3684.0	0.293	1.0
