	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu	19.511	0.044	1.777	16.183	19.385	23.114	1658.283	0.489	1.0
b2_mu	18.89	0.046	1.725	15.705	18.781	22.468	1421.745	0.419	1.001
b3_mu	0.862	0.002	0.093	0.673	0.859	1.037	2352.994	0.694	1.002
b4_mu	0.327	0.001	0.076	0.172	0.326	0.473	3361.011	0.991	1.001
a1_mu	0.131	0.0	0.012	0.106	0.131	0.154	3129.034	0.922	0.999
a2_mu	0.132	0.0	0.015	0.103	0.132	0.161	1790.894	0.528	1.001
sigma[1]	1.14	0.00354	0.145	0.881	1.13	1.44	1683.0	0.496	1.0
sigma[2]	1.08	0.0031	0.133	0.828	1.07	1.35	1853.0	0.546	1.0
sigma[3]	0.143	0.000339	0.0161	0.112	0.142	0.175	2267.0	0.668	1.0
sigma[4]	0.107	0.000391	0.0158	0.0775	0.106	0.138	1627.0	0.48	1.0
sigma[5]	0.325	0.00211	0.0614	0.199	0.324	0.442	849.0	0.25	1.0
sigma[6]	0.383	0.00255	0.0698	0.25	0.379	0.522	750.0	0.221	1.0
b1[1]	29.6	0.0977	7.5	17.2	28.9	45.7	5889.0	1.74	0.999
b1[2]	26.9	0.0879	6.99	15.2	26.1	41.8	6329.0	1.87	0.999
b1[3]	29.4	0.11	8.33	15.2	28.7	47.0	5734.0	1.69	1.0
b1[4]	30.6	0.104	7.73	17.7	29.8	46.9	5494.0	1.62	1.0
b1[5]	20.5	0.0637	4.82	12.6	19.9	31.1	5736.0	1.69	0.999
b1[6]	8.82	0.0547	2.67	5.36	8.32	15.1	2386.0	0.703	1.0
b1[7]	19.1	0.0605	4.27	12.2	18.6	28.3	4983.0	1.47	1.0
b1[8]	25.9	0.101	7.53	13.7	24.8	42.4	5601.0	1.65	0.999
b1[9]	11.0	0.128	5.43	5.0	9.42	25.0	1800.0	0.531	1.0
b1[10]	27.0	0.099	7.48	15.2	26.0	43.1	5710.0	1.68	1.0
b1[11]	11.7	0.0822	4.42	6.21	10.6	22.2	2895.0	0.853	1.0
b1[12]	26.9	0.0917	6.94	15.7	26.2	41.7	5740.0	1.69	0.999
b1[13]	5.45	0.0423	2.02	3.19	5.04	10.1	2279.0	0.672	1.0
b1[14]	33.1	0.112	8.42	18.8	32.1	50.7	5616.0	1.66	1.0
b1[15]	25.7	0.106	7.22	14.4	24.7	41.8	4634.0	1.37	1.0
b1[16]	29.7	0.0999	7.77	16.9	28.9	46.8	6050.0	1.78	1.0
b1[17]	21.2	0.106	6.98	10.6	20.0	37.0	4350.0	1.28	1.0
b1[18]	14.8	0.0875	5.23	7.81	13.7	27.3	3577.0	1.05	1.0
b1[19]	31.4	0.0988	7.93	17.8	30.4	48.6	6444.0	1.9	1.0
b1[20]	30.6	0.117	8.7	15.6	29.8	48.5	5556.0	1.64	1.0
b1[21]	13.9	0.121	6.0	6.52	12.3	28.7	2438.0	0.719	1.0
b1[22]	33.4	0.109	8.19	19.1	32.5	50.7	5600.0	1.65	1.0
b1[23]	10.5	0.0392	2.53	6.63	10.1	16.1	4179.0	1.23	1.0
b1[24]	22.5	0.102	7.13	11.2	21.4	38.2	4841.0	1.43	1.0
b1[25]	34.7	0.115	8.27	20.0	34.0	51.7	5185.0	1.53	1.0
b1[26]	21.1	0.101	6.95	10.7	20.0	36.7	4750.0	1.4	1.0
b1[27]	27.4	0.0884	6.94	16.0	26.6	42.3	6158.0	1.82	1.0
b1[28]	8.03	0.12	4.95	3.31	6.52	21.3	1693.0	0.499	1.0
b1[29]	12.6	0.0909	5.06	6.24	11.5	24.8	3097.0	0.913	1.0
b1[30]	7.5	0.0402	1.83	4.87	7.22	11.2	2075.0	0.611	1.0
b1[31]	16.8	0.119	6.9	7.18	15.4	32.6	3359.0	0.99	1.0
b1[32]	21.4	0.0794	5.01	13.1	20.7	32.4	3976.0	1.17	1.0
b1[33]	32.6	0.127	8.58	17.8	31.8	51.0	4586.0	1.35	1.0
b1[34]	5.74	0.0517	2.03	3.5	5.35	9.98	1543.0	0.455	1.0
b1[35]	21.9	0.0689	4.93	13.7	21.3	32.5	5130.0	1.51	1.0
b1[36]	6.68	0.073	3.4	3.07	5.74	15.3	2174.0	0.641	1.0
b1[37]	25.4	0.103	7.47	13.3	24.5	41.7	5291.0	1.56	1.0
b1[38]	25.6	0.0779	5.84	15.7	24.9	38.0	5619.0	1.66	1.0
b1[39]	24.9	0.0874	6.2	15.1	24.1	38.5	5024.0	1.48	1.0
b1[40]	25.4	0.104	7.06	14.1	24.4	41.2	4584.0	1.35	1.0
b1[41]	9.83	0.0444	2.74	5.75	9.33	16.2	3795.0	1.12	1.0
b1[42]	14.5	0.0422	2.8	9.68	14.2	20.5	4410.0	1.3	1.0
b1[43]	17.5	0.11	6.89	7.74	16.2	33.5	3937.0	1.16	1.0
b1[44]	0.122	0.0255	1.12	-1.55	0.0246	1.98	1942.0	0.572	1.0
b1[45]	4.97	0.0518	2.16	2.5	4.51	9.84	1745.0	0.514	1.0
b1[46]	2.27	0.0767	2.4	0.482	1.69	7.32	979.0	0.289	1.0
b1[47]	23.3	0.104	6.92	12.6	22.2	38.8	4384.0	1.29	1.0
b1[48]	28.5	0.0951	7.69	15.3	27.8	44.8	6529.0	1.92	1.0
b1[49]	13.5	0.0408	2.97	8.62	13.2	19.9	5284.0	1.56	1.0
b1[50]	0.845	0.027	1.33	-1.03	0.694	3.19	2405.0	0.709	1.0
b1[51]	8.19	0.0919	4.46	3.56	6.89	19.7	2359.0	0.695	1.0
b1[52]	34.3	0.108	8.27	20.2	33.5	51.9	5919.0	1.74	1.0
b1[53]	24.5	0.0958	6.8	13.5	23.7	39.5	5046.0	1.49	1.0
b1[54]	28.1	0.103	7.29	16.1	27.0	43.9	4962.0	1.46	1.0
b1[55]	23.9	0.088	6.18	14.3	23.1	37.3	4939.0	1.46	1.0
b1[56]	19.1	0.124	7.12	8.62	18.0	35.1	3271.0	0.964	1.0
b1[57]	28.0	0.104	7.96	14.5	27.2	44.6	5809.0	1.71	1.0
b1[58]	19.7	0.121	6.82	10.1	18.4	35.5	3169.0	0.934	1.0
b1[59]	26.5	0.0958	7.57	14.0	25.6	42.4	6245.0	1.84	1.0
b1[60]	24.1	0.1	7.04	12.8	23.2	39.4	4952.0	1.46	1.0
b1[61]	7.95	0.0948	4.74	3.22	6.48	20.2	2507.0	0.739	1.0
b1[62]	17.4	0.102	6.56	7.88	16.0	32.3	4135.0	1.22	1.0
b1[63]	11.9	0.0608	3.54	7.04	11.3	20.4	3394.0	1.0	1.0
b1[64]	23.2	0.093	6.42	13.1	22.3	37.1	4762.0	1.4	0.999
b1[65]	13.7	0.0833	5.04	7.1	12.6	26.0	3656.0	1.08	1.0
b1[66]	35.1	0.101	8.24	20.8	34.4	52.8	6649.0	1.96	0.999
b1[67]	33.6	0.105	7.98	20.2	32.8	50.6	5722.0	1.69	0.999
b1[68]	32.2	0.0914	7.23	19.9	31.3	47.2	6259.0	1.84	1.0
b1[69]	34.9	0.106	8.25	20.7	34.1	52.3	6063.0	1.79	1.0
b1[70]	14.5	0.0572	3.67	9.0	13.8	22.8	4115.0	1.21	1.0
b1[71]	28.4	0.102	7.69	15.9	27.5	44.8	5670.0	1.67	1.0
b1[72]	14.3	0.0409	2.77	9.61	14.0	20.3	4597.0	1.36	1.0
b1[73]	16.6	0.0753	4.8	9.79	15.8	28.3	4065.0	1.2	1.0
b1[74]	32.0	0.107	8.01	18.0	31.2	48.6	5569.0	1.64	1.0
b1[75]	2.89	0.0714	2.6	0.863	2.19	8.96	1329.0	0.392	1.0
b1[76]	28.0	0.103	7.26	16.0	27.0	44.1	4916.0	1.45	1.0
b1[77]	27.8	0.106	7.94	14.8	27.0	44.8	5639.0	1.66	1.0
b1[78]	6.07	0.0441	2.11	3.51	5.66	10.5	2276.0	0.671	1.0
b1[79]	21.6	0.11	7.24	10.3	20.5	37.5	4316.0	1.27	1.0
b1[80]	26.3	0.104	7.5	14.0	25.4	42.4	5212.0	1.54	1.0
b1[81]	29.2	0.101	7.91	15.8	28.3	46.1	6088.0	1.79	0.999
b1[82]	25.8	0.109	7.47	13.8	24.7	42.5	4732.0	1.39	1.0
b1[83]	16.6	0.132	6.89	7.28	15.2	32.9	2722.0	0.802	0.999
b1[84]	5.37	0.0181	1.06	3.6	5.29	7.37	3421.0	1.01	1.0
b1[85]	15.7	0.103	6.08	7.64	14.3	30.5	3497.0	1.03	1.0
b1[86]	10.3	0.0433	2.62	6.36	9.81	16.3	3678.0	1.08	1.0
b1[87]	3.28	0.0276	1.32	1.86	3.02	6.33	2304.0	0.679	1.0
b1[88]	23.6	0.108	7.14	12.6	22.6	39.1	4374.0	1.29	1.0
b1[89]	7.93	0.0662	3.14	4.47	7.18	15.5	2253.0	0.664	1.0
b1[90]	8.14	0.0515	2.36	4.99	7.68	13.6	2097.0	0.618	1.0
b1[91]	29.7	0.101	7.6	16.7	29.0	45.7	5655.0	1.67	0.999
b1[92]	20.3	0.0651	4.68	12.5	19.8	30.4	5170.0	1.52	1.0
b1[93]	3.39	0.0534	1.83	1.46	3.04	6.98	1180.0	0.348	1.0
b2[1]	14.3	0.0793	4.48	8.04	13.4	24.6	3196.0	0.942	1.0
b2[2]	18.8	0.0515	3.79	12.3	18.5	26.8	5415.0	1.6	1.0
b2[3]	17.9	0.0776	4.96	10.4	17.0	29.3	4090.0	1.21	1.0
b2[4]	19.6	0.0925	5.9	10.8	18.6	33.3	4072.0	1.2	1.0
b2[5]	20.5	0.0745	5.02	12.5	19.8	31.4	4543.0	1.34	1.0
b2[6]	3.96	0.0329	1.23	2.48	3.8	6.0	1412.0	0.416	1.0
b2[7]	28.4	0.0988	7.05	16.6	27.6	43.9	5082.0	1.5	1.0
b2[8]	7.34	0.133	5.17	2.64	5.53	21.5	1509.0	0.445	1.0
b2[9]	4.62	0.158	4.86	1.05	2.89	18.7	945.0	0.278	1.0
b2[10]	27.4	0.102	7.32	15.5	26.5	43.4	5183.0	1.53	1.0
b2[11]	4.28	0.0516	2.01	2.33	3.82	8.66	1525.0	0.449	1.0
b2[12]	27.5	0.103	7.24	15.6	26.7	43.4	4922.0	1.45	1.0
b2[13]	5.56	0.113	4.58	1.97	3.87	18.5	1630.0	0.48	1.0
b2[14]	23.2	0.0966	7.13	11.6	22.3	38.4	5453.0	1.61	1.0
b2[15]	29.9	0.109	7.95	16.4	29.0	46.6	5292.0	1.56	1.0
b2[16]	28.5	0.0995	7.45	15.8	27.7	44.1	5598.0	1.65	1.0
b2[17]	24.8	0.0934	6.69	13.8	23.9	39.3	5125.0	1.51	1.0
b2[18]	22.4	0.0944	6.82	11.6	21.4	37.2	5222.0	1.54	1.0
b2[19]	27.5	0.0943	7.39	14.9	26.7	43.2	6152.0	1.81	0.999
b2[20]	29.5	0.094	6.87	18.0	28.7	44.4	5342.0	1.57	1.0
b2[21]	18.2	0.111	6.91	8.11	16.9	33.9	3864.0	1.14	1.0
b2[22]	31.2	0.107	7.84	17.8	30.5	47.4	5400.0	1.59	1.0
b2[23]	10.5	0.0927	4.82	5.0	9.19	22.3	2703.0	0.797	1.0
b2[24]	23.5	0.101	7.08	12.3	22.6	39.0	4968.0	1.46	1.0
b2[25]	32.2	0.108	7.95	18.8	31.4	49.1	5395.0	1.59	1.0
b2[26]	26.4	0.1	6.97	14.9	25.7	41.6	4848.0	1.43	1.0
b2[27]	30.4	0.0985	7.91	16.8	29.7	46.9	6449.0	1.9	1.0
b2[28]	3.61	0.0861	3.18	1.36	2.7	11.9	1367.0	0.403	1.0
b2[29]	22.9	0.0949	7.07	11.5	22.0	38.1	5550.0	1.64	0.999
b2[30]	14.8	0.0503	3.58	8.83	14.4	22.5	5058.0	1.49	1.0
b2[31]	22.3	0.107	7.21	11.1	21.4	38.0	4574.0	1.35	1.0
b2[32]	12.3	0.0766	4.36	6.72	11.3	22.8	3235.0	0.954	1.0
b2[33]	14.9	0.0962	5.85	7.02	13.5	29.0	3691.0	1.09	1.0
b2[34]	3.98	0.128	4.41	1.01	2.5	16.7	1194.0	0.352	1.0
b2[35]	30.4	0.0994	7.62	17.3	29.6	46.4	5884.0	1.73	1.0
b2[36]	9.64	0.13	6.15	3.16	7.66	25.4	2246.0	0.662	1.0
b2[37]	28.3	0.0945	7.14	16.2	27.5	43.6	5715.0	1.68	1.0
b2[38]	17.3	0.0774	4.98	10.1	16.4	28.8	4148.0	1.22	1.0
b2[39]	29.1	0.0975	6.97	17.5	28.4	44.5	5117.0	1.51	1.0
b2[40]	19.3	0.0647	4.32	12.3	18.7	28.9	4455.0	1.31	1.0
b2[41]	17.0	0.0831	4.76	10.0	16.1	28.2	3283.0	0.968	1.0
b2[42]	23.5	0.091	6.3	13.2	22.6	37.1	4795.0	1.41	1.0
b2[43]	21.2	0.121	7.09	10.1	20.2	36.5	3456.0	1.02	1.0
b2[44]	6.79	0.139	5.66	2.47	4.67	22.5	1663.0	0.49	1.0
b2[45]	10.1	0.084	3.94	5.53	9.06	20.0	2204.0	0.65	1.0
b2[46]	5.09	0.13	4.93	1.68	3.42	19.7	1433.0	0.422	1.0
b2[47]	31.3	0.0955	7.41	18.6	30.6	46.8	6009.0	1.77	1.0
b2[48]	25.8	0.1	7.03	14.7	24.9	41.1	4906.0	1.45	1.0
b2[49]	18.5	0.0889	5.56	10.5	17.5	31.6	3915.0	1.15	1.0
b2[50]	-0.388	0.0513	1.66	-2.68	-0.425	1.07	1042.0	0.307	1.0
b2[51]	10.5	0.161	6.84	2.89	8.48	27.4	1813.0	0.534	1.0
b2[52]	16.7	0.0493	3.69	10.4	16.3	24.8	5583.0	1.65	1.0
b2[53]	21.7	0.0926	6.61	11.6	20.6	36.7	5099.0	1.5	0.999
