name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
lp__	-5370.0	1.01	30.0	-5430.0	-5370.0	-5310.0	893.0	0.273	1.0
theta_mu[1,1]	2.31	0.00552	0.206	1.92	2.3	2.72	1391.0	0.425	1.0
theta_mu[1,2]	2.42	0.00548	0.203	2.02	2.42	2.81	1376.0	0.42	1.0
theta_mu[2,1]	0.0588	0.000419	0.0208	0.0166	0.059	0.0969	2457.0	0.75	1.0
theta_mu[2,2]	0.0618	0.00042	0.0216	0.0175	0.0616	0.102	2641.0	0.807	1.0
theta_mu[3,1]	0.124	0.000598	0.0316	0.0597	0.124	0.184	2787.0	0.851	1.0
theta_mu[3,2]	0.104	0.00065	0.0319	0.0385	0.104	0.164	2413.0	0.737	1.0
theta_mu[4,1]	-1.12	0.00132	0.0723	-1.27	-1.12	-0.982	3001.0	0.917	1.0
theta_mu[4,2]	-1.11	0.00146	0.0682	-1.25	-1.11	-0.982	2166.0	0.661	1.0
theta_mu[5,1]	-1.33	0.00102	0.0591	-1.46	-1.33	-1.22	3374.0	1.03	1.0
theta_mu[5,2]	-1.21	0.000919	0.0585	-1.34	-1.22	-1.1	4048.0	1.24	1.0
theta_c_pr[1,1]	0.757	0.00759	0.549	-0.211	0.697	1.92	5236.0	1.6	1.0
theta_c_pr[1,2]	-0.591	0.00641	0.313	-1.08	-0.64	0.141	2378.0	0.726	1.0
theta_c_pr[1,3]	-1.26	0.00663	0.193	-1.64	-1.26	-0.895	847.0	0.259	1.0
theta_c_pr[1,4]	0.206	0.00646	0.448	-0.543	0.157	1.19	4808.0	1.47	1.0
theta_c_pr[1,5]	1.42	0.0082	0.677	0.188	1.37	2.8	6816.0	2.08	1.0
theta_c_pr[1,6]	-0.0709	0.00554	0.335	-0.641	-0.109	0.644	3658.0	1.12	1.0
theta_c_pr[1,7]	-1.06	0.00588	0.172	-1.41	-1.07	-0.732	856.0	0.261	1.0
