subject,session,total,interactions,practice_01,practice_02,practice_03,practice_04,comprehension,age,gender-categorical,gender-free-response,ethnicity,race,language,fluency,difficulty,fun,clarity,strategy,feedback
02lqpjp4pevk73p8f7ipewf9,1,29.2,2,4,7,5,4,0,29,Female,,Not Hispanic or Latino,['Black or African American'],Yes,Very well,2,4,5,I remembered some symbols by making up a name for what they looked like.,n/a
02lqpjp4pevk73p8f7ipewf9,2,23.64,0,4,4,4,4,0,,,,,,,,2,4,5,I said the letters or symbols aloud and made a song out of it whether to press or let go so I could remember what to do.,I really enjoyed this survey and game. Everything ran smoothly with no issues!
041vn0it3hma65t9eawxje7p,1,21.48,24,26,4,4,6,0,28,Male,,Not Hispanic or Latino,['White'],Yes,Very well,3,4,5,nope,"was interesting, Thank you "
09byk3dg92is9b06rwaybmoh,1,23.16,2,4,4,6,4,1,37,Male,,Not Hispanic or Latino,['White'],Yes,Very well,2,3,4,I just gave up and relied on instincts. The strategy changed when most of the robots that paid out had Greek letters. Those I fixed because they seemed to be safer to fix despite being red or blue.,"Y'all psych students really know how to completely piss people off, lol."
09byk3dg92is9b06rwaybmoh,2,31.48,3,4,4,4,4,0,,,,,,,,2,3,5,"I just went off instinct, since they changed so often. I couldn't consciously determine what the conditions of the changes were so let the back of my brain do the work as far as timing, etc. ",
09byk3dg92is9b06rwaybmoh,3,29.2,0,4,4,5,4,0,,,,,,,,1,4,5,"At this point, I just gave up and let the back of my brain make the decisions. I couldn't figure out any pattern but figured my subconscious could and let it decide. ",Nope.
0c7a83trokk6ltmgbkt0z1wq,1,19.36,2,4,7,4,4,0,36,Female,,Not Hispanic or Latino,['White'],Yes,Very well,3,4,5,no,no
0sqe4qfbgkyoimu61w0shiz8,1,21.54,2,4,4,4,4,0,46,Female,,Not Hispanic or Latino,['White'],Yes,Very well,3,4,5,just went with memory and gut feeling,
1ahxnduc1fr21fpplm87wkk6,1,20.97,2,4,4,4,4,0,59,Male,,Not Hispanic or Latino,['White'],Yes,Very well,3,4,5,no,none
1ahxnduc1fr21fpplm87wkk6,2,19.56,6,4,4,4,4,0,,,,,,,,3,4,5,no,none
1ahxnduc1fr21fpplm87wkk6,3,18.92,6,4,5,4,4,0,,,,,,,,4,4,5,no,none
1nn8ci654pmi5ny2ho1q3dxi,1,21.7,15,4,4,4,4,0,45,Female,,Not Hispanic or Latino,['White'],Yes,Very well,2,4,5,I just tried to remember the symbols,No
1nn8ci654pmi5ny2ho1q3dxi,2,19.03,1,4,5,4,4,0,,,,,,,,2,4,5,I just tried to remember the symbols,No
