subject,infreq,straightlining,zigzagging,variability_lose,variability_win,accuracy,survey,task,reject
02lqpjp4pevk73p8f7ipewf9,0,0,0,0,0,0,0,0,0
041vn0it3hma65t9eawxje7p,1,0,0,1,0,1,1,2,3
09byk3dg92is9b06rwaybmoh,0,0,0,0,0,0,0,0,0
0c7a83trokk6ltmgbkt0z1wq,0,0,0,0,1,1,0,2,2
0sqe4qfbgkyoimu61w0shiz8,0,0,0,0,0,1,0,1,1
1ahxnduc1fr21fpplm87wkk6,0,0,0,0,0,0,0,0,0
1nn8ci654pmi5ny2ho1q3dxi,0,0,0,0,0,0,0,0,0
1t88tcsrpx0267b6ib7qsgov,0,0,0,0,1,0,0,1,1
1x1nx1osbu2zlwgn0g8w6ngc,0,0,0,0,0,1,0,1,1
1x8zaa76pikfxwotrhhxcogi,0,0,0,0,0,0,0,0,0
1ztbhfxllii1xhq9f1v62x26,0,0,0,0,0,0,0,0,0
2b5obc6ufsggq6sv58asdi6i,0,0,0,0,0,0,0,0,0
3bjwmrvejholhv36ho3y3mh8,0,0,0,0,0,0,0,0,0
3bknwsvw7q20c258tj3mizqh,1,0,0,0,0,1,1,1,2
3dxymdwzr013a9mhzr3wrqo9,1,1,0,0,0,0,2,0,2
3kg0pvgsyc9iqyb89p6yr1oh,0,0,0,0,0,0,0,0,0
41n6nzd0x6ka5vdi63op8le0,0,0,0,0,0,0,0,0,0
41tzei8zdxnl7g0ylu26ieur,0,0,0,0,0,0,0,0,0
46b5352aly4p8vyup0c3qupa,0,0,0,0,0,0,0,0,0
4eieaza893bbdomymq9tbyc5,0,0,0,0,0,0,0,0,0
4pslf12zjxl5o101sd4874sx,0,0,0,0,0,0,0,0,0
54fjwf0mzvlpbybzj7v87eq1,0,0,0,0,0,0,0,0,0
55dxh6v7nb1nnkvit5kjedbq,0,0,0,0,0,0,0,0,0
5lsfzqrcs8ztdl2pc36tmwu3,0,0,0,0,0,0,0,0,0
5n1hjh6yfczmmzzimlklbfaj,0,0,0,0,0,0,0,0,0
5qjy91ur43ogk7o0fgtcw0th,1,0,0,0,0,0,1,0,1
6cs1cik27rzom6hdxkxjvi6l,1,0,0,0,0,0,1,0,1
6dkbbv31sjm0hnj3pyqaekq9,0,0,0,0,0,1,0,1,1
6i7597afcwp4fjqgxuc3slbz,1,1,0,0,0,1,2,1,3
6jphiv663y8a7ztz5tvdi7lg,0,0,0,0,0,0,0,0,0
6oznn9uweo0zvv0igie5jp1c,0,0,0,0,0,0,0,0,0
72yuyu49877hzl64v55frwns,0,0,0,0,0,0,0,0,0
783ec1u4y9q2mvd4gn99cqle,0,0,0,0,0,0,0,0,0
79ozvpaawu1czcm1lc73t8kl,0,0,0,0,0,0,0,0,0
7bk71pzctvn6ny5uwm97cc7r,0,0,0,0,0,1,0,1,1
7dus6qfm4oefh3w262k14dyl,0,0,0,0,0,1,0,1,1
7pj2tr5tvmm7sl3haj9i43h5,0,0,0,0,0,0,0,0,0
7qcj7p8ty67r40ibod4gc7x3,0,0,0,0,0,0,0,0,0
8ko0akmmnehb7gb46mhscc6v,1,0,0,0,0,0,1,0,1
8v7xrdx4duw0cnoz5jm7dwii,0,0,0,0,1,0,0,1,1
8xb0w7ymbzh79dczn495d4v0,0,0,0,0,0,0,0,0,0
91ozs28t2tqcv9vxg71418gq,0,0,0,0,0,0,0,0,0
9837apqznjy786osu3nc4ocv,0,0,0,0,0,0,0,0,0
a5wl0pomehy4gk4apsj1j9st,0,0,0,0,0,0,0,0,0
achbubafg4n6r26s03j6fr1v,0,0,0,0,0,0,0,0,0
aiwtf29fpjnkies83n9z0s14,0,0,0,0,0,0,0,0,0
apk0c41h1cnvhjwhzs0g913l,1,0,0,0,0,1,1,1,2
bo7cc67np3rta5u4f1ucauzw,0,0,0,0,0,0,0,0,0
bp4z9a7hwnxzktpfn6865mkt,0,0,0,0,0,0,0,0,0
bq4m3q5dh97uuoy8na9l56rf,0,0,0,0,0,1,0,1,1
br020pbmnr90dyxzpn07huez,0,0,0,0,0,0,0,0,0
buyou8v1ln54ftsmh5g3j7mz,0,0,0,0,0,0,0,0,0
cbf9w7s33njuzmrqyn5dgujj,1,0,0,0,0,0,1,0,1
cnhti28mtom8ro1mn6gr3l7p,0,0,0,0,0,0,0,0,0
d8chcodi567gbbm3g0pk82m5,0,0,0,0,0,0,0,0,0
da9wfdtad2qj3qr8u4tawxfe,0,0,0,0,0,0,0,0,0
dbhecn308xrgj2w5ni5mghrw,0,0,0,0,0,0,0,0,0
dg58euc52ltsfp866il0jlml,0,0,0,0,0,0,0,0,0
docukifcaouwsykbg5hxgt9o,0,0,0,0,0,0,0,0,0
easlr5746k2t6yibk259ss9q,0,0,0,0,0,0,0,0,0
ef30xldwl7j3izl7jt7fwe6m,0,0,0,0,0,0,0,0,0
eikef79388u89dy6ifgaxxa5,0,0,0,0,0,0,0,0,0
el0ja8yzvrgr2l2x9dfwf5dy,1,1,0,0,0,0,2,0,2
eosra5kq5jfgpa0ls6nq97dr,1,0,0,0,0,1,1,1,2
er4bnf0luxyj6xmtp2wiehtt,0,0,0,0,0,0,0,0,0
faxwwzrl8mhwvmiw3f1k9g4o,1,0,0,0,0,1,1,1,2
ff8zqh921bzgmenoraj74hon,0,0,0,0,0,0,0,0,0
fgqdcso31ckw0cfuajjwak57,0,0,0,0,0,0,0,0,0
fix81b5nhpbhpt6god14jgb7,1,1,0,0,0,0,2,0,2
fpwho4c7ya1xvsxmqzhicqf0,0,0,0,0,0,0,0,0,0
fuqrkpexjkdkk4msfajk735t,0,0,0,0,0,0,0,0,0
fxvwanb4fmwmmonm4rap8tzk,0,0,0,0,0,0,0,0,0
g1mud5eqvupcsb1xoy5hoikc,1,1,0,0,0,0,2,0,2
gh3h1xs3ikfb6a86aqyjenui,0,0,0,0,0,1,0,1,1
giubdn02n4iwd973mqiixdg3,0,0,0,0,0,0,0,0,0
h20euab13zkelweeeswmkfoh,0,0,0,0,0,0,0,0,0
h5gxkod3684r9aa32umrxil3,0,0,0,0,0,0,0,0,0
h9ufrjijw1aoxvqerxyhpufx,0,0,0,0,0,0,0,0,0
hxx0z6xh5jxs3bdyo21vdbts,0,0,0,0,0,0,0,0,0
hzy9t9tvim5r8ql8zyjbg9gl,0,0,0,0,0,0,0,0,0
i89jr1lnd0inz4fbc28lgfx8,0,0,0,0,0,0,0,0,0
j5qn7av1mxw9g5rqogq6v93m,0,0,0,0,0,1,0,1,1
jaapgnx6r3fl1yumbsgijc2c,0,0,0,0,0,0,0,0,0
jo83s7ym4akhbzcroegpie8q,1,1,0,0,0,0,2,0,2
jqoprhxyxvg9e3yss1ayecqe,0,0,0,0,0,0,0,0,0
jv26ajvz0djzmxzkswpt4fu9,0,0,0,0,0,0,0,0,0
k4eatbxs964vzfpigd04o50g,0,0,0,0,0,0,0,0,0
k8fuu8o6273c4g6v6di5cbj9,1,0,0,0,0,0,1,0,1
