subject,session_1,session_2,session_3
02lqpjp4pevk73p8f7ipewf9,bacs2,elianto,bacs1
09byk3dg92is9b06rwaybmoh,bacs1,bacs2,elianto
1ahxnduc1fr21fpplm87wkk6,bacs1,bacs2,elianto
1nn8ci654pmi5ny2ho1q3dxi,bacs2,elianto,bacs1
1x8zaa76pikfxwotrhhxcogi,bacs1,elianto,bacs2
1ztbhfxllii1xhq9f1v62x26,elianto,bacs2,bacs1
2b5obc6ufsggq6sv58asdi6i,elianto,bacs2,bacs1
3bjwmrvejholhv36ho3y3mh8,bacs1,elianto,bacs2
3kg0pvgsyc9iqyb89p6yr1oh,bacs2,bacs1,elianto
41n6nzd0x6ka5vdi63op8le0,bacs1,elianto,bacs2
41tzei8zdxnl7g0ylu26ieur,bacs2,elianto,bacs1
46b5352aly4p8vyup0c3qupa,elianto,bacs2,bacs1
4eieaza893bbdomymq9tbyc5,bacs1,bacs2,elianto
4pslf12zjxl5o101sd4874sx,bacs2,bacs1,elianto
54fjwf0mzvlpbybzj7v87eq1,bacs1,elianto,bacs2
55dxh6v7nb1nnkvit5kjedbq,bacs2,bacs1,elianto
5lsfzqrcs8ztdl2pc36tmwu3,elianto,bacs2,bacs1
5n1hjh6yfczmmzzimlklbfaj,elianto,bacs1,bacs2
6jphiv663y8a7ztz5tvdi7lg,bacs2,bacs1,elianto
6oznn9uweo0zvv0igie5jp1c,bacs2,elianto,bacs1
72yuyu49877hzl64v55frwns,elianto,bacs2,bacs1
783ec1u4y9q2mvd4gn99cqle,elianto,bacs2,bacs1
79ozvpaawu1czcm1lc73t8kl,bacs1,bacs2,elianto
7pj2tr5tvmm7sl3haj9i43h5,bacs2,bacs1,elianto
7qcj7p8ty67r40ibod4gc7x3,bacs1,elianto,bacs2
8xb0w7ymbzh79dczn495d4v0,elianto,bacs2,bacs1
91ozs28t2tqcv9vxg71418gq,bacs2,elianto,bacs1
9837apqznjy786osu3nc4ocv,bacs1,bacs2,elianto
a5wl0pomehy4gk4apsj1j9st,bacs2,bacs1,elianto
achbubafg4n6r26s03j6fr1v,bacs1,bacs2,elianto
aiwtf29fpjnkies83n9z0s14,bacs1,elianto,bacs2
bo7cc67np3rta5u4f1ucauzw,bacs1,elianto,bacs2
bp4z9a7hwnxzktpfn6865mkt,elianto,bacs2,bacs1
br020pbmnr90dyxzpn07huez,bacs2,bacs1,elianto
buyou8v1ln54ftsmh5g3j7mz,bacs1,bacs2,elianto
cnhti28mtom8ro1mn6gr3l7p,bacs2,bacs1,elianto
d8chcodi567gbbm3g0pk82m5,bacs2,bacs1,elianto
da9wfdtad2qj3qr8u4tawxfe,bacs1,bacs2,elianto
dbhecn308xrgj2w5ni5mghrw,bacs2,bacs1,elianto
dg58euc52ltsfp866il0jlml,bacs1,bacs2,elianto
docukifcaouwsykbg5hxgt9o,bacs1,bacs2,elianto
easlr5746k2t6yibk259ss9q,bacs1,bacs2,elianto
ef30xldwl7j3izl7jt7fwe6m,elianto,bacs1,bacs2
eikef79388u89dy6ifgaxxa5,bacs2,elianto,bacs1
er4bnf0luxyj6xmtp2wiehtt,bacs2,bacs1,elianto
ff8zqh921bzgmenoraj74hon,bacs1,bacs2,elianto
fgqdcso31ckw0cfuajjwak57,bacs2,bacs1,elianto
fpwho4c7ya1xvsxmqzhicqf0,bacs1,bacs2,elianto
fuqrkpexjkdkk4msfajk735t,bacs2,bacs1,elianto
fxvwanb4fmwmmonm4rap8tzk,bacs2,elianto,bacs1
giubdn02n4iwd973mqiixdg3,bacs1,bacs2,elianto
h20euab13zkelweeeswmkfoh,bacs1,bacs2,elianto
h5gxkod3684r9aa32umrxil3,bacs1,elianto,bacs2
h9ufrjijw1aoxvqerxyhpufx,bacs1,bacs2,elianto
hxx0z6xh5jxs3bdyo21vdbts,bacs1,bacs2,elianto
hzy9t9tvim5r8ql8zyjbg9gl,bacs1,elianto,bacs2
i89jr1lnd0inz4fbc28lgfx8,bacs1,elianto,bacs2
jaapgnx6r3fl1yumbsgijc2c,bacs1,elianto,bacs2
jqoprhxyxvg9e3yss1ayecqe,bacs1,elianto,bacs2
jv26ajvz0djzmxzkswpt4fu9,bacs1,elianto,bacs2
k4eatbxs964vzfpigd04o50g,bacs2,bacs1,elianto
kkqxne7da62qmrj6bpqzeata,bacs1,bacs2,elianto
kr6ntq0t8qnxqaibdzv13owa,bacs1,bacs2,elianto
ku73udljp3do294wkrqry2k2,bacs1,elianto,bacs2
kw2wtgt1ay84fil3dtvb5oyt,bacs2,elianto,bacs1
l4qrxyt5xb97dpedhs809pli,bacs2,elianto,bacs1
l8nfpatptckhefvtrmz4oyo1,bacs1,bacs2,elianto
lgcysbezmz9bhbui20pzvr6j,elianto,bacs1,bacs2
lxj5m279cswf7jg5017ilczl,bacs1,elianto,bacs2
n3kjcc191li92fq3318l08wp,bacs2,bacs1,elianto
n5l6nzah4o9ktdbafwuc1p01,bacs1,bacs2,elianto
n6697tab7e29du1sv7wm18nn,bacs1,elianto,bacs2
njqfm261bznwebjghk0pm6v5,bacs1,bacs2,elianto
nr2pdr7ph79hwf4fzs96pf40,bacs1,bacs2,elianto
nrywb42hiie0c06sts7poftz,bacs2,bacs1,elianto
ok5wpn9p2gc4tc2s7qfjrkm7,bacs2,bacs1,elianto
osc4pdikkighfdrjz2bunxs8,bacs2,bacs1,elianto
piiscwfohwin2do6d97tbq6u,bacs1,bacs2,elianto
px7x4u091wjdgrgqxuy7ot05,bacs1,elianto,bacs2
