subject,session,total,interactions,practice_01,practice_02,practice_03,practice_04,comprehension,difficulty,fun,clarity,strategy,feedback
02lqpjp4pevk73p8f7ipewf9,1,29.2,2,4,7,5,4,0,2,4,5,I remembered some symbols by making up a name for what they looked like.,n/a
041vn0it3hma65t9eawxje7p,1,21.48,24,26,4,4,6,0,3,4,5,nope,"was interesting, Thank you "
09byk3dg92is9b06rwaybmoh,1,23.16,2,4,4,6,4,1,2,3,4,I just gave up and relied on instincts. The strategy changed when most of the robots that paid out had Greek letters. Those I fixed because they seemed to be safer to fix despite being red or blue.,"Y'all psych students really know how to completely piss people off, lol."
0c7a83trokk6ltmgbkt0z1wq,1,19.36,2,4,7,4,4,0,3,4,5,no,no
0sqe4qfbgkyoimu61w0shiz8,1,21.54,2,4,4,4,4,0,3,4,5,just went with memory and gut feeling,
1ahxnduc1fr21fpplm87wkk6,1,20.97,2,4,4,4,4,0,3,4,5,no,none
1nn8ci654pmi5ny2ho1q3dxi,1,21.7,15,4,4,4,4,0,2,4,5,I just tried to remember the symbols,No
1t88tcsrpx0267b6ib7qsgov,1,21.84,13,4,17,4,4,0,1,4,5,I tried to remember which symbol was what. I gave the symbols names based off what they looked like to me. They kept changing their value though.,
1x1nx1osbu2zlwgn0g8w6ngc,1,28.89,0,39,6,8,7,0,1,3,4,no I don't think anything would have worked.,
1x8zaa76pikfxwotrhhxcogi,1,21.4,10,6,4,4,4,0,5,5,5,I simply tested each choice for the patterns and stuck to the choices that the pattern was most likely to be based on previous examples.,Was actually a lot more fun then I would have thought!  Really enjoyed the game and task.
1ztbhfxllii1xhq9f1v62x26,1,22.35,0,4,6,4,7,0,2,5,5,No I just tried to remember and find a pattern ,Thanks stay safe and good luck with your work.
2b5obc6ufsggq6sv58asdi6i,1,26.99,6,4,4,4,7,0,2,5,5,"I simply tried to pay attention to the trends regarding which robots should be repaired. However, I found this changed over time throughout the study so I tried to pay attention to the changes as well. I am not certain that this was an effective strategy since I seemed to make the wrong choices frequently during the task. ",Very interesting study. Thanks for the opportunity. 
3bjwmrvejholhv36ho3y3mh8,1,19.38,2,4,4,4,4,0,2,4,5,"I certainly tried to, but those robots insisted on giving me as few points as possible.  I'm convinced I would've been better off just letting the damn thing run without ever repairing anything !",
3bknwsvw7q20c258tj3mizqh,1,23.65,0,8,6,5,5,0,5,5,5,,
3dxymdwzr013a9mhzr3wrqo9,1,21.44,2,6,4,4,4,0,2,3,5,no,
3kg0pvgsyc9iqyb89p6yr1oh,1,22.91,4,46,6,4,4,0,4,4,5,"no, just tried to memorize the symbols",
41n6nzd0x6ka5vdi63op8le0,1,22.47,0,4,4,4,4,0,2,4,5,I tried to remember whether pressing space for particular shapes yielded points more often and repeated patterns if I saw them.,
41tzei8zdxnl7g0ylu26ieur,1,20.69,0,7,4,4,4,0,2,4,5,no,no
46b5352aly4p8vyup0c3qupa,1,22.27,16,4,4,7,6,0,2,4,5,I tried my best to remember which robots that usually needed repairs.,None.
4eieaza893bbdomymq9tbyc5,1,21.07,5,4,4,4,4,0,2,3,5,no,wouldn't be surprised if the median bonus is zero
4pslf12zjxl5o101sd4874sx,1,28.79,15,7,4,4,4,0,4,4,5,nope,none
54fjwf0mzvlpbybzj7v87eq1,1,20.31,0,5,5,4,4,0,1,2,5,"No I really couldn't as as soon as I thought I knew which one was right, it changed.",Nope
55dxh6v7nb1nnkvit5kjedbq,1,24.18,6,14,6,6,5,0,4,4,5,No.,none
5lsfzqrcs8ztdl2pc36tmwu3,1,21.67,2,4,6,4,4,1,2,4,5,"just tried using my memory, but didn't work so well, haha",thanks very interesting
5n1hjh6yfczmmzzimlklbfaj,1,21.04,0,13,4,4,4,0,4,5,5,I just tried to memorize which robots needed fixing by repeating their symbols outloud.,N/A
5qjy91ur43ogk7o0fgtcw0th,1,18.55,6,4,4,4,4,0,2,4,5,Try and remember which letter robot needed repair more then others,
6cs1cik27rzom6hdxkxjvi6l,1,21.04,0,5,4,4,4,0,2,5,5,I wrote a few things down but then the numbers would switch up on me so I don't think that was very effective.,
6dkbbv31sjm0hnj3pyqaekq9,1,21.58,0,31,4,4,4,0,3,4,5,No,Thank you.
6i7597afcwp4fjqgxuc3slbz,1,18.72,20,4,23,4,4,1,2,5,5,No. Just mainly memorization,God bless and keep safe amigos
