subject,session,block,runsheet,trial,exposure,valence,action,robot,stimulus,rune,rune_set,correct,choice,rt,accuracy,sham,outcome,total_keys
02lqpjp4pevk73p8f7ipewf9,2,1,3a,1,1,win,go,GW,3.0,K,elianto,1,1,0.853,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,2,1,lose,go,GAL,1.0,J,elianto,1,0,,0,0.0,-10,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,3,1,lose,go,GAL,2.0,D,elianto,1,1,0.512,1,0.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,4,1,lose,no-go,NGAL,0.0,V,elianto,0,1,0.85,0,1.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,5,2,win,go,GW,3.0,K,elianto,1,1,0.715,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,6,2,lose,go,GAL,1.0,J,elianto,1,1,0.308,1,1.0,-10,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,7,2,lose,go,GAL,2.0,D,elianto,1,1,0.992,1,0.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,8,2,lose,no-go,NGAL,0.0,V,elianto,0,1,1.145,0,0.0,-10,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,9,3,win,go,GW,3.0,K,elianto,1,1,0.583,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,10,3,lose,go,GAL,2.0,D,elianto,1,1,0.837,1,0.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,11,3,lose,no-go,NGAL,0.0,V,elianto,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,12,3,lose,go,GAL,1.0,J,elianto,1,1,1.033,1,0.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,13,4,lose,go,GAL,1.0,J,elianto,1,1,1.016,1,0.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,14,4,lose,no-go,NGAL,0.0,V,elianto,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,15,4,win,go,GW,3.0,K,elianto,1,1,0.95,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,16,4,lose,go,GAL,2.0,D,elianto,1,1,0.777,1,0.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,17,5,lose,go,GAL,2.0,D,elianto,1,1,1.235,1,0.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,18,5,lose,no-go,NGAL,0.0,V,elianto,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,19,5,win,go,GW,3.0,K,elianto,1,1,0.647,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,20,5,lose,go,GAL,1.0,J,elianto,1,0,,0,1.0,-1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,21,6,lose,go,GAL,1.0,J,elianto,1,0,,0,0.0,-10,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,22,6,win,go,GW,3.0,K,elianto,1,1,0.525,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,23,6,lose,no-go,NGAL,0.0,V,elianto,0,0,,1,0.0,-1,0
