subject,session,block,runsheet,trial,exposure,stimulus,valence,action,robot,rune,rune_set,correct,choice,rt,accuracy,sham,outcome,total_keys
09byk3dg92is9b06rwaybmoh,3,1,3b,1,1,19,lose,go,gal,G,elianto,1,1,0.932,1,0.0,-1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,2,1,16,win,no-go,ngw,L,elianto,0,0,,1,1.0,+1,0
09byk3dg92is9b06rwaybmoh,3,1,3b,3,1,15,win,go,gw,A,elianto,1,1,0.776,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,4,1,17,win,no-go,ngw,U,elianto,0,0,,1,0.0,+10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,5,2,17,win,no-go,ngw,U,elianto,0,1,0.763,0,0.0,+1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,6,2,16,win,no-go,ngw,L,elianto,0,1,0.709,0,0.0,+1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,7,2,15,win,go,gw,A,elianto,1,0,,0,0.0,+1,0
09byk3dg92is9b06rwaybmoh,3,1,3b,8,2,19,lose,go,gal,G,elianto,1,1,0.82,1,1.0,-10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,9,3,15,win,go,gw,A,elianto,1,1,1.079,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,10,3,16,win,no-go,ngw,L,elianto,0,1,0.929,0,1.0,+10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,11,3,17,win,no-go,ngw,U,elianto,0,0,,1,1.0,+1,0
09byk3dg92is9b06rwaybmoh,3,1,3b,12,3,19,lose,go,gal,G,elianto,1,1,0.771,1,0.0,-1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,13,4,19,lose,go,gal,G,elianto,1,0,,0,0.0,-10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,14,4,16,win,no-go,ngw,L,elianto,0,1,0.599,0,0.0,+1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,15,4,15,win,go,gw,A,elianto,1,1,0.907,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,16,4,17,win,no-go,ngw,U,elianto,0,1,0.852,0,0.0,+1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,17,5,16,win,no-go,ngw,L,elianto,0,1,1.043,0,0.0,+1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,18,5,15,win,go,gw,A,elianto,1,1,0.865,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,19,5,19,lose,go,gal,G,elianto,1,0,,0,0.0,-10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,20,5,17,win,no-go,ngw,U,elianto,0,1,0.77,0,0.0,+1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,21,6,19,lose,go,gal,G,elianto,1,1,0.892,1,0.0,-1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,22,6,17,win,no-go,ngw,U,elianto,0,1,0.772,0,0.0,+1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,23,6,16,win,no-go,ngw,L,elianto,0,0,,1,0.0,+10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,24,6,15,win,go,gw,A,elianto,1,0,,0,0.0,+1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,25,7,19,lose,go,gal,G,elianto,1,0,,0,0.0,-10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,26,7,15,win,go,gw,A,elianto,1,1,0.928,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,27,7,16,win,no-go,ngw,L,elianto,0,0,,1,0.0,+10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,28,7,17,win,no-go,ngw,U,elianto,0,0,,1,0.0,+10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,29,8,16,win,no-go,ngw,L,elianto,0,0,,1,0.0,+10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,30,8,19,lose,go,gal,G,elianto,1,1,0.759,1,1.0,-10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,31,8,15,win,go,gw,A,elianto,1,1,0.566,1,1.0,+1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,32,8,17,win,no-go,ngw,U,elianto,0,0,,1,0.0,+10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,33,1,21,lose,go,gal,S,elianto,1,1,0.975,1,0.0,-1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,34,9,15,win,go,gw,A,elianto,1,1,0.893,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,35,1,23,lose,no-go,ngal,P,elianto,0,0,,1,1.0,-10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,36,9,17,win,no-go,ngw,U,elianto,0,0,,1,0.0,+10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,37,2,23,lose,no-go,ngal,P,elianto,0,0,,1,1.0,-10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,38,10,15,win,go,gw,A,elianto,1,1,1.156,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,39,10,17,win,no-go,ngw,U,elianto,0,0,,1,1.0,+1,0
09byk3dg92is9b06rwaybmoh,3,1,3b,40,2,21,lose,go,gal,S,elianto,1,0,,0,0.0,-10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,41,1,18,win,no-go,ngw,W,elianto,0,1,1.007,0,0.0,+1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,42,3,23,lose,no-go,ngal,P,elianto,0,1,1.07,0,1.0,-1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,43,11,15,win,go,gw,A,elianto,1,1,0.743,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,44,3,21,lose,go,gal,S,elianto,1,1,0.943,1,1.0,-10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,45,4,23,lose,no-go,ngal,P,elianto,0,1,0.82,0,1.0,-1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,46,4,21,lose,go,gal,S,elianto,1,1,0.808,1,0.0,-1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,47,2,18,win,no-go,ngw,W,elianto,0,1,0.925,0,1.0,+10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,48,12,15,win,go,gw,A,elianto,1,1,0.89,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,49,5,21,lose,go,gal,S,elianto,1,0,,0,0.0,-10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,50,3,18,win,no-go,ngw,W,elianto,0,1,0.687,0,0.0,+1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,51,1,22,lose,no-go,ngal,E,elianto,0,1,1.284,0,0.0,-10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,52,5,23,lose,no-go,ngal,P,elianto,0,0,,1,0.0,-1,0
09byk3dg92is9b06rwaybmoh,3,1,3b,53,4,18,win,no-go,ngw,W,elianto,0,1,0.76,0,0.0,+1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,54,6,21,lose,go,gal,S,elianto,1,0,,0,0.0,-10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,55,2,22,lose,no-go,ngal,E,elianto,0,1,1.101,0,0.0,-10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,56,6,23,lose,no-go,ngal,P,elianto,0,0,,1,1.0,-10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,57,7,23,lose,no-go,ngal,P,elianto,0,1,0.636,0,0.0,-10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,58,7,21,lose,go,gal,S,elianto,1,1,0.941,1,0.0,-1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,59,5,18,win,no-go,ngw,W,elianto,0,0,,1,0.0,+10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,60,3,22,lose,no-go,ngal,E,elianto,0,0,,1,0.0,-1,0
09byk3dg92is9b06rwaybmoh,3,1,3b,61,4,22,lose,no-go,ngal,E,elianto,0,0,,1,0.0,-1,0
