A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	Y	Z	W	X
A	1	0.37	0.23	0.49	0.24	0.16	0.2	0.37	0.41	0.41	0.12	0.33	0.21	0.23	0.47	0.24	0.19	0.16	0.29	0.35	0.2	0.3	0.22	0.27	0.21	0.45
B	0.32	1	0.28	0.51	0.18	0.15	0.2	0.56	0.39	0.28	0.16	0.68	0.21	0.36	0.35	0.22	0.24	0.17	0.27	0.47	0.1	0.31	0.22	0.21	0.2	0.42
C	0.3	0.32	1	0.28	0.22	0.24	0.34	0.32	0.35	0.56	0.22	0.27	0.17	0.15	0.24	0.42	0.46	0.22	0.62	0.32	0.18	0.21	0.28	0.25	0.16	0.41
D	0.56	0.5	0.27	1	0.31	0.15	0.37	0.32	0.76	0.33	0.15	0.45	0.27	0.24	0.51	0.31	0.37	0.14	0.36	0.73	0.1	0.37	0.2	0.22	0.23	0.69
E	0.26	0.14	0.22	0.25	1	0.44	0.48	0.33	0.28	0.22	0.21	0.29	0.54	0.21	0.21	0.14	0.18	0.22	0.24	0.24	0.13	0.25	0.31	0.28	0.48	0.36
F	0.16	0.15	0.29	0.1	0.52	1	0.37	0.36	0.2	0.17	0.38	0.3	0.33	0.25	0.14	0.15	0.17	0.39	0.15	0.29	0.28	0.2	0.45	0.16	0.29	0.42
G	0.18	0.2	0.38	0.29	0.48	0.33	1	0.19	0.27	0.16	0.24	0.26	0.37	0.36	0.15	0.18	0.59	0.69	0.31	0.26	0.29	0.27	0.21	0.31	0.47	0.23
H	0.33	0.6	0.26	0.38	0.25	0.29	0.26	1	0.33	0.24	0.51	0.55	0.28	0.18	0.27	0.19	0.19	0.19	0.41	0.43	0.12	0.17	0.25	0.24	0.21	0.39
I	0.38	0.38	0.38	0.66	0.23	0.17	0.27	0.34	1	0.32	0.11	0.36	0.26	0.2	0.39	0.19	0.29	0.17	0.28	0.68	0.15	0.47	0.29	0.24	0.28	0.72
J	0.46	0.26	0.54	0.37	0.24	0.26	0.23	0.32	0.28	0.96	0.16	0.48	0.14	0.17	0.44	0.34	0.24	0.15	0.82	0.31	0.19	0.18	0.22	0.33	0.17	0.25
K	0.21	0.15	0.18	0.14	0.26	0.44	0.34	0.51	0.15	0.12	1	0.21	0.24	0.29	0.08	0.12	0.15	0.31	0.13	0.13	0.35	0.16	0.27	0.14	0.15	0.21
L	0.5	0.74	0.29	0.45	0.25	0.29	0.24	0.42	0.34	0.3	0.17	1	0.24	0.47	0.38	0.26	0.25	0.19	0.44	0.53	0.14	0.18	0.21	0.28	0.16	0.46
M	0.26	0.27	0.13	0.29	0.6	0.25	0.37	0.26	0.36	0.1	0.24	0.18	1	0.51	0.26	0.1	0.12	0.33	0.19	0.26	0.21	0.34	0.4	0.16	0.52	0.44
N	0.16	0.44	0.27	0.29	0.15	0.3	0.32	0.29	0.29	0.12	0.26	0.57	0.58	0.96	0.25	0.12	0.21	0.27	0.26	0.35	0.18	0.46	0.37	0.14	0.32	0.22
O	0.41	0.35	0.27	0.5	0.16	0.11	0.18	0.23	0.41	0.31	0.08	0.36	0.21	0.22	1	0.35	0.23	0.12	0.4	0.39	0.09	0.29	0.26	0.3	0.14	0.34
P	0.26	0.22	0.39	0.27	0.19	0.2	0.24	0.19	0.22	0.35	0.11	0.23	0.13	0.14	0.37	1	0.2	0.15	0.39	0.24	0.15	0.15	0.2	0.63	0.21	0.22
Q	0.24	0.25	0.5	0.33	0.19	0.17	0.55	0.21	0.29	0.24	0.18	0.23	0.12	0.13	0.24	0.31	1	0.48	0.27	0.16	0.15	0.16	0.17	0.27	0.18	0.23
R	0.2	0.19	0.23	0.22	0.27	0.25	0.65	0.16	0.19	0.19	0.35	0.19	0.29	0.34	0.08	0.12	0.63	0.99	0.28	0.12	0.3	0.27	0.24	0.21	0.26	0.18
S	0.32	0.35	0.55	0.27	0.19	0.13	0.28	0.35	0.32	0.8	0.15	0.46	0.18	0.3	0.35	0.42	0.29	0.25	0.99	0.24	0.18	0.16	0.2	0.36	0.16	0.37
T	0.4	0.42	0.33	0.69	0.22	0.3	0.22	0.37	0.71	0.26	0.16	0.5	0.23	0.33	0.35	0.23	0.24	0.17	0.24	1	0.15	0.3	0.37	0.21	0.32	0.66
U	0.17	0.12	0.21	0.1	0.19	0.31	0.22	0.15	0.17	0.15	0.36	0.15	0.17	0.15	0.05	0.1	0.21	0.3	0.18	0.08	1	0.17	0.23	0.14	0.17	0.16
V	0.35	0.31	0.2	0.37	0.28	0.27	0.25	0.12	0.53	0.15	0.17	0.18	0.31	0.37	0.34	0.14	0.18	0.29	0.2	0.29	0.19	1	0.42	0.17	0.67	0.4
Y	0.2	0.25	0.27	0.23	0.39	0.37	0.16	0.24	0.29	0.16	0.28	0.22	0.45	0.34	0.27	0.16	0.13	0.3	0.15	0.34	0.23	0.46	1	0.15	0.43	0.22
Z	0.28	0.23	0.28	0.28	0.21	0.13	0.25	0.21	0.19	0.36	0.14	0.35	0.18	0.18	0.38	0.64	0.27	0.12	0.44	0.18	0.15	0.12	0.15	0.99	0.15	0.24
W	0.29	0.25	0.18	0.28	0.53	0.24	0.36	0.21	0.33	0.14	0.16	0.2	0.53	0.28	0.14	0.12	0.17	0.25	0.19	0.28	0.18	0.65	0.4	0.16	1	0.3
X	0.49	0.35	0.35	0.65	0.35	0.26	0.31	0.37	0.73	0.24	0.17	0.35	0.42	0.2	0.32	0.23	0.19	0.17	0.25	0.69	0.14	0.3	0.23	0.18	0.31	1
