A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	Y	Z
A	1	0.35	0.22	0.08	0.22	0.15	0.06	0.42	0.26	0.07	0.25	0.38	0.23	0.25	0.13	0.23	0.09	0.08	0.07	0.11	0.12	0.18	0.13	0.08
B	0.35	0.99	0.16	0.12	0.35	0.17	0.12	0.24	0.26	0.13	0.33	0.33	0.61	0.26	0.34	0.48	0.13	0.09	0.19	0.09	0.08	0.24	0.12	0.13
C	0.18	0.15	0.97	0.12	0.12	0.21	0.41	0.38	0.08	0.28	0.24	0.1	0.19	0.52	0.08	0.09	0.15	0.26	0.67	0.48	0.32	0.25	0.47	0.17
D	0.09	0.09	0.18	1	0.09	0.62	0.15	0.09	0.08	0.12	0.07	0.08	0.24	0.22	0.18	0.1	0.54	0.2	0.18	0.17	0.34	0.27	0.19	0.67
E	0.21	0.4	0.15	0.11	1	0.13	0.1	0.33	0.33	0.07	0.3	0.23	0.18	0.12	0.44	0.67	0.14	0.08	0.13	0.07	0.07	0.15	0.12	0.09
F	0.32	0.27	0.3	0.56	0.16	0.99	0.2	0.12	0.17	0.14	0.21	0.12	0.51	0.67	0.16	0.21	0.42	0.23	0.18	0.18	0.43	0.45	0.21	0.57
G	0.1	0.13	0.42	0.13	0.1	0.18	1	0.09	0.08	0.83	0.14	0.09	0.17	0.33	0.08	0.1	0.2	0.23	0.51	0.3	0.36	0.32	0.37	0.11
H	0.41	0.25	0.35	0.07	0.31	0.19	0.1	1	0.19	0.09	0.5	0.13	0.13	0.19	0.16	0.27	0.08	0.08	0.08	0.06	0.07	0.29	0.1	0.1
I	0.2	0.28	0.13	0.07	0.28	0.1	0.1	0.21	0.99	0.07	0.31	0.21	0.21	0.2	0.22	0.34	0.14	0.15	0.14	0.25	0.08	0.16	0.07	0.14
J	0.07	0.1	0.26	0.16	0.07	0.15	0.82	0.11	0.08	1	0.1	0.11	0.18	0.31	0.08	0.09	0.15	0.22	0.34	0.34	0.28	0.15	0.37	0.12
K	0.31	0.29	0.2	0.11	0.31	0.22	0.14	0.48	0.28	0.09	1	0.18	0.29	0.24	0.15	0.27	0.12	0.22	0.19	0.24	0.1	0.43	0.1	0.22
L	0.29	0.33	0.07	0.11	0.23	0.12	0.1	0.11	0.24	0.14	0.19	1	0.23	0.11	0.57	0.32	0.12	0.07	0.12	0.1	0.07	0.13	0.16	0.05
M	0.15	0.61	0.28	0.24	0.16	0.49	0.21	0.12	0.23	0.19	0.29	0.13	0.96	0.42	0.14	0.2	0.19	0.19	0.21	0.21	0.18	0.45	0.19	0.24
N	0.24	0.24	0.6	0.14	0.14	0.46	0.33	0.18	0.14	0.32	0.28	0.12	0.38	0.99	0.09	0.14	0.21	0.31	0.49	0.45	0.25	0.21	0.53	0.18
O	0.14	0.24	0.1	0.21	0.29	0.14	0.07	0.13	0.18	0.09	0.13	0.58	0.13	0.14	1	0.36	0.12	0.08	0.15	0.07	0.09	0.12	0.1	0.12
P	0.18	0.48	0.13	0.13	0.63	0.19	0.13	0.27	0.38	0.08	0.27	0.31	0.24	0.11	0.45	0.97	0.1	0.06	0.17	0.06	0.06	0.18	0.16	0.11
Q	0.09	0.14	0.19	0.65	0.17	0.56	0.17	0.07	0.13	0.18	0.11	0.11	0.21	0.21	0.16	0.12	0.97	0.23	0.16	0.18	0.42	0.25	0.22	0.66
R	0.04	0.12	0.33	0.24	0.08	0.21	0.23	0.08	0.13	0.26	0.15	0.05	0.23	0.36	0.07	0.06	0.31	0.99	0.34	0.42	0.41	0.21	0.39	0.45
S	0.09	0.18	0.6	0.17	0.13	0.2	0.48	0.13	0.12	0.3	0.14	0.11	0.24	0.5	0.09	0.12	0.2	0.31	1	0.53	0.28	0.21	0.57	0.2
T	0.1	0.08	0.49	0.13	0.09	0.2	0.34	0.08	0.25	0.32	0.27	0.09	0.22	0.51	0.08	0.08	0.17	0.42	0.59	1	0.25	0.2	0.56	0.21
U	0.07	0.1	0.36	0.33	0.06	0.45	0.42	0.1	0.07	0.36	0.15	0.09	0.17	0.34	0.09	0.08	0.32	0.4	0.31	0.22	0.99	0.19	0.32	0.38
V	0.18	0.24	0.28	0.3	0.13	0.43	0.32	0.27	0.16	0.23	0.42	0.14	0.47	0.25	0.11	0.33	0.26	0.26	0.16	0.22	0.22	0.99	0.22	0.37
Y	0.11	0.09	0.55	0.13	0.1	0.21	0.38	0.11	0.1	0.3	0.07	0.15	0.21	0.61	0.12	0.1	0.2	0.34	0.67	0.48	0.37	0.17	1	0.23
Z	0.08	0.09	0.23	0.62	0.08	0.64	0.15	0.08	0.14	0.16	0.18	0.07	0.26	0.27	0.08	0.08	0.58	0.47	0.16	0.22	0.33	0.4	0.23	0.97
