name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
beta_mu[1,1]	1.03	0.00232	0.0629	0.927	1.03	1.13	734.0	0.736	1.0
beta_mu[1,2]	1.12	0.00241	0.063	1.01	1.12	1.22	685.0	0.687	1.01
beta_mu[2,1]	0.908	0.00356	0.122	0.708	0.905	1.11	1182.0	1.19	1.0
beta_mu[2,2]	0.726	0.00374	0.127	0.52	0.725	0.938	1150.0	1.15	1.0
beta_mu[3,1]	0.235	0.0031	0.107	0.0593	0.235	0.414	1195.0	1.2	1.0
beta_mu[3,2]	0.11	0.00305	0.11	-0.0684	0.111	0.291	1307.0	1.31	1.0
beta_mu[4,1]	-1.59	0.00572	0.188	-1.9	-1.59	-1.28	1076.0	1.08	1.0
beta_mu[4,2]	-1.11	0.00602	0.197	-1.42	-1.11	-0.784	1064.0	1.07	1.0
alpha[1]	-0.203	0.000601	0.0276	-0.248	-0.203	-0.157	2103.0	2.11	1.0
beta_c_pr[1,1]	-1.2	0.00571	0.289	-1.68	-1.2	-0.722	2560.0	2.57	1.0
beta_c_pr[1,2]	-1.46	0.00595	0.282	-1.94	-1.46	-1.01	2241.0	2.25	1.0
beta_c_pr[1,3]	-0.269	0.00525	0.303	-0.754	-0.272	0.239	3320.0	3.33	1.0
beta_c_pr[1,4]	0.0727	0.00571	0.308	-0.433	0.0754	0.585	2904.0	2.91	1.0
beta_c_pr[1,5]	-1.12	0.00576	0.287	-1.61	-1.12	-0.648	2488.0	2.49	1.0
beta_c_pr[1,6]	0.033	0.0053	0.311	-0.477	0.0299	0.549	3439.0	3.45	1.0
beta_c_pr[1,7]	0.0766	0.00557	0.314	-0.433	0.0696	0.581	3179.0	3.19	1.0
beta_c_pr[1,8]	-0.426	0.00508	0.292	-0.907	-0.427	0.0591	3299.0	3.31	1.0
beta_c_pr[1,9]	0.635	0.0059	0.321	0.131	0.625	1.17	2953.0	2.96	1.0
beta_c_pr[1,10]	0.294	0.00612	0.319	-0.217	0.293	0.833	2717.0	2.72	1.0
beta_c_pr[1,11]	1.02	0.00631	0.348	0.459	1.01	1.6	3036.0	3.04	1.0
beta_c_pr[1,12]	0.379	0.00536	0.297	-0.107	0.37	0.881	3058.0	3.07	1.0
beta_c_pr[1,13]	1.4	0.00641	0.366	0.819	1.39	2.04	3267.0	3.28	1.0
beta_c_pr[1,14]	-0.0658	0.00558	0.306	-0.559	-0.0661	0.44	3004.0	3.01	1.0
beta_c_pr[1,15]	-1.88	0.00655	0.297	-2.37	-1.87	-1.4	2057.0	2.06	1.0
beta_c_pr[1,16]	1.51	0.00628	0.37	0.917	1.5	2.13	3464.0	3.47	1.0
beta_c_pr[1,17]	-1.07	0.00569	0.293	-1.55	-1.07	-0.588	2652.0	2.66	1.0
beta_c_pr[1,18]	1.11	0.00655	0.367	0.529	1.1	1.73	3130.0	3.14	1.0
beta_c_pr[1,19]	-0.419	0.00528	0.287	-0.886	-0.418	0.055	2960.0	2.97	1.0
beta_c_pr[1,20]	-0.708	0.0059	0.307	-1.22	-0.706	-0.206	2701.0	2.71	1.0
beta_c_pr[1,21]	-0.00517	0.00499	0.284	-0.46	-0.0111	0.475	3240.0	3.25	1.0
beta_c_pr[1,22]	0.322	0.00596	0.321	-0.2	0.316	0.863	2911.0	2.92	1.0
beta_c_pr[1,23]	0.681	0.00637	0.349	0.13	0.677	1.26	3002.0	3.01	1.0
beta_c_pr[1,24]	-0.902	0.00589	0.287	-1.37	-0.903	-0.446	2379.0	2.39	1.0
beta_c_pr[1,25]	-0.0402	0.00527	0.321	-0.557	-0.0382	0.483	3710.0	3.72	1.0
beta_c_pr[1,26]	-0.186	0.00525	0.292	-0.652	-0.197	0.306	3083.0	3.09	1.0
beta_c_pr[1,27]	0.735	0.00589	0.34	0.196	0.726	1.31	3335.0	3.34	1.0
beta_c_pr[1,28]	0.00763	0.00574	0.317	-0.498	0.0015	0.541	3048.0	3.06	1.0
beta_c_pr[1,29]	0.677	0.00642	0.352	0.119	0.667	1.28	3013.0	3.02	1.0
beta_c_pr[1,30]	-1.65	0.00622	0.309	-2.16	-1.64	-1.15	2460.0	2.47	1.0
beta_c_pr[1,31]	-1.0	0.00519	0.288	-1.49	-0.997	-0.546	3086.0	3.1	1.0
beta_c_pr[1,32]	-0.86	0.0054	0.293	-1.34	-0.861	-0.381	2952.0	2.96	1.0
