name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
beta_mu[1,1]	1.79	0.00186	0.0791	1.66	1.79	1.92	1815.0	0.493	1.0
beta_mu[1,2]	1.67	0.00189	0.0808	1.54	1.67	1.8	1833.0	0.498	1.0
beta_mu[2,1]	0.149	0.00297	0.0837	0.0137	0.148	0.286	795.0	0.216	1.01
beta_mu[2,2]	0.533	0.00295	0.0831	0.396	0.533	0.671	793.0	0.215	1.0
beta_mu[3,1]	1.06	0.00168	0.0722	0.941	1.06	1.18	1844.0	0.501	1.0
beta_mu[3,2]	1.04	0.00163	0.0711	0.923	1.04	1.16	1894.0	0.514	1.0
beta_mu[4,1]	0.811	0.00193	0.0685	0.7	0.811	0.921	1257.0	0.341	1.0
beta_mu[4,2]	0.867	0.0019	0.0692	0.753	0.865	0.981	1333.0	0.362	1.0
alpha[1]	-0.175	0.00038	0.0203	-0.209	-0.175	-0.141	2865.0	0.778	1.0
beta_c_pr[1,1]	-1.5	0.00573	0.37	-2.1	-1.49	-0.91	4155.0	1.13	1.0
beta_c_pr[1,2]	-1.59	0.00536	0.365	-2.18	-1.59	-0.997	4622.0	1.25	0.999
beta_c_pr[1,3]	-0.946	0.0051	0.364	-1.54	-0.956	-0.354	5107.0	1.39	1.0
beta_c_pr[1,4]	0.738	0.00593	0.429	0.0554	0.723	1.47	5253.0	1.43	1.0
beta_c_pr[1,5]	-0.997	0.00514	0.357	-1.58	-0.993	-0.407	4827.0	1.31	1.0
beta_c_pr[1,6]	-0.52	0.00534	0.376	-1.14	-0.524	0.0932	4944.0	1.34	1.0
beta_c_pr[1,7]	-0.451	0.0055	0.392	-1.08	-0.455	0.202	5068.0	1.38	0.999
beta_c_pr[1,8]	-0.0482	0.00523	0.399	-0.697	-0.0563	0.625	5825.0	1.58	1.0
beta_c_pr[1,9]	0.388	0.00543	0.413	-0.259	0.375	1.09	5782.0	1.57	0.999
beta_c_pr[1,10]	-0.272	0.00514	0.381	-0.89	-0.286	0.351	5504.0	1.49	1.0
beta_c_pr[1,11]	0.923	0.006	0.468	0.193	0.902	1.71	6081.0	1.65	1.0
beta_c_pr[1,12]	-0.325	0.00506	0.365	-0.923	-0.327	0.29	5200.0	1.41	1.0
beta_c_pr[1,13]	0.559	0.00605	0.447	-0.151	0.549	1.31	5442.0	1.48	1.0
beta_c_pr[1,14]	0.639	0.00569	0.427	-0.0343	0.629	1.36	5635.0	1.53	1.0
beta_c_pr[1,15]	-1.42	0.00529	0.37	-2.04	-1.42	-0.829	4875.0	1.32	1.0
beta_c_pr[1,16]	-0.176	0.00573	0.401	-0.812	-0.198	0.517	4898.0	1.33	0.999
beta_c_pr[1,17]	-1.94	0.00566	0.357	-2.55	-1.93	-1.38	3972.0	1.08	1.0
beta_c_pr[1,18]	-0.927	0.00523	0.375	-1.55	-0.922	-0.308	5145.0	1.4	1.0
beta_c_pr[1,19]	-1.51	0.0055	0.36	-2.1	-1.5	-0.923	4289.0	1.16	1.0
beta_c_pr[1,20]	0.174	0.00576	0.427	-0.512	0.169	0.878	5485.0	1.49	1.0
beta_c_pr[1,21]	-0.114	0.00527	0.385	-0.728	-0.123	0.522	5333.0	1.45	0.999
beta_c_pr[1,22]	1.29	0.00649	0.484	0.525	1.28	2.11	5558.0	1.51	1.0
beta_c_pr[1,23]	1.15	0.00586	0.48	0.388	1.14	1.97	6688.0	1.82	1.0
beta_c_pr[1,24]	-0.779	0.0048	0.36	-1.38	-0.778	-0.2	5614.0	1.52	1.0
beta_c_pr[1,25]	0.026	0.00532	0.396	-0.608	0.0185	0.702	5538.0	1.5	1.0
beta_c_pr[1,26]	-0.561	0.00547	0.382	-1.18	-0.557	0.0796	4876.0	1.32	0.999
beta_c_pr[1,27]	-1.07	0.00514	0.361	-1.66	-1.07	-0.473	4921.0	1.34	1.0
beta_c_pr[1,28]	-0.0241	0.00571	0.396	-0.667	-0.0351	0.64	4809.0	1.31	0.999
beta_c_pr[1,29]	0.934	0.00594	0.482	0.173	0.919	1.76	6573.0	1.78	0.999
beta_c_pr[1,30]	-0.0871	0.00494	0.379	-0.703	-0.0955	0.545	5883.0	1.6	1.0
beta_c_pr[1,31]	-1.84	0.00553	0.366	-2.46	-1.83	-1.25	4387.0	1.19	1.0
beta_c_pr[1,32]	-0.699	0.00515	0.367	-1.3	-0.705	-0.0928	5086.0	1.38	1.0
beta_c_pr[1,33]	-0.0568	0.00556	0.398	-0.712	-0.059	0.604	5127.0	1.39	1.0
beta_c_pr[1,34]	1.96	0.00736	0.57	1.06	1.95	2.94	6005.0	1.63	1.0
