name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
mu_pr[1]	1.77	0.0122	0.234	1.42	1.76	2.18	368.0	0.0108	1.01
mu_pr[2]	0.0761	0.000182	0.0103	0.0592	0.0762	0.0929	3221.0	0.0947	1.0
mu_pr[3]	-0.647	0.00607	0.123	-0.854	-0.643	-0.451	413.0	0.0122	1.01
theta_pr[1,1]	-0.323	0.0254	1.07	-1.33	-0.899	1.8	1773.0	0.0521	1.0
theta_pr[1,2]	-1.07	0.0542	0.611	-1.48	-1.19	-0.21	127.0	0.00374	1.05
theta_pr[1,3]	-0.665	0.00798	0.276	-1.03	-0.694	-0.233	1195.0	0.0351	1.0
theta_pr[1,4]	-0.853	0.00714	0.18	-1.14	-0.856	-0.555	637.0	0.0187	1.0
theta_pr[1,5]	0.378	0.0711	1.51	-1.48	0.586	2.66	455.0	0.0134	1.01
theta_pr[1,6]	-0.724	0.00714	0.262	-1.06	-0.75	-0.356	1344.0	0.0395	1.0
theta_pr[1,7]	0.119	0.00974	0.638	-0.681	-0.0202	1.35	4285.0	0.126	1.0
theta_pr[1,8]	0.0334	0.0117	0.759	-0.91	-0.142	1.49	4238.0	0.125	1.0
theta_pr[1,9]	0.484	0.00744	0.527	-0.257	0.416	1.46	5020.0	0.148	1.0
theta_pr[1,10]	0.957	0.00795	0.683	-0.0983	0.914	2.13	7368.0	0.217	1.0
theta_pr[1,11]	0.76	0.0101	0.546	-0.0447	0.714	1.73	2921.0	0.0859	1.0
theta_pr[1,12]	-0.478	0.0078	0.204	-0.804	-0.481	-0.135	686.0	0.0202	1.0
theta_pr[1,13]	1.23	0.00864	0.583	0.342	1.19	2.24	4555.0	0.134	1.0
theta_pr[1,14]	-0.559	0.00866	0.434	-1.01	-0.653	0.306	2510.0	0.0738	1.0
theta_pr[1,15]	-0.39	0.117	1.5	-1.59	-1.23	2.58	165.0	0.00486	1.03
theta_pr[1,16]	1.06	0.0102	0.513	0.295	1.03	1.97	2543.0	0.0748	1.0
theta_pr[1,17]	-0.784	0.0257	0.84	-1.4	-1.09	1.28	1064.0	0.0313	1.0
theta_pr[1,18]	0.755	0.00989	0.451	0.0918	0.717	1.55	2077.0	0.0611	1.0
theta_pr[1,19]	0.661	0.013	0.906	-0.831	0.7	2.11	4863.0	0.143	1.0
theta_pr[1,20]	-0.427	0.024	1.02	-1.34	-0.944	1.68	1810.0	0.0532	1.0
theta_pr[1,21]	-0.356	0.0106	0.657	-1.04	-0.573	1.06	3821.0	0.112	1.0
theta_pr[1,22]	0.291	0.00881	0.651	-0.598	0.197	1.49	5467.0	0.161	1.0
theta_pr[1,23]	0.945	0.0098	0.608	0.0113	0.911	2.0	3854.0	0.113	1.0
theta_pr[1,24]	-1.04	0.00656	0.167	-1.32	-1.04	-0.771	646.0	0.019	1.0
theta_pr[1,25]	-0.572	0.0154	0.768	-1.24	-0.871	1.22	2495.0	0.0734	1.0
theta_pr[1,26]	-0.317	0.011	0.647	-0.99	-0.526	1.09	3474.0	0.102	1.0
theta_pr[1,27]	0.946	0.00745	0.657	-0.0567	0.907	2.09	7776.0	0.229	1.0
theta_pr[1,28]	0.112	0.0106	0.69	-0.762	-0.0309	1.45	4230.0	0.124	1.0
theta_pr[1,29]	0.814	0.00974	0.549	-0.00519	0.765	1.78	3180.0	0.0935	1.0
theta_pr[1,30]	-0.369	0.052	1.3	-1.49	-1.11	2.19	627.0	0.0184	1.0
theta_pr[1,31]	-0.227	0.0573	1.34	-1.44	-1.04	2.31	549.0	0.0161	1.01
theta_pr[1,32]	-1.09	0.00621	0.168	-1.37	-1.09	-0.82	734.0	0.0216	1.0
theta_pr[1,33]	-0.842	0.0127	0.485	-1.27	-0.946	0.11	1462.0	0.043	1.0
