name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
mu_pr[1]	1.62	0.0177	0.206	1.31	1.61	1.99	136.0	0.00507	1.03
mu_pr[2]	0.138	0.000309	0.0134	0.116	0.138	0.16	1897.0	0.071	1.0
mu_pr[3]	0.0203	0.000239	0.0117	0.00104	0.0201	0.0394	2408.0	0.0901	1.0
mu_pr[4]	-0.545	0.00817	0.115	-0.743	-0.54	-0.367	197.0	0.00738	1.03
theta_pr[1,1]	-0.563	0.0295	0.926	-1.28	-0.957	1.62	987.0	0.0369	1.0
theta_pr[1,2]	-1.07	0.0464	0.433	-1.38	-1.13	-0.836	87.0	0.00326	1.03
theta_pr[1,3]	-0.572	0.0126	0.287	-0.932	-0.609	-0.119	521.0	0.0195	1.01
theta_pr[1,4]	-0.754	0.0102	0.171	-1.03	-0.759	-0.476	278.0	0.0104	1.01
theta_pr[1,5]	-0.272	0.0873	1.38	-1.44	-1.08	2.41	250.0	0.00935	1.02
theta_pr[1,6]	-0.592	0.00875	0.253	-0.916	-0.617	-0.221	838.0	0.0314	1.01
theta_pr[1,7]	0.282	0.0122	0.673	-0.58	0.14	1.57	3039.0	0.114	1.0
theta_pr[1,8]	-0.086	0.012	0.679	-0.852	-0.282	1.3	3182.0	0.119	1.0
theta_pr[1,9]	0.482	0.0083	0.51	-0.22	0.412	1.42	3773.0	0.141	1.0
theta_pr[1,10]	0.925	0.00962	0.706	-0.153	0.877	2.16	5391.0	0.202	1.0
theta_pr[1,11]	0.933	0.0114	0.571	0.0951	0.887	1.96	2493.0	0.0933	1.0
theta_pr[1,12]	-0.361	0.0121	0.207	-0.695	-0.367	-0.0117	293.0	0.011	1.02
theta_pr[1,13]	1.39	0.0117	0.591	0.489	1.36	2.43	2569.0	0.0961	1.0
theta_pr[1,14]	-0.508	0.00915	0.382	-0.924	-0.584	0.201	1742.0	0.0652	1.0
theta_pr[1,15]	-0.761	0.463	1.24	-1.54	-1.25	2.34	7.21	0.00027	1.33
theta_pr[1,16]	1.24	0.0106	0.524	0.451	1.2	2.16	2431.0	0.091	1.0
theta_pr[1,17]	-0.904	0.02	0.616	-1.34	-1.06	0.695	948.0	0.0355	1.0
theta_pr[1,18]	0.891	0.0143	0.476	0.18	0.854	1.74	1100.0	0.0412	1.01
theta_pr[1,19]	0.873	0.0188	0.979	-0.731	0.892	2.45	2722.0	0.102	1.0
theta_pr[1,20]	-0.721	0.025	0.726	-1.26	-0.965	1.13	840.0	0.0314	1.0
theta_pr[1,21]	-0.522	0.0102	0.455	-0.978	-0.634	0.396	1996.0	0.0747	1.0
theta_pr[1,22]	0.242	0.0109	0.622	-0.556	0.125	1.46	3279.0	0.123	1.0
theta_pr[1,23]	1.02	0.012	0.611	0.107	0.982	2.1	2585.0	0.0967	1.0
theta_pr[1,24]	-0.964	0.00934	0.155	-1.22	-0.964	-0.709	276.0	0.0103	1.02
theta_pr[1,25]	-0.871	0.00851	0.248	-1.17	-0.897	-0.54	849.0	0.0318	1.0
theta_pr[1,26]	-0.275	0.0126	0.623	-0.903	-0.475	1.11	2460.0	0.092	1.0
theta_pr[1,27]	1.11	0.0102	0.682	0.0611	1.07	2.29	4445.0	0.166	1.0
theta_pr[1,28]	-0.16	0.0112	0.599	-0.807	-0.33	1.11	2873.0	0.107	1.0
theta_pr[1,29]	0.779	0.00939	0.527	-3.24e-05	0.736	1.72	3151.0	0.118	1.0
theta_pr[1,30]	-0.618	0.0543	1.11	-1.42	-1.11	1.97	419.0	0.0157	1.02
theta_pr[1,31]	-0.224	0.0822	1.36	-1.37	-1.01	2.48	275.0	0.0103	1.02
theta_pr[1,32]	-0.983	0.0346	0.322	-1.27	-1.01	-0.728	86.8	0.00325	1.06
theta_pr[1,33]	-0.873	0.0101	0.262	-1.17	-0.9	-0.546	669.0	0.025	1.01
theta_pr[1,34]	0.658	0.0131	0.506	-0.0542	0.595	1.58	1480.0	0.0554	1.0
theta_pr[1,35]	0.406	0.00884	0.53	-0.32	0.324	1.4	3601.0	0.135	1.0
theta_pr[1,36]	-0.0441	0.0113	0.595	-0.736	-0.196	1.18	2788.0	0.104	1.0
theta_pr[1,37]	1.09	0.012	0.532	0.301	1.05	2.03	1977.0	0.074	1.0
theta_pr[1,38]	0.15	0.00968	0.382	-0.389	0.109	0.854	1562.0	0.0584	1.0
theta_pr[1,39]	0.0619	0.00759	0.472	-0.561	-0.0198	0.952	3862.0	0.144	1.0
theta_pr[1,40]	0.195	0.0105	0.617	-0.589	0.0728	1.38	3445.0	0.129	1.0
theta_pr[1,41]	1.12	0.0113	0.555	0.301	1.08	2.12	2412.0	0.0902	1.0
theta_pr[1,42]	-0.209	0.0117	0.211	-0.543	-0.215	0.146	326.0	0.0122	1.01
theta_pr[1,43]	0.124	0.0167	0.86	-0.903	-0.0869	1.75	2652.0	0.0992	1.0
theta_pr[1,44]	0.882	0.011	0.515	0.117	0.839	1.8	2180.0	0.0816	1.0
theta_pr[1,45]	-1.02	0.0152	0.248	-1.3	-1.03	-0.753	268.0	0.01	1.01
theta_pr[1,46]	-0.0816	0.0416	1.15	-1.25	-0.68	2.04	761.0	0.0285	1.0
theta_pr[1,47]	-0.357	0.0274	0.993	-1.24	-0.856	1.71	1314.0	0.0492	1.01
theta_pr[1,48]	-0.312	0.00914	0.329	-0.728	-0.359	0.257	1300.0	0.0486	1.0
theta_pr[1,49]	-0.416	0.012	0.543	-0.949	-0.571	0.782	2058.0	0.077	1.0
theta_pr[1,50]	-0.0203	0.0112	0.649	-0.777	-0.188	1.27	3349.0	0.125	1.0
theta_pr[1,51]	0.0199	0.0129	0.263	-0.386	0.00578	0.47	417.0	0.0156	1.01
theta_pr[1,52]	-0.769	0.0442	0.95	-1.41	-1.12	1.64	462.0	0.0173	1.01
theta_pr[1,53]	-0.836	0.0142	0.475	-1.23	-0.943	0.146	1118.0	0.0418	1.0
theta_pr[1,54]	1.44	0.0134	0.548	0.588	1.4	2.39	1668.0	0.0624	1.0
theta_pr[1,55]	0.121	0.00913	0.418	-0.444	0.0593	0.907	2094.0	0.0783	1.0
theta_pr[1,56]	-0.33	0.046	1.06	-1.3	-0.89	1.84	534.0	0.02	1.01
theta_pr[1,57]	0.209	0.0228	1.02	-1.07	0.0622	2.0	2022.0	0.0756	1.0
