name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
mu_pr[1]	1.62	0.00537	0.167	1.37	1.61	1.92	968.0	0.0458	1.0
mu_pr[2]	0.074	0.000197	0.0103	0.0571	0.0741	0.0909	2730.0	0.129	1.0
mu_pr[3]	-0.703	0.00261	0.101	-0.87	-0.702	-0.539	1487.0	0.0703	1.0
mu_pr[4]	0.47	0.000926	0.0567	0.379	0.468	0.566	3750.0	0.177	1.0
theta_pr[1,1]	-0.936	0.0118	0.551	-1.41	-1.07	0.216	2167.0	0.102	1.0
theta_pr[1,2]	-1.24	0.0165	0.464	-1.6	-1.31	-0.928	793.0	0.0375	1.01
theta_pr[1,3]	-0.765	0.00519	0.236	-1.1	-0.782	-0.385	2076.0	0.0981	1.0
theta_pr[1,4]	-0.801	0.00464	0.198	-1.11	-0.806	-0.47	1812.0	0.0856	1.0
theta_pr[1,5]	0.504	0.0197	1.07	-1.11	0.501	2.26	2956.0	0.14	1.0
theta_pr[1,6]	-0.65	0.00798	0.366	-1.06	-0.715	0.0107	2102.0	0.0994	1.0
theta_pr[1,7]	0.0713	0.00989	0.655	-0.729	-0.0866	1.37	4389.0	0.207	1.0
theta_pr[1,8]	-0.39	0.00648	0.37	-0.869	-0.443	0.273	3263.0	0.154	1.0
theta_pr[1,9]	0.495	0.00679	0.542	-0.253	0.421	1.51	6368.0	0.301	1.0
theta_pr[1,10]	0.59	0.00873	0.7	-0.414	0.526	1.84	6433.0	0.304	1.0
theta_pr[1,11]	0.631	0.00709	0.509	-0.088	0.572	1.55	5141.0	0.243	1.0
theta_pr[1,12]	-0.445	0.00472	0.226	-0.803	-0.456	-0.0514	2293.0	0.108	1.0
theta_pr[1,13]	1.3	0.00711	0.585	0.429	1.26	2.35	6777.0	0.32	1.0
theta_pr[1,14]	-0.762	0.00549	0.276	-1.12	-0.793	-0.337	2527.0	0.119	1.0
theta_pr[1,15]	-1.05	0.0536	1.12	-1.78	-1.44	1.9	435.0	0.0206	1.0
theta_pr[1,16]	1.17	0.00754	0.495	0.423	1.14	2.05	4315.0	0.204	1.0
theta_pr[1,17]	-1.13	0.0219	0.545	-1.54	-1.24	-0.192	617.0	0.0292	1.01
theta_pr[1,18]	0.92	0.007	0.476	0.189	0.888	1.75	4622.0	0.218	1.0
theta_pr[1,19]	0.118	0.0204	1.01	-1.15	-0.0754	1.97	2462.0	0.116	1.0
theta_pr[1,20]	0.192	0.0141	0.879	-0.984	0.0639	1.8	3875.0	0.183	1.0
theta_pr[1,21]	-0.656	0.00589	0.281	-1.03	-0.692	-0.181	2277.0	0.108	1.0
theta_pr[1,22]	0.374	0.00891	0.697	-0.602	0.278	1.67	6112.0	0.289	1.0
theta_pr[1,23]	0.832	0.00748	0.618	-0.0678	0.773	1.93	6818.0	0.322	1.0
theta_pr[1,24]	-1.14	0.00451	0.164	-1.41	-1.14	-0.875	1318.0	0.0623	1.0
theta_pr[1,25]	-0.00914	0.00947	0.621	-0.797	-0.134	1.22	4306.0	0.204	1.0
theta_pr[1,26]	-0.618	0.0109	0.526	-1.12	-0.751	0.487	2320.0	0.11	1.0
theta_pr[1,27]	0.906	0.00676	0.598	0.0249	0.849	1.97	7837.0	0.37	1.0
theta_pr[1,28]	-0.181	0.00936	0.609	-0.881	-0.341	1.08	4231.0	0.2	1.0
theta_pr[1,29]	0.865	0.00655	0.483	0.145	0.83	1.73	5434.0	0.257	1.0
theta_pr[1,30]	0.437	0.0202	1.1	-1.23	0.459	2.23	2969.0	0.14	1.0
theta_pr[1,31]	-0.761	0.0281	0.97	-1.53	-1.15	1.56	1194.0	0.0565	1.0
theta_pr[1,32]	-1.18	0.00464	0.172	-1.46	-1.18	-0.905	1365.0	0.0645	1.0
theta_pr[1,33]	-0.808	0.00467	0.209	-1.13	-0.815	-0.456	1995.0	0.0943	1.0
theta_pr[1,34]	0.468	0.0064	0.469	-0.187	0.407	1.35	5379.0	0.254	1.0
theta_pr[1,35]	0.391	0.00743	0.573	-0.4	0.305	1.46	5937.0	0.281	1.0
theta_pr[1,36]	-0.49	0.00529	0.307	-0.902	-0.528	0.0395	3381.0	0.16	1.0
theta_pr[1,37]	0.918	0.00636	0.491	0.206	0.872	1.81	5953.0	0.281	1.0
theta_pr[1,38]	0.913	0.00825	0.496	0.177	0.866	1.79	3608.0	0.171	1.0
theta_pr[1,39]	0.129	0.00836	0.583	-0.626	0.026	1.25	4872.0	0.23	1.0
theta_pr[1,40]	-0.0557	0.00784	0.501	-0.682	-0.152	0.928	4086.0	0.193	1.0
theta_pr[1,41]	1.28	0.00728	0.588	0.405	1.23	2.32	6525.0	0.308	1.0
theta_pr[1,42]	-0.253	0.00478	0.221	-0.6	-0.261	0.125	2134.0	0.101	1.0
theta_pr[1,43]	0.528	0.0109	0.803	-0.682	0.487	1.94	5384.0	0.254	1.0
theta_pr[1,44]	0.914	0.00733	0.566	0.0854	0.859	1.93	5950.0	0.281	1.0
theta_pr[1,45]	-0.82	0.0243	0.85	-1.46	-1.14	1.26	1223.0	0.0578	1.0
theta_pr[1,46]	0.667	0.011	0.847	-0.637	0.632	2.1	5881.0	0.278	1.0
theta_pr[1,47]	0.385	0.0114	0.832	-0.817	0.294	1.88	5375.0	0.254	1.0
theta_pr[1,48]	-0.451	0.00626	0.344	-0.877	-0.504	0.125	3009.0	0.142	1.0
theta_pr[1,49]	-0.724	0.00861	0.41	-1.15	-0.805	-0.0115	2272.0	0.107	1.0
theta_pr[1,50]	0.428	0.0108	0.745	-0.62	0.345	1.77	4747.0	0.224	1.0
theta_pr[1,51]	-0.0406	0.00539	0.258	-0.444	-0.0514	0.408	2297.0	0.109	1.0
theta_pr[1,52]	-1.15	0.0259	0.746	-1.65	-1.34	0.814	832.0	0.0393	1.0
theta_pr[1,53]	-1.07	0.0146	0.472	-1.47	-1.16	-0.392	1041.0	0.0492	1.0
theta_pr[1,54]	1.41	0.00802	0.572	0.526	1.38	2.42	5092.0	0.241	1.0
theta_pr[1,55]	0.408	0.00713	0.52	-0.304	0.334	1.36	5304.0	0.251	1.0
theta_pr[1,56]	0.365	0.0122	0.816	-0.783	0.257	1.84	4448.0	0.21	1.0
theta_pr[1,57]	-0.118	0.016	0.898	-1.18	-0.361	1.64	3148.0	0.149	1.0
theta_pr[1,58]	-1.2	0.0045	0.165	-1.47	-1.19	-0.928	1348.0	0.0637	1.0
theta_pr[1,59]	1.73	0.00922	0.585	0.838	1.68	2.76	4022.0	0.19	1.0
theta_pr[1,60]	0.39	0.00648	0.41	-0.215	0.355	1.12	3997.0	0.189	1.0
theta_pr[1,61]	-0.779	0.0164	0.679	-1.36	-0.986	0.826	1720.0	0.0813	1.0
theta_pr[1,62]	-0.447	0.00686	0.386	-0.909	-0.512	0.233	3161.0	0.149	1.0
theta_pr[1,63]	0.139	0.0188	1.03	-1.2	-0.0188	2.0	3022.0	0.143	1.0
theta_pr[1,64]	1.26	0.00955	0.773	0.0311	1.23	2.59	6552.0	0.31	1.0
