subject	session	block	trial	exposure	valence	action	robot	correct	choice	rt	accuracy	sham	outcome	Y_hat	Y_pred	waic
09byk3dg92is9b06rwaybmoh	3	1	3	1	1	go	GW	1	1	0.776	1	0.0	1	0.4735	0.4715245876124943	-0.7568945471679343
09byk3dg92is9b06rwaybmoh	3	1	7	2	1	go	GW	1	0		0	0.0	0	0.6143	0.3839899350918509	-0.9705540332579983
09byk3dg92is9b06rwaybmoh	3	1	9	3	1	go	GW	1	1	1.079	1	0.0	1	0.6487	0.6423905658480938	-0.44798110427295573
09byk3dg92is9b06rwaybmoh	3	1	15	4	1	go	GW	1	1	0.907	1	0.0	1	0.7388	0.7476709939460847	-0.29607728631251534
09byk3dg92is9b06rwaybmoh	3	1	18	5	1	go	GW	1	1	0.865	1	0.0	1	0.819	0.8201162189704843	-0.2025586696640213
09byk3dg92is9b06rwaybmoh	3	1	24	6	1	go	GW	1	0		0	0.0	0	0.8678	0.1311471574871061	-2.1774992966075404
09byk3dg92is9b06rwaybmoh	3	1	26	7	1	go	GW	1	1	0.928	1	0.0	1	0.88	0.8801457589487455	-0.1306256402204201
09byk3dg92is9b06rwaybmoh	3	1	31	8	1	go	GW	1	1	0.566	1	1.0	0	0.9124	0.9103858860966713	-0.09604688875986199
09byk3dg92is9b06rwaybmoh	3	1	34	9	1	go	GW	1	1	0.893	1	0.0	1	0.9035	0.8968657086428012	-0.11139196072425742
09byk3dg92is9b06rwaybmoh	3	1	38	10	1	go	GW	1	1	1.156	1	0.0	1	0.9241	0.9218828889075587	-0.08325270395843887
09byk3dg92is9b06rwaybmoh	3	1	43	11	1	go	GW	1	1	0.743	1	0.0	1	0.9403	0.9389536701227543	-0.06448157642251218
09byk3dg92is9b06rwaybmoh	3	1	48	12	1	go	GW	1	1	0.89	1	0.0	1	0.9528	0.9508562138597364	-0.05160551105856239
09byk3dg92is9b06rwaybmoh	3	2	154	1	0	no-go	NGAL	0	0		1	0.0	1	0.4709	0.5284754123875057	-0.6418343051137007
09byk3dg92is9b06rwaybmoh	3	2	158	2	0	no-go	NGAL	0	0		1	0.0	1	0.4451	0.556958317060733	-0.5890020147861457
09byk3dg92is9b06rwaybmoh	3	2	162	3	0	no-go	NGAL	0	1	0.929	0	0.0	0	0.4198	0.41578437106555854	-0.8853919244871729
09byk3dg92is9b06rwaybmoh	3	2	165	4	0	no-go	NGAL	0	0		1	1.0	0	0.3916	0.6115939730849208	-0.4962174816743492
09byk3dg92is9b06rwaybmoh	3	2	170	5	0	no-go	NGAL	0	0		1	0.0	1	0.3917	0.6080847593845514	-0.5018010592874564
09byk3dg92is9b06rwaybmoh	3	2	175	6	0	no-go	NGAL	0	1	0.847	0	0.0	0	0.3709	0.3665943398291838	-1.0185436311542075
09byk3dg92is9b06rwaybmoh	3	2	180	7	0	no-go	NGAL	0	1	0.727	0	0.0	0	0.3292	0.3416105245428537	-1.0957198346937116
