subject	session	block	trial	exposure	valence	action	robot	correct	choice	rt	accuracy	sham	outcome	Y_hat	Y_pred	waic
02lqpjp4pevk73p8f7ipewf9	1	2	196	1	0	go	GAL	1	0		0	0.0	0	0.3796	0.6095571722340792	-0.5007952048585673
02lqpjp4pevk73p8f7ipewf9	1	2	198	2	0	go	GAL	1	0		0	0.0	0	0.4688	0.5197771030622087	-0.6647509900718677
02lqpjp4pevk73p8f7ipewf9	1	2	202	3	0	go	GAL	1	1	1.04	1	0.0	1	0.5081	0.5096586474842071	-0.6848563009170819
02lqpjp4pevk73p8f7ipewf9	1	2	207	4	0	go	GAL	1	0		0	0.0	0	0.5871	0.411804343828951	-0.9142591651041594
02lqpjp4pevk73p8f7ipewf9	1	2	209	5	0	go	GAL	1	0		0	0.0	0	0.5991	0.39814874327871747	-0.9481717701768809
02lqpjp4pevk73p8f7ipewf9	1	2	216	6	0	go	GAL	1	0		0	0.0	0	0.602	0.39009654791037285	-0.9693296634017828
02lqpjp4pevk73p8f7ipewf9	1	2	220	7	0	go	GAL	1	0		0	0.0	0	0.6283	0.38471485734552874	-0.9847584839702186
02lqpjp4pevk73p8f7ipewf9	1	2	224	8	0	go	GAL	1	0		0	0.0	0	0.6205	0.3808219453909798	-0.9972701529140876
02lqpjp4pevk73p8f7ipewf9	1	2	228	9	0	go	GAL	1	1	1.076	1	0.0	1	0.6143	0.6221460778863478	-0.48661712904555215
02lqpjp4pevk73p8f7ipewf9	1	2	231	10	0	go	GAL	1	1	0.873	1	1.0	0	0.6593	0.6517341884945348	-0.44024114884773685
02lqpjp4pevk73p8f7ipewf9	1	2	234	11	0	go	GAL	1	1	1.081	1	0.0	1	0.5022	0.5141831890997743	-0.6897114244189394
02lqpjp4pevk73p8f7ipewf9	1	2	238	12	0	go	GAL	1	1	1.177	1	0.0	1	0.6157	0.6158573332574975	-0.49749915751111723
02lqpjp4pevk73p8f7ipewf9	1	2	124	1	0	no-go	NGAL	0	1	1.083	0	1.0	1	0.3898	0.3904428277659207	-0.9547963439015136
02lqpjp4pevk73p8f7ipewf9	1	2	125	2	0	no-go	NGAL	0	1	0.391	0	0.0	0	0.4712	0.46909909840407266	-0.7717906613602121
02lqpjp4pevk73p8f7ipewf9	1	2	130	3	0	no-go	NGAL	0	0		1	0.0	1	0.3389	0.6533815692195485	-0.43113580409128643
02lqpjp4pevk73p8f7ipewf9	1	2	134	4	0	no-go	NGAL	0	0		1	0.0	1	0.2783	0.720824940014709	-0.33322486165267
02lqpjp4pevk73p8f7ipewf9	1	2	137	5	0	no-go	NGAL	0	0		1	0.0	1	0.2504	0.7463580878198758	-0.29751963895423345
02lqpjp4pevk73p8f7ipewf9	1	2	144	6	0	no-go	NGAL	0	0		1	1.0	0	0.2428	0.7588154588829995	-0.28036057211073895
02lqpjp4pevk73p8f7ipewf9	1	2	145	7	0	no-go	NGAL	0	1	0.966	0	1.0	1	0.3923	0.38478350783846854	-0.9736924748274346
02lqpjp4pevk73p8f7ipewf9	1	2	150	8	0	no-go	NGAL	0	0		1	0.0	1	0.4958	0.5060869518891619	-0.7096320905775297
02lqpjp4pevk73p8f7ipewf9	1	1	42	1	0	no-go	NGAL	0	1	1.033	0	0.0	0	0.393	0.3904428277659207	-0.9547963439015136
02lqpjp4pevk73p8f7ipewf9	1	1	48	2	0	no-go	NGAL	0	1	1.142	0	0.0	0	0.3113	0.31747949303090206	-1.1691555708802008
02lqpjp4pevk73p8f7ipewf9	1	1	51	3	0	no-go	NGAL	0	0		1	0.0	1	0.2837	0.7100987000544484	-0.34671075485946035
02lqpjp4pevk73p8f7ipewf9	1	1	55	4	0	no-go	NGAL	0	0		1	0.0	1	0.2235	0.7700856427821128	-0.2656830487627424
02lqpjp4pevk73p8f7ipewf9	1	1	60	5	0	no-go	NGAL	0	0		1	0.0	1	0.2097	0.7919668603544602	-0.2373438110553558
02lqpjp4pevk73p8f7ipewf9	1	1	64	6	0	no-go	NGAL	0	0		1	0.0	1	0.1939	0.8024466793739828	-0.2239787426397368
02lqpjp4pevk73p8f7ipewf9	1	1	68	7	0	no-go	NGAL	0	0		1	0.0	1	0.1901	0.8083602327545555	-0.21653838026733702
02lqpjp4pevk73p8f7ipewf9	1	1	69	8	0	no-go	NGAL	0	0		1	1.0	0	0.1863	0.8120991371022023	-0.2119034896416158
02lqpjp4pevk73p8f7ipewf9	1	1	75	9	0	no-go	NGAL	0	0		1	0.0	1	0.3225	0.6822438414633151	-0.39104184672760467
02lqpjp4pevk73p8f7ipewf9	1	1	77	10	0	no-go	NGAL	0	0		1	1.0	0	0.2355	0.7692403548299952	-0.2659926482539209
02lqpjp4pevk73p8f7ipewf9	1	1	84	11	0	no-go	NGAL	0	0		1	1.0	0	0.3405	0.660844526152081	-0.4217579830665885
02lqpjp4pevk73p8f7ipewf9	1	1	86	12	0	no-go	NGAL	0	1	0.575	0	0.0	0	0.3734	0.37726302226973596	-0.998529669531814
02lqpjp4pevk73p8f7ipewf9	1	1	49	1	1	no-go	NGW	0	1	0.653	0	0.0	0	0.7462	0.7381181508912774	-0.30672401563049423
02lqpjp4pevk73p8f7ipewf9	1	1	56	2	1	no-go	NGW	0	0		1	0.0	1	0.6728	0.32866152028673973	-1.1350821542039906
02lqpjp4pevk73p8f7ipewf9	1	1	57	3	1	no-go	NGW	0	0		1	0.0	1	0.5939	0.4034084447747517	-0.9348652853893333
02lqpjp4pevk73p8f7ipewf9	1	1	62	4	1	no-go	NGW	0	1	0.588	0	0.0	0	0.5608	0.5647976594225118	-0.5859174385682807
02lqpjp4pevk73p8f7ipewf9	1	1	66	5	1	no-go	NGW	0	1	0.438	0	0.0	0	0.5248	0.5324603789010216	-0.6484025922493951
02lqpjp4pevk73p8f7ipewf9	1	1	71	6	1	no-go	NGW	0	1	0.472	0	0.0	0	0.5167	0.5160194904682155	-0.6814480271862523
02lqpjp4pevk73p8f7ipewf9	1	1	73	7	1	no-go	NGW	0	1	0.703	0	1.0	1	0.5107	0.5063556822583675	-0.701567060781571
02lqpjp4pevk73p8f7ipewf9	1	1	79	8	1	no-go	NGW	0	1	1.09	0	0.0	0	0.634	0.6331231551597976	-0.4684777090521939
02lqpjp4pevk73p8f7ipewf9	1	1	82	9	1	no-go	NGW	0	1	0.809	0	0.0	0	0.5544	0.5520445748372693	-0.6076410892532582
02lqpjp4pevk73p8f7ipewf9	1	1	88	10	1	no-go	NGW	0	1	0.492	0	1.0	1	0.5206	0.521109850414135	-0.6692470458756574
02lqpjp4pevk73p8f7ipewf9	1	2	211	1	0	go	GAL	1	0		0	1.0	1	0.3981	0.6095571722340792	-0.5007952048585673
02lqpjp4pevk73p8f7ipewf9	1	2	213	2	0	go	GAL	1	0		0	1.0	1	0.32	0.6825205069690978	-0.38666590130302053
02lqpjp4pevk73p8f7ipewf9	1	2	218	3	0	go	GAL	1	0		0	0.0	0	0.291	0.7100987000544484	-0.34671075485946035
02lqpjp4pevk73p8f7ipewf9	1	2	221	4	0	go	GAL	1	1	0.349	1	1.0	0	0.4459	0.43917665372066256	-0.8437612509481593
02lqpjp4pevk73p8f7ipewf9	1	2	226	5	0	go	GAL	1	1	0.917	1	0.0	1	0.3474	0.36211257454994494	-1.0351143448026519
02lqpjp4pevk73p8f7ipewf9	1	2	232	6	0	go	GAL	1	1	0.856	1	0.0	1	0.4885	0.48605180901254297	-0.7522472383041648
02lqpjp4pevk73p8f7ipewf9	1	2	235	7	0	go	GAL	1	1	0.607	1	0.0	1	0.5318	0.534330473251103	-0.6524533884964259
02lqpjp4pevk73p8f7ipewf9	1	2	237	8	0	go	GAL	1	1	0.756	1	0.0	1	0.5521	0.5574138263849517	-0.6049296130486093
02lqpjp4pevk73p8f7ipewf9	1	1	35	1	1	go	GW	1	1	0.46	1	0.0	1	0.7391	0.7381181508912774	-0.30672401563049423
02lqpjp4pevk73p8f7ipewf9	1	1	38	2	1	go	GW	1	1	0.576	1	0.0	1	0.7916	0.7871524185193882	-0.24180270761262432
02lqpjp4pevk73p8f7ipewf9	1	1	44	3	1	go	GW	1	1	0.837	1	0.0	1	0.8058	0.8071347753906992	-0.2165499614554312
02lqpjp4pevk73p8f7ipewf9	1	1	45	4	1	go	GW	1	1	0.807	1	0.0	1	0.8153	0.8175394915994939	-0.20362885890542645
02lqpjp4pevk73p8f7ipewf9	1	1	52	5	1	go	GW	1	0		0	1.0	1	0.8301	0.17621843010643534	-1.7831241013679424
02lqpjp4pevk73p8f7ipewf9	1	1	54	6	1	go	GW	1	1	0.763	1	0.0	1	0.7746	0.7728418154425515	-0.26057422669296737
02lqpjp4pevk73p8f7ipewf9	1	1	58	7	1	go	GW	1	0		0	0.0	0	0.7799	0.22226648547802347	-1.5436737150261
02lqpjp4pevk73p8f7ipewf9	1	1	63	8	1	go	GW	1	0		0	0.0	0	0.8534	0.14759101582772993	-1.9806010182462201
02lqpjp4pevk73p8f7ipewf9	1	1	65	9	1	go	GW	1	1	0.612	1	0.0	1	0.8794	0.8746173184264111	-0.1357966626424989
02lqpjp4pevk73p8f7ipewf9	1	1	70	10	1	go	GW	1	1	0.369	1	0.0	1	0.8757	0.8769496183305467	-0.13307967400991783
