name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-2.7e+04,1.08,30.8,-2.71e+04,-2.7e+04,-2.7e+04,812,0.056,1
"accept_stat__",0.919,0.00262,0.105,0.705,0.956,0.998,1.6e+03,0.11,1.01
"stepsize__",0.0288,0.000903,0.00128,0.0272,0.0295,0.0305,2.01,0.000138,1.02e+13
"treedepth__",7,nan,0.0224,7,7,7,nan,nan,nan
"n_leapfrog__",127,nan,5.72,127,127,127,nan,nan,nan
"divergent__",0,nan,0,0,0,0,nan,nan,nan
"energy__",2.75e+04,1.28,37.8,2.74e+04,2.75e+04,2.76e+04,869,0.0599,1
"mu_pr[1,1]",1.64,0.0156,0.181,1.36,1.63,1.95,134,0.00922,1.02
"mu_pr[1,2]",1.66,0.0158,0.181,1.36,1.65,1.96,132,0.00911,1.03
"mu_pr[2,1]",0.0496,0.000589,0.0134,0.0275,0.0496,0.0716,517,0.0356,1.00
"mu_pr[2,2]",0.0543,0.000561,0.0135,0.0321,0.0540,0.0764,582,0.0401,1.00
"mu_pr[3,1]",0.0602,0.000542,0.0163,0.0334,0.0599,0.0875,905,0.0624,1.00
"mu_pr[3,2]",0.0486,0.000558,0.0166,0.0215,0.0484,0.0763,885,0.0610,1.00
"mu_pr[4,1]",-0.629,0.00715,0.0993,-0.791,-0.625,-0.472,193,0.0133,1.03
"mu_pr[4,2]",-0.628,0.00628,0.0960,-0.788,-0.628,-0.475,234,0.0161,1.03
"mu_pr[5,1]",0.298,0.00205,0.0544,0.209,0.297,0.388,706,0.0487,1.01
"mu_pr[5,2]",0.285,0.00198,0.0540,0.197,0.284,0.374,745,0.0514,1.01
"theta_c_pr[1,1]",0.236,0.0512,1.07,-1.17,0.109,2.14,438,0.0302,1.02
"theta_c_pr[1,2]",-0.641,0.0126,0.175,-0.920,-0.648,-0.343,193,0.0133,1.01
"theta_c_pr[1,3]",-0.239,0.0159,0.250,-0.564,-0.268,0.166,246,0.0170,1.01
"theta_c_pr[1,4]",-0.148,0.0437,1.00,-1.27,-0.499,1.79,525,0.0362,1.01
"theta_c_pr[1,5]",-0.571,0.0142,0.217,-0.885,-0.586,-0.220,232,0.0160,1.01
"theta_c_pr[1,6]",-0.532,0.0120,0.170,-0.806,-0.539,-0.247,203,0.0140,1.01
"theta_c_pr[1,7]",-0.337,0.0117,0.297,-0.756,-0.365,0.165,642,0.0443,1.00
"theta_c_pr[1,8]",0.700,0.0145,0.570,-0.0837,0.613,1.78,1550,0.107,1.00
"theta_c_pr[1,9]",0.969,0.0127,0.437,0.332,0.931,1.76,1177,0.0812,1.00
"theta_c_pr[1,10]",-0.328,0.0130,0.172,-0.606,-0.331,-0.0420,176,0.0121,1.01
"theta_c_pr[1,11]",1.72,0.0127,0.554,0.860,1.69,2.68,1890,0.130,1.00
"theta_c_pr[1,12]",-0.795,0.0125,0.178,-1.07,-0.803,-0.491,202,0.0139,1.01
"theta_c_pr[1,13]",-1.17,0.0138,0.163,-1.43,-1.17,-0.900,140,0.00968,1.01
"theta_c_pr[1,14]",1.18,0.0128,0.519,0.369,1.16,2.08,1639,0.113,1.00
"theta_c_pr[1,15]",-1.11,0.0139,0.162,-1.37,-1.11,-0.841,137,0.00944,1.01
"theta_c_pr[1,16]",0.808,0.0201,0.646,-0.132,0.738,2.01,1037,0.0715,1.00
"theta_c_pr[1,17]",0.00840,0.0284,0.810,-0.922,-0.238,1.64,814,0.0561,1.00
"theta_c_pr[1,18]",-0.408,0.0135,0.369,-0.851,-0.471,0.255,753,0.0519,1.00
"theta_c_pr[1,19]",-0.166,0.0141,0.437,-0.679,-0.253,0.670,964,0.0665,1.00
"theta_c_pr[1,20]",0.933,0.0117,0.447,0.267,0.891,1.74,1465,0.101,1.00
"theta_c_pr[1,21]",-0.949,0.0138,0.177,-1.22,-0.956,-0.651,163,0.0113,1.01
"theta_c_pr[1,22]",-0.756,0.0125,0.181,-1.04,-0.766,-0.441,209,0.0144,1.01
"theta_c_pr[1,23]",0.0174,0.0257,0.543,-0.611,-0.120,1.07,447,0.0309,1.00
"theta_c_pr[1,24]",1.22,0.0147,0.637,0.310,1.16,2.37,1872,0.129,1.00
"theta_c_pr[1,25]",-0.739,0.0123,0.169,-1.00,-0.743,-0.456,189,0.0130,1.01
"theta_c_pr[1,26]",0.760,0.0103,0.431,0.134,0.714,1.54,1739,0.120,1.00
"theta_c_pr[1,27]",-0.523,0.0630,1.02,-1.38,-0.980,1.76,260,0.0180,1.02
"theta_c_pr[1,28]",-0.321,0.0864,1.14,-1.26,-0.846,2.21,175,0.0121,1.02
"theta_c_pr[1,29]",-0.934,0.0134,0.151,-1.18,-0.937,-0.685,126,0.00871,1.01
"theta_c_pr[1,30]",-0.586,0.0149,0.220,-0.909,-0.603,-0.230,217,0.0150,1.01
"theta_c_pr[1,31]",0.720,0.0136,0.542,-0.0260,0.643,1.71,1589,0.110,1.00
"theta_c_pr[1,32]",-0.0918,0.0113,0.265,-0.473,-0.116,0.364,549,0.0378,1.00
"theta_c_pr[1,33]",-0.535,0.0119,0.188,-0.832,-0.542,-0.212,249,0.0172,1.01
"theta_c_pr[1,34]",1.15,0.0107,0.473,0.448,1.12,2.01,1952,0.135,1.00
"theta_c_pr[1,35]",0.652,0.0144,0.477,-0.00933,0.588,1.52,1091,0.0752,1.00
"theta_c_pr[1,36]",0.205,0.0115,0.409,-0.337,0.137,0.973,1273,0.0878,1.00
"theta_c_pr[1,37]",0.151,0.00979,0.403,-0.381,0.0879,0.903,1693,0.117,1.00
"theta_c_pr[1,38]",1.59,0.0134,0.479,0.842,1.56,2.43,1280,0.0883,1.00
"theta_c_pr[1,39]",-0.479,0.0132,0.154,-0.731,-0.480,-0.227,136,0.00935,1.02
"theta_c_pr[1,40]",0.594,0.0297,0.895,-0.614,0.464,2.20,905,0.0624,1.00
"theta_c_pr[1,41]",0.0566,0.0140,0.373,-0.420,-0.0109,0.750,714,0.0493,1.00
"theta_c_pr[1,42]",-1.06,0.0138,0.158,-1.31,-1.06,-0.801,130,0.00894,1.01
"theta_c_pr[1,43]",1.21,0.0136,0.650,0.215,1.16,2.37,2289,0.158,1.00
"theta_c_pr[1,44]",0.202,0.0212,0.724,-0.705,0.0459,1.64,1160,0.0800,1.01
"theta_c_pr[1,45]",-0.636,0.0169,0.250,-0.947,-0.670,-0.256,217,0.0150,1.01
"theta_c_pr[1,46]",-0.639,0.0137,0.246,-0.972,-0.668,-0.221,320,0.0221,1.01
"theta_c_pr[1,47]",-0.327,0.0161,0.375,-0.766,-0.398,0.391,543,0.0374,1.01
"theta_c_pr[1,48]",0.0222,0.0114,0.201,-0.292,0.0188,0.357,310,0.0213,1.01
"theta_c_pr[1,49]",-1.21,0.0139,0.177,-1.49,-1.22,-0.931,163,0.0112,1.01
"theta_c_pr[1,50]",-0.822,0.0198,0.385,-1.22,-0.894,-0.212,379,0.0261,1.01
"theta_c_pr[1,51]",1.96,0.0143,0.535,1.14,1.93,2.90,1404,0.0968,1.01
"theta_c_pr[1,52]",-0.329,0.0207,0.611,-1.04,-0.484,0.896,877,0.0604,1.00
"theta_c_pr[1,53]",-0.289,0.0281,0.617,-0.912,-0.461,1.04,482,0.0332,1.01
"theta_c_pr[1,54]",-1.06,0.0135,0.155,-1.33,-1.07,-0.808,132,0.00913,1.01
"theta_c_pr[1,55]",2.04,0.0169,0.542,1.24,2.00,2.98,1023,0.0705,1.00
"theta_c_pr[1,56]",0.282,0.0127,0.277,-0.130,0.258,0.764,472,0.0326,1.01
"theta_c_pr[1,57]",-0.940,0.0195,0.243,-1.24,-0.965,-0.613,155,0.0107,1.02
"theta_c_pr[1,58]",-0.587,0.0126,0.237,-0.928,-0.615,-0.160,353,0.0244,1.01
"theta_c_pr[1,59]",0.317,0.0368,0.793,-0.978,0.303,1.65,463,0.0319,1.00
"theta_c_pr[1,60]",-0.430,0.0113,0.165,-0.694,-0.433,-0.154,214,0.0148,1.01
"theta_c_pr[1,61]",-0.218,0.0121,0.227,-0.550,-0.233,0.168,353,0.0243,1.01
"theta_c_pr[1,62]",-0.653,0.0126,0.146,-0.894,-0.653,-0.409,135,0.00934,1.01
"theta_c_pr[1,63]",1.71,0.0133,0.531,0.899,1.67,2.66,1593,0.110,1.00
"theta_c_pr[1,64]",0.609,0.0131,0.453,-0.0383,0.563,1.43,1201,0.0828,1.00
