subject,session,block,runsheet,trial,exposure,valence,action,robot,stimulus,rune,rune_set,correct,choice,rt,accuracy,sham,outcome,total_keys,congruence
09byk3dg92is9b06rwaybmoh,3,1,3b,3,1,1,go,GW,26,A,elianto,1,1,0.7759999999999999,1,0.0,1,1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,7,2,1,go,GW,26,A,elianto,1,0,,0,0.0,0,0,1
09byk3dg92is9b06rwaybmoh,3,1,3b,9,3,1,go,GW,26,A,elianto,1,1,1.079,1,0.0,1,1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,15,4,1,go,GW,26,A,elianto,1,1,0.907,1,0.0,1,1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,18,5,1,go,GW,26,A,elianto,1,1,0.865,1,0.0,1,1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,24,6,1,go,GW,26,A,elianto,1,0,,0,0.0,0,1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,26,7,1,go,GW,26,A,elianto,1,1,0.9279999999999999,1,0.0,1,1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,31,8,1,go,GW,26,A,elianto,1,1,0.5660000000000001,1,1.0,0,1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,34,9,1,go,GW,26,A,elianto,1,1,0.893,1,0.0,1,1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,38,10,1,go,GW,26,A,elianto,1,1,1.156,1,0.0,1,1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,43,11,1,go,GW,26,A,elianto,1,1,0.743,1,0.0,1,1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,48,12,1,go,GW,26,A,elianto,1,1,0.89,1,0.0,1,1,1
09byk3dg92is9b06rwaybmoh,3,2,3a,154,1,0,no-go,NGAL,27,B,elianto,0,0,,1,0.0,1,0,1
09byk3dg92is9b06rwaybmoh,3,2,3a,158,2,0,no-go,NGAL,27,B,elianto,0,0,,1,0.0,1,0,1
09byk3dg92is9b06rwaybmoh,3,2,3a,162,3,0,no-go,NGAL,27,B,elianto,0,1,0.929,0,0.0,0,1,1
09byk3dg92is9b06rwaybmoh,3,2,3a,165,4,0,no-go,NGAL,27,B,elianto,0,0,,1,1.0,0,0,1
09byk3dg92is9b06rwaybmoh,3,2,3a,170,5,0,no-go,NGAL,27,B,elianto,0,0,,1,0.0,1,0,1
09byk3dg92is9b06rwaybmoh,3,2,3a,175,6,0,no-go,NGAL,27,B,elianto,0,1,0.847,0,0.0,0,1,1
09byk3dg92is9b06rwaybmoh,3,2,3a,180,7,0,no-go,NGAL,27,B,elianto,0,1,0.727,0,0.0,0,1,1
09byk3dg92is9b06rwaybmoh,3,2,3a,182,8,0,no-go,NGAL,27,B,elianto,0,0,,1,0.0,1,0,1
09byk3dg92is9b06rwaybmoh,3,2,3a,186,9,0,no-go,NGAL,27,B,elianto,0,0,,1,0.0,1,0,1
09byk3dg92is9b06rwaybmoh,3,2,3a,189,10,0,no-go,NGAL,27,B,elianto,0,0,,1,0.0,1,0,1
09byk3dg92is9b06rwaybmoh,3,2,3a,163,1,1,no-go,NGW,28,C,elianto,0,0,,1,0.0,1,0,0
09byk3dg92is9b06rwaybmoh,3,2,3a,167,2,1,no-go,NGW,28,C,elianto,0,1,0.82,0,0.0,0,1,0
09byk3dg92is9b06rwaybmoh,3,2,3a,169,3,1,no-go,NGW,28,C,elianto,0,1,0.728,0,1.0,1,1,0
09byk3dg92is9b06rwaybmoh,3,2,3a,173,4,1,no-go,NGW,28,C,elianto,0,1,0.8859999999999999,0,1.0,1,1,0
09byk3dg92is9b06rwaybmoh,3,2,3a,179,5,1,no-go,NGW,28,C,elianto,0,1,0.722,0,0.0,0,1,0
09byk3dg92is9b06rwaybmoh,3,2,3a,181,6,1,no-go,NGW,28,C,elianto,0,1,0.6579999999999999,0,0.0,0,1,0
09byk3dg92is9b06rwaybmoh,3,2,3a,188,7,1,no-go,NGW,28,C,elianto,0,0,,1,0.0,1,0,0
09byk3dg92is9b06rwaybmoh,3,2,3a,191,8,1,no-go,NGW,28,C,elianto,0,0,,1,0.0,1,0,0
09byk3dg92is9b06rwaybmoh,3,2,3a,196,9,1,no-go,NGW,28,C,elianto,0,0,,1,0.0,1,0,0
09byk3dg92is9b06rwaybmoh,3,2,3a,198,10,1,no-go,NGW,28,C,elianto,0,1,1.1159999999999999,0,0.0,0,1,0
09byk3dg92is9b06rwaybmoh,3,2,3a,201,11,1,no-go,NGW,28,C,elianto,0,1,0.998,0,1.0,1,1,0
09byk3dg92is9b06rwaybmoh,3,2,3a,205,12,1,no-go,NGW,28,C,elianto,0,1,0.46,0,1.0,1,1,0
09byk3dg92is9b06rwaybmoh,3,1,3b,83,1,1,go,GW,29,D,elianto,1,1,0.996,1,1.0,0,1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,88,2,1,go,GW,29,D,elianto,1,0,,0,0.0,0,0,1
09byk3dg92is9b06rwaybmoh,3,1,3b,92,3,1,go,GW,29,D,elianto,1,0,,0,0.0,0,0,1
09byk3dg92is9b06rwaybmoh,3,1,3b,95,4,1,go,GW,29,D,elianto,1,0,,0,0.0,0,0,1
09byk3dg92is9b06rwaybmoh,3,1,3b,100,5,1,go,GW,29,D,elianto,1,1,1.0090000000000001,1,0.0,1,1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,101,6,1,go,GW,29,D,elianto,1,1,0.6709999999999999,1,0.0,1,1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,108,7,1,go,GW,29,D,elianto,1,1,0.941,1,0.0,1,1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,109,8,1,go,GW,29,D,elianto,1,1,0.593,1,0.0,1,1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,115,9,1,go,GW,29,D,elianto,1,1,0.929,1,0.0,1,1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,119,10,1,go,GW,29,D,elianto,1,1,0.887,1,0.0,1,1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,51,1,0,no-go,NGAL,30,E,elianto,0,1,1.284,0,0.0,0,1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,55,2,0,no-go,NGAL,30,E,elianto,0,1,1.101,0,0.0,0,1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,60,3,0,no-go,NGAL,30,E,elianto,0,0,,1,0.0,1,0,1
09byk3dg92is9b06rwaybmoh,3,1,3b,61,4,0,no-go,NGAL,30,E,elianto,0,0,,1,0.0,1,0,1
09byk3dg92is9b06rwaybmoh,3,1,3b,68,5,0,no-go,NGAL,30,E,elianto,0,0,,1,0.0,1,0,1
