subject	session	block	trial	exposure	valence	action	robot	correct	choice	rt	accuracy	sham	outcome	Y_hat	Y_pred	waic
02lqpjp4pevk73p8f7ipewf9	1	2	196	1	0	go	GAL	1	0		0	0.0	0	0.578	0.42214302849466956	0.2716729544317482
02lqpjp4pevk73p8f7ipewf9	1	2	198	2	0	go	GAL	1	0		0	0.0	0	0.5828	0.4174775165719312	0.26799869112730057
02lqpjp4pevk73p8f7ipewf9	1	2	202	3	0	go	GAL	1	1	1.04	1	0.0	1	0.587	0.5861132424437917	0.3830812794702311
02lqpjp4pevk73p8f7ipewf9	1	2	207	4	0	go	GAL	1	0		0	0.0	0	0.5794	0.4237429063505706	0.27170362177505736
02lqpjp4pevk73p8f7ipewf9	1	2	209	5	0	go	GAL	1	0		0	0.0	0	0.5778	0.4199887056168297	0.2687461002571844
02lqpjp4pevk73p8f7ipewf9	1	2	216	6	0	go	GAL	1	0		0	0.0	0	0.5861	0.41699070116467274	0.2663545467444115
02lqpjp4pevk73p8f7ipewf9	1	2	220	7	0	go	GAL	1	0		0	0.0	0	0.5844	0.4145319339045267	0.2643756608109267
02lqpjp4pevk73p8f7ipewf9	1	2	224	8	0	go	GAL	1	0		0	0.0	0	0.5874	0.4124722898113664	0.2627059468178901
02lqpjp4pevk73p8f7ipewf9	1	2	228	9	0	go	GAL	1	1	1.0759999999999998	1	0.0	1	0.59	0.5892832471358332	0.38342693583502246
02lqpjp4pevk73p8f7ipewf9	1	2	231	10	0	go	GAL	1	1	0.873	1	1.0	0	0.5836	0.5823928008086174	0.37844594573380363
02lqpjp4pevk73p8f7ipewf9	1	2	234	11	0	go	GAL	1	1	1.081	1	0.0	1	0.5818	0.579722171374056	0.4200884568844138
02lqpjp4pevk73p8f7ipewf9	1	2	238	12	0	go	GAL	1	1	1.177	1	0.0	1	0.5715	0.5735498002793958	0.3739185995527246
02lqpjp4pevk73p8f7ipewf9	1	2	124	1	0	no-go	NGAL	0	1	1.083	0	1.0	1	0.6251	0.6214112762528139	0.40845932129253043
02lqpjp4pevk73p8f7ipewf9	1	2	125	2	0	no-go	NGAL	0	1	0.391	0	0.0	0	0.6091	0.6114216700914679	0.40053062823168417
02lqpjp4pevk73p8f7ipewf9	1	2	130	3	0	no-go	NGAL	0	0		1	0.0	1	0.6084	0.3897521709272717	0.287959179424588
02lqpjp4pevk73p8f7ipewf9	1	2	134	4	0	no-go	NGAL	0	0		1	0.0	1	0.6178	0.379370938717489	0.24971917617982267
02lqpjp4pevk73p8f7ipewf9	1	2	137	5	0	no-go	NGAL	0	0		1	0.0	1	0.6165	0.382710035179864	0.24788184888640083
02lqpjp4pevk73p8f7ipewf9	1	2	144	6	0	no-go	NGAL	0	0		1	1.0	0	0.6123	0.3848926468116356	0.24781494604471327
02lqpjp4pevk73p8f7ipewf9	1	2	145	7	0	no-go	NGAL	0	1	0.966	0	1.0	1	0.6247	0.6294107306345667	0.47453808630282357
02lqpjp4pevk73p8f7ipewf9	1	2	150	8	0	no-go	NGAL	0	0		1	0.0	1	0.6171	0.38234246307557435	0.2487078627022723
02lqpjp4pevk73p8f7ipewf9	1	1	42	1	0	no-go	NGAL	0	1	1.033	0	0.0	0	0.6492	0.6441380471120095	0.48026499245786364
02lqpjp4pevk73p8f7ipewf9	1	1	48	2	0	no-go	NGAL	0	1	1.142	0	0.0	0	0.6294	0.6300960058174464	0.4706223602977679
02lqpjp4pevk73p8f7ipewf9	1	1	51	3	0	no-go	NGAL	0	0		1	0.0	1	0.6223	0.3811956161949973	0.2910638199734938
02lqpjp4pevk73p8f7ipewf9	1	1	55	4	0	no-go	NGAL	0	0		1	0.0	1	0.6091	0.39173967977593793	0.2506011988719768
02lqpjp4pevk73p8f7ipewf9	1	1	60	5	0	no-go	NGAL	0	0		1	0.0	1	0.6019	0.39457452967307616	0.25097735693932904
02lqpjp4pevk73p8f7ipewf9	1	1	64	6	0	no-go	NGAL	0	0		1	0.0	1	0.6001	0.39616472220805427	0.251287665060074
02lqpjp4pevk73p8f7ipewf9	1	1	68	7	0	no-go	NGAL	0	0		1	0.0	1	0.6022	0.3969245219530534	0.25134604758865137
02lqpjp4pevk73p8f7ipewf9	1	1	69	8	0	no-go	NGAL	0	0		1	1.0	0	0.5998	0.39727048912754676	0.251246494488677
02lqpjp4pevk73p8f7ipewf9	1	1	75	9	0	no-go	NGAL	0	0		1	0.0	1	0.6092	0.3884741216291326	0.28327455398943013
02lqpjp4pevk73p8f7ipewf9	1	1	77	10	0	no-go	NGAL	0	0		1	1.0	0	0.6123	0.3921658922462687	0.2487037734647698
02lqpjp4pevk73p8f7ipewf9	1	1	84	11	0	no-go	NGAL	0	0		1	1.0	0	0.6169	0.3835010068334325	0.28156712659432004
02lqpjp4pevk73p8f7ipewf9	1	1	86	12	0	no-go	NGAL	0	1	0.575	0	0.0	0	0.6202	0.6264258896278655	0.4664322613770946
02lqpjp4pevk73p8f7ipewf9	1	1	49	1	1	no-go	NGW	0	1	0.653	0	0.0	0	0.379	0.3816479493353557	0.24722740044999753
02lqpjp4pevk73p8f7ipewf9	1	1	56	2	1	no-go	NGW	0	0		1	0.0	1	0.3721	0.6286690216780767	0.4656370365314369
02lqpjp4pevk73p8f7ipewf9	1	1	57	3	1	no-go	NGW	0	0		1	0.0	1	0.3882	0.6149384230989529	0.4081914379185154
02lqpjp4pevk73p8f7ipewf9	1	1	62	4	1	no-go	NGW	0	1	0.588	0	0.0	0	0.3979	0.3968113375945683	0.25631271785496085
02lqpjp4pevk73p8f7ipewf9	1	1	66	5	1	no-go	NGW	0	1	0.4379999999999999	0	0.0	0	0.3967	0.39741245383596363	0.25521567994620614
02lqpjp4pevk73p8f7ipewf9	1	1	71	6	1	no-go	NGW	0	1	0.472	0	0.0	0	0.3956	0.39733724493997274	0.2544104914212121
02lqpjp4pevk73p8f7ipewf9	1	1	73	7	1	no-go	NGW	0	1	0.703	0	1.0	1	0.3974	0.39701242923948055	0.2536878354981582
02lqpjp4pevk73p8f7ipewf9	1	1	79	8	1	no-go	NGW	0	1	1.09	0	0.0	0	0.385	0.38905479341437915	0.2888356546506348
02lqpjp4pevk73p8f7ipewf9	1	1	82	9	1	no-go	NGW	0	1	0.809	0	0.0	0	0.3947	0.3904639212308847	0.250362374911639
02lqpjp4pevk73p8f7ipewf9	1	1	88	10	1	no-go	NGW	0	1	0.492	0	1.0	1	0.3955	0.3915549113074864	0.24989443914610654
02lqpjp4pevk73p8f7ipewf9	1	2	211	1	0	go	GAL	1	0		0	1.0	1	0.5611	0.43632587244695353	0.2826203941445228
02lqpjp4pevk73p8f7ipewf9	1	2	213	2	0	go	GAL	1	0		0	1.0	1	0.574	0.42336555845559504	0.31275324070174104
02lqpjp4pevk73p8f7ipewf9	1	2	218	3	0	go	GAL	1	0		0	0.0	0	0.5972	0.41174130936890624	0.3147225183637129
02lqpjp4pevk73p8f7ipewf9	1	2	221	4	0	go	GAL	1	1	0.349	1	1.0	0	0.5884	0.5889724073460294	0.3879352392731235
02lqpjp4pevk73p8f7ipewf9	1	2	226	5	0	go	GAL	1	1	0.917	1	0.0	1	0.5908	0.5877802923380534	0.44651042270261304
02lqpjp4pevk73p8f7ipewf9	1	2	232	6	0	go	GAL	1	1	0.856	1	0.0	1	0.5785	0.575807201156382	0.3829561598731147
02lqpjp4pevk73p8f7ipewf9	1	2	235	7	0	go	GAL	1	1	0.607	1	0.0	1	0.5634	0.5619895978760782	0.37205115282836154
02lqpjp4pevk73p8f7ipewf9	1	2	237	8	0	go	GAL	1	1	0.7559999999999999	1	0.0	1	0.5415	0.5463640721700168	0.3613818909843311
02lqpjp4pevk73p8f7ipewf9	1	1	35	1	1	go	GW	1	1	0.46	1	0.0	1	0.392	0.39451481596207494	0.2509678585052263
02lqpjp4pevk73p8f7ipewf9	1	1	38	2	1	go	GW	1	1	0.5760000000000001	1	0.0	1	0.3987	0.393280760237717	0.24990919841990386
02lqpjp4pevk73p8f7ipewf9	1	1	44	3	1	go	GW	1	1	0.8370000000000001	1	0.0	1	0.3886	0.39219093034901353	0.24897041931480163
02lqpjp4pevk73p8f7ipewf9	1	1	45	4	1	go	GW	1	1	0.807	1	0.0	1	0.3929	0.39121734333185826	0.24812874075236188
02lqpjp4pevk73p8f7ipewf9	1	1	52	5	1	go	GW	1	0		0	1.0	1	0.387	0.6096609105262271	0.3974605755790329
02lqpjp4pevk73p8f7ipewf9	1	1	54	6	1	go	GW	1	1	0.763	1	0.0	1	0.3834	0.3898663621291225	0.28543626776474956
02lqpjp4pevk73p8f7ipewf9	1	1	58	7	1	go	GW	1	0		0	0.0	0	0.3966	0.6110140820721776	0.44299758498775976
02lqpjp4pevk73p8f7ipewf9	1	1	63	8	1	go	GW	1	0		0	0.0	0	0.3991	0.5983665035449304	0.3903323595141926
02lqpjp4pevk73p8f7ipewf9	1	1	65	9	1	go	GW	1	1	0.612	1	0.0	1	0.4088	0.40958890261644054	0.26021766345207603
02lqpjp4pevk73p8f7ipewf9	1	1	70	10	1	go	GW	1	1	0.369	1	0.0	1	0.4064	0.4085028093572663	0.2592966932594555
02lqpjp4pevk73p8f7ipewf9	1	1	76	11	1	go	GW	1	1	0.76	1	0.0	1	0.4088	0.4075290813971483	0.25846687058395784
02lqpjp4pevk73p8f7ipewf9	1	1	78	12	1	go	GW	1	1	0.575	1	0.0	1	0.4106	0.40664895185476735	0.25771330184798447
02lqpjp4pevk73p8f7ipewf9	1	1	74	1	0	go	GAL	1	0		0	0.0	0	0.4244	0.5756619937057101	0.4190940044948914
02lqpjp4pevk73p8f7ipewf9	1	1	80	2	0	go	GAL	1	1	0.727	1	1.0	0	0.4324	0.4349032895178141	0.31925459479163326
02lqpjp4pevk73p8f7ipewf9	1	1	83	3	0	go	GAL	1	0		0	0.0	0	0.4238	0.5769688962191167	0.4313859968923806
02lqpjp4pevk73p8f7ipewf9	1	1	85	4	0	go	GAL	1	1	0.7040000000000001	1	0.0	1	0.4355	0.43374447134098293	0.32863204509159977
02lqpjp4pevk73p8f7ipewf9	1	1	89	5	0	go	GAL	1	1	0.976	1	0.0	1	0.4343	0.4324868448901364	0.2796562377254371
02lqpjp4pevk73p8f7ipewf9	1	1	94	6	0	go	GAL	1	1	0.978	1	0.0	1	0.4322	0.4298166663091442	0.2760808601299858
02lqpjp4pevk73p8f7ipewf9	1	1	100	7	0	go	GAL	1	0		0	0.0	0	0.4272	0.5723180438770138	0.37234349246739246
02lqpjp4pevk73p8f7ipewf9	1	1	104	8	0	go	GAL	1	1	0.777	1	0.0	1	0.4348	0.43440803177277737	0.2785930866059564
02lqpjp4pevk73p8f7ipewf9	1	1	106	9	0	go	GAL	1	1	0.773	1	0.0	1	0.4341	0.4318283050863354	0.27612658881407387
02lqpjp4pevk73p8f7ipewf9	1	1	112	10	0	go	GAL	1	1	0.685	1	1.0	0	0.4278	0.4297211891711663	0.27414598989868094
02lqpjp4pevk73p8f7ipewf9	1	1	113	11	0	go	GAL	1	0		0	0.0	0	0.4213	0.5766813321842144	0.4174530683652904
02lqpjp4pevk73p8f7ipewf9	1	1	119	12	0	go	GAL	1	0		0	0.0	0	0.4233	0.571294134652601	0.4137272637248326
02lqpjp4pevk73p8f7ipewf9	1	1	3	1	1	no-go	NGW	0	1	1.113	0	0.0	0	0.5517	0.554701500360181	0.4049834378709984
02lqpjp4pevk73p8f7ipewf9	1	1	6	2	1	no-go	NGW	0	1	1.138	0	0.0	0	0.541	0.5376335710188453	0.39330567651080683
02lqpjp4pevk73p8f7ipewf9	1	1	11	3	1	no-go	NGW	0	0		1	1.0	0	0.5202	0.48427666439826317	0.35520433906752236
02lqpjp4pevk73p8f7ipewf9	1	1	14	4	1	no-go	NGW	0	1	1.07	0	0.0	0	0.5331	0.5387305997611846	0.40512779922643527
02lqpjp4pevk73p8f7ipewf9	1	1	18	5	1	no-go	NGW	0	0		1	0.0	1	0.5188	0.48333550045552226	0.3649993185367291
02lqpjp4pevk73p8f7ipewf9	1	1	21	6	1	no-go	NGW	0	0		1	0.0	1	0.533	0.46781413030036767	0.30513716346076064
02lqpjp4pevk73p8f7ipewf9	1	1	27	7	1	no-go	NGW	0	1	0.392	0	0.0	0	0.539	0.5429596289898424	0.35452171052073805
02lqpjp4pevk73p8f7ipewf9	1	1	30	8	1	no-go	NGW	0	1	0.731	0	0.0	0	0.5297	0.528513177318575	0.3450085148301032
02lqpjp4pevk73p8f7ipewf9	1	1	33	9	1	no-go	NGW	0	0		1	0.0	1	0.5079	0.4893582378657125	0.3180517112287498
02lqpjp4pevk73p8f7ipewf9	1	1	40	10	1	no-go	NGW	0	0		1	0.0	1	0.529	0.4745038928054666	0.30753864020070903
02lqpjp4pevk73p8f7ipewf9	1	1	41	11	1	no-go	NGW	0	0		1	0.0	1	0.54	0.4640831971677926	0.2995679931210734
02lqpjp4pevk73p8f7ipewf9	1	1	47	12	1	no-go	NGW	0	0		1	1.0	0	0.5416	0.45681724562255505	0.29398126977386
02lqpjp4pevk73p8f7ipewf9	1	2	123	1	1	go	GW	1	0		0	0.0	0	0.4141	0.5884044432320045	0.3827811173426475
02lqpjp4pevk73p8f7ipewf9	1	2	127	2	1	go	GW	1	0		0	0.0	0	0.4201	0.580201656942405	0.3770399564691062
02lqpjp4pevk73p8f7ipewf9	1	2	129	3	1	go	GW	1	1	0.732	1	0.0	1	0.4258	0.42742404772508635	0.27267928663164626
02lqpjp4pevk73p8f7ipewf9	1	2	133	4	1	go	GW	1	1	1.072	1	0.0	1	0.4253	0.4245867025578883	0.2703943622807785
02lqpjp4pevk73p8f7ipewf9	1	2	140	5	1	go	GW	1	1	0.7959999999999999	1	0.0	1	0.4211	0.42223685753520357	0.2684979302136842
02lqpjp4pevk73p8f7ipewf9	1	2	142	6	1	go	GW	1	1	0.936	1	0.0	1	0.42	0.4202507224138171	0.2668883146454363
02lqpjp4pevk73p8f7ipewf9	1	2	147	7	1	go	GW	1	1	0.956	1	0.0	1	0.4184	0.41854615113234805	0.2655000453054968
02lqpjp4pevk73p8f7ipewf9	1	2	152	8	1	go	GW	1	1	0.295	1	0.0	1	0.4135	0.41706437358940585	0.2642869726506331
02lqpjp4pevk73p8f7ipewf9	1	2	155	9	1	go	GW	1	1	0.513	1	0.0	1	0.4146	0.4157618941310794	0.2632149729705079
02lqpjp4pevk73p8f7ipewf9	1	2	160	10	1	go	GW	1	1	0.653	1	0.0	1	0.4105	0.41460578806542353	0.2622582265812348
02lqpjp4pevk73p8f7ipewf9	1	2	161	1	1	go	GW	1	0		0	0.0	0	0.5913	0.4023886496278427	0.25882799271215184
02lqpjp4pevk73p8f7ipewf9	1	2	167	2	1	go	GW	1	0		0	0.0	0	0.5941	0.40047834659489756	0.2570185456240627
02lqpjp4pevk73p8f7ipewf9	1	2	170	3	1	go	GW	1	0		0	0.0	0	0.6013	0.3988350278788781	0.2554955859739262
02lqpjp4pevk73p8f7ipewf9	1	2	174	4	1	go	GW	1	0		0	1.0	1	0.6043	0.39739973351403113	0.2541845017703195
02lqpjp4pevk73p8f7ipewf9	1	2	177	5	1	go	GW	1	1	0.918	1	0.0	1	0.6092	0.6117478342527992	0.45552671065229944
02lqpjp4pevk73p8f7ipewf9	1	2	184	6	1	go	GW	1	1	0.82	1	0.0	1	0.604	0.601756302689659	0.4390292531147376
02lqpjp4pevk73p8f7ipewf9	1	2	187	7	1	go	GW	1	1	0.901	1	1.0	0	0.5867	0.5925827830748527	0.4309163066865482
02lqpjp4pevk73p8f7ipewf9	1	2	192	8	1	go	GW	1	1	1.058	1	0.0	1	0.5897	0.5909457792568837	0.39686215615247
02lqpjp4pevk73p8f7ipewf9	1	2	122	1	0	no-go	NGAL	0	0		1	0.0	1	0.6545	0.3407654500411815	0.26093483496840775
02lqpjp4pevk73p8f7ipewf9	1	2	128	2	0	no-go	NGAL	0	1	0.945	0	0.0	0	0.6367	0.634157136870554	0.41691502416509113
02lqpjp4pevk73p8f7ipewf9	1	2	131	3	0	no-go	NGAL	0	0		1	0.0	1	0.626	0.37701306721793754	0.24018550579630915
02lqpjp4pevk73p8f7ipewf9	1	2	135	4	0	no-go	NGAL	0	0		1	0.0	1	0.6214	0.3799319243879124	0.2407368507424505
02lqpjp4pevk73p8f7ipewf9	1	2	138	5	0	no-go	NGAL	0	0		1	1.0	0	0.6177	0.38133091396970004	0.24106619218940467
02lqpjp4pevk73p8f7ipewf9	1	2	141	6	0	no-go	NGAL	0	0		1	0.0	1	0.6299	0.3700582397858234	0.2713378840921138
02lqpjp4pevk73p8f7ipewf9	1	2	146	7	0	no-go	NGAL	0	0		1	0.0	1	0.624	0.3768808569228412	0.23882708858652513
02lqpjp4pevk73p8f7ipewf9	1	2	151	8	0	no-go	NGAL	0	0		1	0.0	1	0.6214	0.37881643338497	0.2391799587601228
02lqpjp4pevk73p8f7ipewf9	1	2	154	9	0	no-go	NGAL	0	0		1	0.0	1	0.6182	0.37980932923978605	0.23941389047254358
02lqpjp4pevk73p8f7ipewf9	1	2	157	10	0	no-go	NGAL	0	0		1	1.0	0	0.6172	0.38036238137399586	0.2395180119743766
02lqpjp4pevk73p8f7ipewf9	1	2	163	11	0	no-go	NGAL	0	1	0.805	0	0.0	0	0.6305	0.6306138856316429	0.4563199281373998
02lqpjp4pevk73p8f7ipewf9	1	2	165	12	0	no-go	NGAL	0	0		1	1.0	0	0.6279	0.3788843016074514	0.27616916816313686
02lqpjp4pevk73p8f7ipewf9	1	2	212	1	1	no-go	NGW	0	0		1	0.0	1	0.5956	0.4119708269217716	0.3118071581602903
02lqpjp4pevk73p8f7ipewf9	1	2	215	2	1	no-go	NGW	0	1	0.7859999999999999	0	1.0	1	0.5936	0.5928618546558889	0.3973430297155001
02lqpjp4pevk73p8f7ipewf9	1	2	217	3	1	no-go	NGW	0	1	0.3339999999999999	0	0.0	0	0.5901	0.5854789218122151	0.44587681740202595
02lqpjp4pevk73p8f7ipewf9	1	2	222	4	1	no-go	NGW	0	1	0.952	0	0.0	0	0.5722	0.5709631517332758	0.38715336448839766
02lqpjp4pevk73p8f7ipewf9	1	2	225	5	1	no-go	NGW	0	1	0.5720000000000001	0	1.0	1	0.5453	0.545869362060777	0.36914087855356664
02lqpjp4pevk73p8f7ipewf9	1	2	236	7	1	no-go	NGW	0	0		1	0.0	1	0.4492	0.5520659553986134	0.3774352014247234
02lqpjp4pevk73p8f7ipewf9	1	2	240	8	1	no-go	NGW	0	0		1	0.0	1	0.5	0.5021475636884414	0.3405553675814431
02lqpjp4pevk73p8f7ipewf9	1	1	43	1	0	go	GAL	1	0		0	0.0	0	0.6135	0.3884279254156016	0.2468691951074904
02lqpjp4pevk73p8f7ipewf9	1	1	46	2	0	go	GAL	1	1	0.914	1	0.0	1	0.6132	0.6122720970406049	0.3997706109773922
02lqpjp4pevk73p8f7ipewf9	1	1	50	3	0	go	GAL	1	0		0	1.0	1	0.6013	0.39530611748337124	0.25123594919472836
02lqpjp4pevk73p8f7ipewf9	1	1	53	4	0	go	GAL	1	0		0	0.0	0	0.6109	0.38838065605464744	0.28448496079342855
02lqpjp4pevk73p8f7ipewf9	1	1	59	5	0	go	GAL	1	1	0.536	1	0.0	1	0.6132	0.6111904677251263	0.39993148476710066
02lqpjp4pevk73p8f7ipewf9	1	1	61	6	0	go	GAL	1	0		0	1.0	1	0.6081	0.3958620310005526	0.25246430447882007
02lqpjp4pevk73p8f7ipewf9	1	1	67	7	0	go	GAL	1	0		0	0.0	0	0.6127	0.3895780040772187	0.28709764278790484
02lqpjp4pevk73p8f7ipewf9	1	1	72	8	0	go	GAL	1	1	0.868	1	0.0	1	0.6118	0.6087248953643364	0.3983332534129803
02lqpjp4pevk73p8f7ipewf9	1	2	164	1	1	no-go	NGW	0	1	0.835	0	0.0	0	0.3268	0.32834965026613516	0.2082578167967485
02lqpjp4pevk73p8f7ipewf9	1	2	168	2	1	no-go	NGW	0	1	0.479	0	0.0	0	0.3278	0.32782430938137097	0.2078080686267832
02lqpjp4pevk73p8f7ipewf9	1	2	171	3	1	no-go	NGW	0	1	0.732	0	1.0	1	0.324	0.3273205984023564	0.20737924172790279
02lqpjp4pevk73p8f7ipewf9	1	2	173	4	1	no-go	NGW	0	1	1.001	0	0.0	0	0.2899	0.2868673099993191	0.21673912184102542
02lqpjp4pevk73p8f7ipewf9	1	2	179	5	1	no-go	NGW	0	1	0.402	0	0.0	0	0.3205	0.3187728082039828	0.20255066798136304
