name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
lp__	-22000.0	0.19	11.0	-22000.0	-22000.0	-22000.0	3200.0	3.7	1.0
mu_pr[1]	-0.0055	0.017	2.5	-4.1	0.0085	4.0	21370.0	25.0	1.0
mu_pr[2]	0.028	0.016	2.5	-4.1	0.034	4.2	23800.0	28.0	1.0
sigma_pr[1]	0.0065	0.0067	0.99	-1.6	0.0037	1.6	21421.0	25.0	1.0
sigma_pr[2]	-0.00037	0.0068	0.99	-1.6	-0.0026	1.6	21001.0	25.0	1.0
theta_pr[1,1]	0.0095	0.0069	1.0	-1.6	-0.0012	1.6	20554.0	24.0	1.0
theta_pr[1,2]	-0.0007	0.0066	0.99	-1.6	-0.013	1.6	22829.0	27.0	1.0
theta_pr[1,3]	-0.0021	0.0072	1.0	-1.6	-0.0074	1.6	19286.0	23.0	1.0
theta_pr[1,4]	-0.003	0.0068	0.98	-1.6	-0.0029	1.6	21232.0	25.0	1.0
theta_pr[1,5]	0.0053	0.0064	0.97	-1.6	0.0047	1.6	23316.0	27.0	1.0
theta_pr[1,6]	-0.0023	0.0066	1.0	-1.7	-0.0062	1.6	23142.0	27.0	1.0
theta_pr[1,7]	0.0018	0.0068	1.0	-1.7	-0.01	1.7	22781.0	27.0	1.0
theta_pr[1,8]	-0.012	0.0068	1.0	-1.7	-0.017	1.6	21568.0	25.0	1.0
theta_pr[1,9]	0.0044	0.0066	0.99	-1.6	-0.0026	1.6	22620.0	26.0	1.0
theta_pr[1,10]	-3.1e-05	0.0073	1.0	-1.7	-0.0044	1.7	19305.0	23.0	1.0
theta_pr[1,11]	0.003	0.0066	1.0	-1.7	0.0034	1.7	22797.0	27.0	1.0
theta_pr[1,12]	0.011	0.0068	1.0	-1.6	0.0096	1.7	21866.0	26.0	1.0
theta_pr[1,13]	-0.0078	0.0069	1.0	-1.6	-0.012	1.6	20861.0	24.0	1.0
theta_pr[1,14]	0.0076	0.0067	1.0	-1.6	0.012	1.6	21995.0	26.0	1.0
theta_pr[1,15]	0.0016	0.0065	1.0	-1.7	-0.0094	1.7	24327.0	28.0	1.0
theta_pr[1,16]	-0.00068	0.0066	1.0	-1.7	0.0021	1.6	22672.0	27.0	1.0
theta_pr[1,17]	-0.001	0.0067	0.99	-1.6	0.0023	1.6	21624.0	25.0	1.0
theta_pr[1,18]	-0.0023	0.0066	0.99	-1.6	0.0049	1.6	22529.0	26.0	1.0
theta_pr[1,19]	-0.0022	0.0066	0.98	-1.6	-0.01	1.6	22478.0	26.0	1.0
theta_pr[1,20]	0.012	0.0064	1.0	-1.6	0.0032	1.7	24691.0	29.0	1.0
theta_pr[1,21]	-0.013	0.0064	1.0	-1.7	-0.012	1.7	25025.0	29.0	1.0
theta_pr[1,22]	-0.0041	0.0067	0.97	-1.6	0.0042	1.6	20819.0	24.0	1.0
theta_pr[1,23]	0.018	0.007	0.99	-1.6	0.019	1.7	20037.0	23.0	1.0
theta_pr[1,24]	-0.011	0.0062	1.0	-1.6	-0.012	1.6	26028.0	30.0	1.0
theta_pr[1,25]	0.005	0.0065	1.0	-1.6	0.024	1.6	23667.0	28.0	1.0
theta_pr[1,26]	0.0075	0.0067	1.0	-1.6	0.011	1.6	22511.0	26.0	1.0
theta_pr[1,27]	0.0012	0.0065	1.0	-1.6	0.0032	1.6	24189.0	28.0	1.0
theta_pr[1,28]	-0.008	0.0066	1.0	-1.7	-0.01	1.6	22562.0	26.0	1.0
theta_pr[1,29]	-0.0035	0.0072	1.0	-1.6	-0.0072	1.7	19546.0	23.0	1.0
theta_pr[1,30]	0.0065	0.0065	0.99	-1.6	0.00016	1.7	23203.0	27.0	1.0
theta_pr[1,31]	-0.0048	0.0069	1.0	-1.7	-0.0038	1.7	21280.0	25.0	1.0
theta_pr[1,32]	-0.00085	0.0068	0.99	-1.6	0.0029	1.6	21464.0	25.0	1.0
theta_pr[1,33]	0.0036	0.0066	1.0	-1.6	-0.0024	1.6	22715.0	27.0	1.0
theta_pr[1,34]	0.0034	0.007	1.0	-1.6	0.0015	1.7	20504.0	24.0	1.0
theta_pr[1,35]	0.003	0.0062	1.0	-1.7	0.0082	1.7	26534.0	31.0	1.0
