name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
mu_pr[1]	1.06	0.00783	0.0884	0.919	1.06	1.21	127.0	0.0982	1.03
mu_pr[2]	-0.438	0.00729	0.0966	-0.59	-0.438	-0.283	176.0	0.135	1.03
mu_pr[3]	0.16	0.00114	0.0173	0.133	0.159	0.189	231.0	0.178	1.01
mu_pr[4]	0.109	0.000767	0.0106	0.0922	0.108	0.128	191.0	0.147	1.02
L[1,1]	1.0		6e-16	1.0	1.0	1.0			
L[1,2]	0.0		0.0	0.0	0.0	0.0			
L[1,3]	0.0		0.0	0.0	0.0	0.0			
L[1,4]	0.0		0.0	0.0	0.0	0.0			
L[2,1]	-0.528	0.00709	0.0847	-0.66	-0.531	-0.385	143.0	0.11	1.02
L[2,2]	0.843	0.00428	0.0525	0.751	0.847	0.923	151.0	0.116	1.01
L[2,3]	0.0		0.0	0.0	0.0	0.0			
L[2,4]	0.0		0.0	0.0	0.0	0.0			
L[3,1]	-0.587	0.00585	0.0827	-0.718	-0.588	-0.447	200.0	0.154	1.01
L[3,2]	0.144	0.00579	0.102	-0.0249	0.143	0.314	311.0	0.239	1.02
L[3,3]	0.784	0.00462	0.0619	0.673	0.788	0.878	179.0	0.138	1.01
L[3,4]	0.0		0.0	0.0	0.0	0.0			
L[4,1]	-0.629	0.00459	0.0834	-0.761	-0.634	-0.48	330.0	0.254	1.01
L[4,2]	-0.0562	0.00435	0.112	-0.245	-0.0563	0.126	660.0	0.509	1.0
L[4,3]	0.276	0.00608	0.116	0.085	0.277	0.458	367.0	0.282	1.01
L[4,4]	0.698	0.00296	0.0714	0.577	0.701	0.81	583.0	0.449	1.0
sigma_pr[1]	-0.454	0.00501	0.102	-0.624	-0.451	-0.291	411.0	0.317	1.01
sigma_pr[2]	-0.287	0.00765	0.0987	-0.447	-0.287	-0.123	166.0	0.128	1.02
sigma_pr[3]	-1.94	0.00507	0.101	-2.11	-1.94	-1.78	394.0	0.304	1.0
sigma_pr[4]	-2.6	0.00632	0.119	-2.8	-2.6	-2.4	355.0	0.274	1.01
theta_pr[1,1]	-0.0469	0.0424	0.807	-1.16	-0.14	1.43	362.0	0.279	1.0
theta_pr[1,2]	-0.83	0.0147	0.206	-1.16	-0.84	-0.479	198.0	0.153	1.03
theta_pr[1,3]	-0.0392	0.0245	0.565	-0.754	-0.171	1.08	531.0	0.409	1.0
theta_pr[1,4]	-0.433	0.0166	0.397	-0.944	-0.496	0.302	572.0	0.441	1.01
theta_pr[1,5]	0.654	0.0205	0.622	-0.29	0.624	1.74	920.0	0.709	1.0
theta_pr[1,6]	-0.825	0.0147	0.202	-1.14	-0.826	-0.479	190.0	0.147	1.02
theta_pr[1,7]	-1.14	0.0168	0.214	-1.46	-1.16	-0.816	163.0	0.126	1.03
theta_pr[1,8]	-0.342	0.0251	0.612	-1.05	-0.496	0.939	596.0	0.459	1.0
theta_pr[1,9]	-0.762	0.0145	0.184	-1.07	-0.762	-0.462	161.0	0.124	1.03
theta_pr[1,10]	-0.0834	0.0366	0.78	-1.05	-0.259	1.49	453.0	0.349	1.01
