name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-1.41e+04,1.45,21.7,-1.41e+04,-1.41e+04,-1.41e+04,224,0.0879,1.01
"accept_stat__",0.92,0.0536,0.142,0.665,0.972,0.999,7.07,0.00277,1.18
"stepsize__",0.0332,0.00719,0.0102,0.0229,0.032,0.05,2.01,0.000789,2.62e+14
"treedepth__",7.12,0.0182,0.575,6,7,8,1e+03,0.392,2.05
"n_leapfrog__",160,2.07,65.5,63,127,255,1e+03,0.392,1.82
"divergent__",0,nan,0,0,0,0,nan,nan,nan
"energy__",1.43e+04,1.81,26.5,1.43e+04,1.43e+04,1.44e+04,215,0.0843,1.01
"mu_pr[1]",1.68,0.0124,0.145,1.46,1.67,1.93,138,0.0540,1.02
"mu_pr[2]",-0.793,0.00727,0.0977,-0.956,-0.792,-0.628,181,0.0708,1.02
"mu_pr[3]",0.0681,0.000601,0.00983,0.0525,0.0679,0.0849,267,0.105,1.02
"mu_pr[4]",0.0446,0.000286,0.00616,0.0349,0.0445,0.0550,462,0.181,1.00
"L[1,1]",1.00,nan,0.000000000000000666,1.00,1.00,1.00,nan,nan,nan
"L[1,2]",0.000,nan,0.000,0.000,0.000,0.000,nan,nan,nan
"L[1,3]",0.000,nan,0.000,0.000,0.000,0.000,nan,nan,nan
"L[1,4]",0.000,nan,0.000,0.000,0.000,0.000,nan,nan,nan
"L[2,1]",-0.521,0.00661,0.0954,-0.668,-0.526,-0.355,208,0.0815,1.02
"L[2,2]",0.847,0.00407,0.0582,0.744,0.850,0.935,204,0.0801,1.02
"L[2,3]",0.000,nan,0.000,0.000,0.000,0.000,nan,nan,nan
"L[2,4]",0.000,nan,0.000,0.000,0.000,0.000,nan,nan,nan
"L[3,1]",-0.486,0.00463,0.0991,-0.638,-0.491,-0.317,459,0.180,1.01
"L[3,2]",-0.0793,0.00560,0.119,-0.271,-0.0788,0.118,453,0.177,1.00
"L[3,3]",0.855,0.00239,0.0554,0.760,0.859,0.940,536,0.210,1.01
"L[3,4]",0.000,nan,0.000,0.000,0.000,0.000,nan,nan,nan
"L[4,1]",-0.461,0.00645,0.130,-0.663,-0.468,-0.233,404,0.158,1.02
"L[4,2]",-0.188,0.00370,0.121,-0.386,-0.182,0.0112,1079,0.423,1.00
"L[4,3]",0.0377,0.00656,0.155,-0.220,0.0388,0.298,561,0.220,1.01
"L[4,4]",0.830,0.00389,0.0733,0.697,0.837,0.940,355,0.139,1.02
"sigma_pr[1]",-0.0665,0.00531,0.111,-0.242,-0.0702,0.121,435,0.171,1.01
"sigma_pr[2]",-0.250,0.00500,0.0964,-0.408,-0.251,-0.0958,372,0.146,1.01
