name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
beta_mu[1,1]	1.76	0.00222	0.101	1.6	1.76	1.93	2064.0	1.34	1.0
beta_mu[1,2]	1.7	0.00222	0.101	1.54	1.7	1.87	2068.0	1.34	1.0
beta_mu[2,1]	0.403	0.00295	0.0989	0.245	0.4	0.568	1128.0	0.733	1.0
beta_mu[2,2]	0.692	0.00296	0.0995	0.533	0.69	0.858	1129.0	0.733	1.0
beta_mu[3,1]	1.09	0.00235	0.0937	0.934	1.09	1.24	1597.0	1.04	1.0
beta_mu[3,2]	1.08	0.00223	0.0936	0.922	1.08	1.23	1764.0	1.15	1.0
beta_mu[4,1]	0.85	0.00225	0.0884	0.706	0.849	0.995	1541.0	1.0	1.0
beta_mu[4,2]	0.966	0.00223	0.0897	0.82	0.965	1.11	1617.0	1.05	1.0
alpha[1]	-0.203	0.000495	0.0275	-0.248	-0.203	-0.157	3071.0	1.99	1.0
beta_c_pr[1,1]	-1.07	0.00612	0.402	-1.72	-1.09	-0.401	4307.0	2.8	1.0
beta_c_pr[1,2]	-2.47	0.00703	0.392	-3.15	-2.46	-1.85	3108.0	2.02	1.0
beta_c_pr[1,3]	-0.611	0.0064	0.441	-1.31	-0.619	0.139	4740.0	3.08	1.0
beta_c_pr[1,4]	0.684	0.0071	0.489	-0.0719	0.674	1.5	4748.0	3.08	1.0
beta_c_pr[1,5]	-1.02	0.00615	0.399	-1.67	-1.02	-0.357	4208.0	2.73	1.0
beta_c_pr[1,6]	-0.465	0.00575	0.426	-1.16	-0.472	0.264	5485.0	3.56	0.999
beta_c_pr[1,7]	-0.248	0.00644	0.447	-1.0	-0.252	0.489	4809.0	3.12	0.999
beta_c_pr[1,8]	-0.145	0.00584	0.427	-0.829	-0.153	0.574	5344.0	3.47	1.0
beta_c_pr[1,9]	-0.277	0.00554	0.414	-0.957	-0.28	0.403	5595.0	3.63	1.0
beta_c_pr[1,10]	-0.145	0.00625	0.455	-0.873	-0.15	0.647	5308.0	3.45	1.0
beta_c_pr[1,11]	0.734	0.0071	0.51	-0.0548	0.708	1.61	5166.0	3.36	1.0
beta_c_pr[1,12]	-0.609	0.00549	0.396	-1.24	-0.613	0.0455	5210.0	3.38	1.0
beta_c_pr[1,13]	0.446	0.00717	0.512	-0.372	0.435	1.3	5097.0	3.31	1.0
beta_c_pr[1,14]	0.509	0.00668	0.477	-0.243	0.491	1.32	5104.0	3.32	1.0
beta_c_pr[1,15]	-1.9	0.00681	0.385	-2.53	-1.89	-1.28	3201.0	2.08	1.0
beta_c_pr[1,16]	0.118	0.00648	0.456	-0.599	0.102	0.879	4946.0	3.21	0.999
beta_c_pr[1,17]	-0.647	0.00679	0.428	-1.35	-0.652	0.0523	3976.0	2.58	1.0
beta_c_pr[1,18]	-0.744	0.00603	0.406	-1.41	-0.738	-0.084	4525.0	2.94	1.0
beta_c_pr[1,19]	-1.72	0.00617	0.391	-2.37	-1.71	-1.1	4024.0	2.61	1.0
beta_c_pr[1,20]	0.606	0.0071	0.519	-0.209	0.599	1.5	5349.0	3.47	0.999
beta_c_pr[1,21]	-0.392	0.00717	0.423	-1.07	-0.401	0.32	3476.0	2.26	1.0
