	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
beta_mu_01[1]	1.17	0.00226	0.0369	1.09	1.17	1.24	267.0	0.104	1.03
beta_mu_01[2]	0.803	0.00246	0.0504	0.701	0.801	0.896	418.0	0.162	1.0
beta_mu_01[3]	0.0977	0.000722	0.0285	0.0351	0.0976	0.15	1563.0	0.606	0.999
beta_mu_01[4]	0.577	0.00113	0.0358	0.502	0.578	0.644	995.0	0.386	1.0
beta_mu_01[5]	1.58	0.00205	0.0647	1.44	1.58	1.7	994.0	0.385	0.999
beta_mu_02[1]	0.0117	0.00337	0.0518	-0.095	0.0126	0.106	237.0	0.0919	1.03
beta_mu_02[2]	0.0374	0.00338	0.0516	-0.0688	0.0366	0.137	233.0	0.0905	1.01
beta_mu_02[3]	-0.0491	0.00315	0.0505	-0.151	-0.0487	0.0459	256.0	0.0993	1.02
sigma[1]	0.622	0.00138	0.0298	0.568	0.62	0.681	466.0	0.181	1.01
sigma[2]	0.841	0.00208	0.042	0.759	0.84	0.924	408.0	0.158	1.01
sigma[3]	0.374	0.00084	0.0269	0.318	0.374	0.426	1024.0	0.397	1.0
sigma[4]	0.551	0.00113	0.0305	0.491	0.55	0.61	730.0	0.283	1.0
sigma[5]	0.928	0.00187	0.0558	0.818	0.925	1.03	889.0	0.345	1.01
beta[1,1,1]	-0.692	0.00433	0.155	-1.01	-0.688	-0.404	1275.0	0.494	1.0
beta[2,1,1]	-0.721	0.00444	0.162	-1.07	-0.72	-0.423	1338.0	0.519	1.0
beta[3,1,1]	-0.297	0.00471	0.157	-0.608	-0.299	0.00922	1110.0	0.43	1.0
beta[4,1,1]	-0.0688	0.00426	0.167	-0.41	-0.0667	0.244	1541.0	0.597	1.0
beta[5,1,1]	0.121	0.00504	0.175	-0.252	0.117	0.445	1208.0	0.468	1.0
beta[6,1,1]	0.0562	0.0046	0.17	-0.288	0.0518	0.375	1364.0	0.529	1.0
beta[7,1,1]	-0.525	0.00448	0.157	-0.844	-0.527	-0.231	1223.0	0.474	1.0
beta[8,1,1]	-0.477	0.00508	0.165	-0.822	-0.478	-0.165	1060.0	0.411	1.01
beta[9,1,1]	0.0361	0.00436	0.178	-0.323	0.036	0.37	1666.0	0.646	0.999
beta[10,1,1]	-0.468	0.00501	0.161	-0.806	-0.47	-0.162	1029.0	0.399	1.0
