name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-3.53e+04,1.36,38,-3.53e+04,-3.53e+04,-3.52e+04,781,0.256,1
"accept_stat__",0.871,0.00328,0.122,0.64,0.906,0.996,1.38e+03,0.453,1.01
"stepsize__",0.114,0.0051,0.00722,0.106,0.115,0.125,2.01,0.000658,2.05e+13
"treedepth__",5.21,0.00907,0.406,5,5,6,2e+03,0.656,1.53
"n_leapfrog__",40,0.323,14.5,31,31,63,2e+03,0.656,1.56
"divergent__",0,nan,0,0,0,0,nan,nan,nan
"energy__",3.6e+04,1.66,46.4,3.59e+04,3.6e+04,3.6e+04,778,0.255,1
"beta_mu[1]",0.930,0.00267,0.0646,0.822,0.930,1.04,584,0.191,1.00
"beta_mu[2]",1.03,0.00249,0.0647,0.927,1.03,1.14,674,0.221,1.00
"beta_mu[3]",1.05,0.00255,0.0716,0.936,1.05,1.17,788,0.258,1.00
"beta_mu[4]",-0.721,0.00172,0.0686,-0.833,-0.722,-0.604,1587,0.521,1.00
"beta_mu[5]",-0.400,0.00128,0.0643,-0.505,-0.400,-0.295,2507,0.822,1.00
"beta_mu[6]",-0.334,0.00115,0.0628,-0.438,-0.332,-0.232,2962,0.972,1.00
"beta_mu[7]",0.318,0.00259,0.0889,0.168,0.317,0.461,1176,0.386,1.00
"beta_mu[8]",0.199,0.00264,0.0966,0.0375,0.199,0.359,1333,0.437,1.00
"beta_mu[9]",0.238,0.00258,0.0979,0.0807,0.236,0.401,1435,0.471,1.00
"beta_mu[10]",1.51,0.00320,0.116,1.32,1.51,1.71,1323,0.434,1.00
"beta_mu[11]",1.09,0.00268,0.114,0.903,1.09,1.28,1813,0.595,1.00
"beta_mu[12]",1.05,0.00234,0.108,0.868,1.04,1.23,2116,0.694,1.00
"beta_mu[13]",-1.46,0.00138,0.0649,-1.56,-1.46,-1.35,2211,0.725,1.00
"beta_mu[14]",-1.52,0.00181,0.0769,-1.65,-1.52,-1.39,1815,0.595,1.00
"beta_mu[15]",-1.41,0.00161,0.0754,-1.53,-1.41,-1.28,2192,0.719,1.00
"beta_mu[16]",0.112,0.00195,0.0581,0.0163,0.112,0.208,892,0.293,1.00
"beta_mu[17]",0.117,0.00193,0.0555,0.0269,0.115,0.209,829,0.272,1.00
"beta_pr[1,1]",-1.47,0.00771,0.346,-2.06,-1.47,-0.919,2010,0.659,1.00
"beta_pr[1,2]",-0.489,0.00639,0.326,-1.02,-0.487,0.0568,2603,0.854,1.000
"beta_pr[1,3]",-0.0241,0.00636,0.363,-0.598,-0.0356,0.585,3265,1.07,1.00
"beta_pr[1,4]",0.248,0.00674,0.345,-0.316,0.245,0.819,2624,0.861,1.00
"beta_pr[1,5]",0.283,0.00679,0.348,-0.296,0.289,0.857,2628,0.862,1.000
"beta_pr[1,6]",-0.808,0.00787,0.344,-1.38,-0.801,-0.247,1910,0.626,1.000
"beta_pr[1,7]",-0.827,0.00662,0.342,-1.38,-0.832,-0.256,2669,0.875,1.00
"beta_pr[1,8]",0.577,0.00727,0.370,-0.0488,0.583,1.20,2585,0.848,1.00
"beta_pr[1,9]",0.762,0.00686,0.366,0.175,0.750,1.37,2853,0.936,1.000
"beta_pr[1,10]",-0.00292,0.00743,0.347,-0.574,-0.0102,0.585,2182,0.716,1.00
"beta_pr[1,11]",1.41,0.00709,0.381,0.787,1.40,2.05,2883,0.946,1.00
"beta_pr[1,12]",0.0118,0.00734,0.348,-0.544,0.0102,0.594,2247,0.737,1.00
"beta_pr[1,13]",-0.949,0.00729,0.346,-1.52,-0.941,-0.390,2256,0.740,1.00
"beta_pr[1,14]",1.88,0.00769,0.405,1.23,1.87,2.57,2768,0.908,1.00
