name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",8.8e+03,0.964,28.8,8.75e+03,8.8e+03,8.85e+03,894,0.279,1.01
"accept_stat__",0.898,0.00469,0.112,0.691,0.931,0.997,565,0.176,1.01
"stepsize__",0.0945,0.00508,0.00719,0.0835,0.101,0.101,2.01,0.000626,2.35e+13
"treedepth__",5.75,0.01,0.449,5,6,6,2e+03,0.624,1.23
"n_leapfrog__",60.3,0.45,20.1,31,63,63,2e+03,0.624,1.02
"divergent__",0.00025,nan,0.0158,0,0,0,nan,nan,nan
"energy__",-8.37e+03,1.21,35.8,-8.43e+03,-8.37e+03,-8.31e+03,879,0.274,1.01
"beta_mu[1]",-0.466,0.000773,0.0185,-0.496,-0.466,-0.435,573,0.179,1.00
"beta_mu[2]",-0.478,0.000662,0.0174,-0.507,-0.477,-0.449,691,0.216,1.00
"beta_mu[3]",-0.479,0.000698,0.0183,-0.509,-0.479,-0.450,685,0.214,1.00
"beta_mu[4]",-0.107,0.000184,0.0101,-0.124,-0.107,-0.0904,3024,0.944,1.000
"beta_mu[5]",-0.0725,0.000173,0.00938,-0.0879,-0.0726,-0.0570,2957,0.923,1.000
"beta_mu[6]",-0.0732,0.000145,0.00901,-0.0881,-0.0731,-0.0584,3876,1.21,1.000
"beta_mu[7]",0.0282,0.000135,0.00986,0.0122,0.0281,0.0449,5366,1.67,0.999
"beta_mu[8]",0.0236,0.000108,0.00894,0.00901,0.0235,0.0380,6820,2.13,0.999
"beta_mu[9]",0.0249,0.000107,0.00897,0.0103,0.0249,0.0397,7049,2.20,1.000
"beta_mu[10]",0.00272,0.000443,0.0135,-0.0195,0.00288,0.0251,932,0.291,1.00
"beta_mu[11]",0.00493,0.000463,0.0137,-0.0177,0.00519,0.0278,874,0.273,1.01
"beta_pr[1,1]",0.0714,0.00566,0.228,-0.298,0.0657,0.452,1619,0.505,1.00
"beta_pr[1,2]",0.795,0.00654,0.245,0.395,0.790,1.20,1406,0.439,1.00
"beta_pr[1,3]",-1.74,0.00688,0.242,-2.15,-1.73,-1.36,1233,0.385,1.00
"beta_pr[1,4]",0.988,0.00620,0.234,0.595,0.991,1.37,1425,0.445,1.00
"beta_pr[1,5]",1.69,0.00752,0.261,1.27,1.68,2.12,1205,0.376,1.00
"beta_pr[1,6]",2.14,0.00836,0.277,1.68,2.13,2.59,1097,0.342,1.00
"beta_pr[1,7]",-0.571,0.00575,0.232,-0.959,-0.572,-0.193,1631,0.509,1.00
"beta_pr[1,8]",-1.15,0.00627,0.223,-1.52,-1.15,-0.793,1268,0.396,1.00
"beta_pr[1,9]",-1.54,0.00663,0.236,-1.94,-1.53,-1.15,1271,0.397,1.00
"beta_pr[1,10]",0.282,0.00618,0.232,-0.0955,0.283,0.668,1411,0.440,1.00
"beta_pr[1,11]",-0.567,0.00555,0.214,-0.923,-0.564,-0.220,1482,0.463,1.00
"beta_pr[1,12]",1.61,0.00670,0.241,1.23,1.60,2.02,1293,0.404,1.00
"beta_pr[1,13]",-0.576,0.00571,0.229,-0.954,-0.574,-0.195,1616,0.504,1.00
"beta_pr[1,14]",-0.544,0.00594,0.223,-0.907,-0.548,-0.175,1413,0.441,1.00
"beta_pr[1,15]",1.10,0.00705,0.282,0.640,1.10,1.56,1605,0.501,1.00
"beta_pr[1,16]",-0.0172,0.00597,0.236,-0.404,-0.0168,0.370,1557,0.486,1.00
"beta_pr[1,17]",0.322,0.00615,0.225,-0.0446,0.321,0.701,1333,0.416,1.00
"beta_pr[1,18]",-0.326,0.00583,0.250,-0.742,-0.324,0.0849,1843,0.575,1.000
"beta_pr[1,19]",-0.160,0.00593,0.222,-0.526,-0.161,0.198,1397,0.436,1.00
"beta_pr[1,20]",-1.12,0.00587,0.230,-1.50,-1.12,-0.753,1539,0.480,1.00
"beta_pr[1,21]",0.721,0.00617,0.232,0.341,0.721,1.10,1410,0.440,1.00
"beta_pr[1,22]",0.813,0.00605,0.237,0.426,0.812,1.20,1533,0.478,1.00
"beta_pr[1,23]",0.0702,0.00601,0.239,-0.319,0.0703,0.477,1582,0.494,1.00
"beta_pr[1,24]",0.742,0.00679,0.250,0.329,0.741,1.15,1353,0.422,1.00
"beta_pr[1,25]",1.04,0.00623,0.253,0.624,1.03,1.46,1645,0.513,1.00
"beta_pr[1,26]",-0.162,0.00562,0.221,-0.531,-0.156,0.196,1546,0.483,1.00
"beta_pr[1,27]",0.708,0.00619,0.235,0.318,0.710,1.10,1444,0.451,1.00
"beta_pr[1,28]",-0.101,0.00560,0.234,-0.479,-0.104,0.282,1739,0.543,1.00
"beta_pr[1,29]",0.330,0.00617,0.235,-0.0525,0.329,0.725,1454,0.454,1.00
"beta_pr[1,30]",-0.0108,0.00586,0.233,-0.395,-0.0136,0.373,1577,0.492,1.00
"beta_pr[1,31]",-0.211,0.00555,0.216,-0.576,-0.210,0.138,1521,0.474,1.00
"beta_pr[1,32]",-1.01,0.00609,0.229,-1.39,-1.01,-0.636,1407,0.439,1.00
