name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
lp__	-20000.0	0.67	16.0	-20000.0	-20000.0	-20000.0	550.0	0.064	1.0
mu_pr[1]	-3.1	0.062	1.1	-5.3	-2.8	-1.8	309.0	0.036	1.0
mu_pr[2]	-0.49	0.023	1.4	-3.0	-0.29	1.7	3870.0	0.45	1.0
sigma_pr[1]	-1.3	0.029	0.82	-2.6	-1.3	0.054	813.0	0.094	1.0
sigma_pr[2]	-0.0069	0.028	1.0	-1.6	-0.0031	1.6	1283.0	0.15	1.0
theta_pr[1,1]	-0.079	0.011	0.95	-1.7	-0.069	1.5	7100.0	0.82	1.0
theta_pr[1,2]	-0.049	0.024	0.97	-1.7	-0.031	1.5	1698.0	0.2	1.0
theta_pr[1,3]	-0.076	0.0092	0.95	-1.6	-0.05	1.5	10587.0	1.2	1.0
theta_pr[1,4]	-0.064	0.017	0.98	-1.7	-0.07	1.5	3277.0	0.38	1.0
theta_pr[1,5]	-0.076	0.0097	0.93	-1.6	-0.029	1.4	9214.0	1.1	1.0
theta_pr[1,6]	0.12	0.041	1.0	-1.6	0.11	1.9	631.0	0.073	1.0
theta_pr[1,7]	-0.11	0.021	0.94	-1.6	-0.097	1.4	2103.0	0.24	1.0
theta_pr[1,8]	-0.05	0.011	0.95	-1.6	-0.051	1.5	8125.0	0.93	1.0
theta_pr[1,9]	0.07	0.035	1.0	-1.6	0.061	1.8	888.0	0.1	1.0
theta_pr[1,10]	-0.11	0.02	0.94	-1.6	-0.1	1.4	2226.0	0.26	1.0
theta_pr[1,11]	-0.029	0.013	0.94	-1.6	0.0025	1.5	5101.0	0.59	1.0
theta_pr[1,12]	-0.085	0.0099	0.94	-1.7	-0.062	1.5	9081.0	1.0	1.0
theta_pr[1,13]	-0.1	0.0093	0.92	-1.6	-0.12	1.4	9865.0	1.1	1.0
theta_pr[1,14]	-0.04	0.018	0.98	-1.7	-0.045	1.5	3005.0	0.35	1.0
theta_pr[1,15]	-0.04	0.019	0.98	-1.7	-0.0067	1.5	2564.0	0.29	1.0
theta_pr[1,16]	0.091	0.017	1.0	-1.6	0.088	1.7	3625.0	0.42	1.0
theta_pr[1,17]	-0.047	0.031	0.97	-1.7	-0.037	1.5	951.0	0.11	1.0
theta_pr[1,18]	-0.14	0.032	0.96	-1.7	-0.12	1.4	901.0	0.1	1.0
theta_pr[1,19]	-0.16	0.072	1.1	-2.0	-0.098	1.5	213.0	0.025	1.0
theta_pr[1,20]	-0.11	0.01	0.94	-1.7	-0.11	1.4	8356.0	0.96	1.0
theta_pr[1,21]	0.12	0.013	1.0	-1.5	0.096	1.8	5844.0	0.67	1.0
theta_pr[1,22]	0.12	0.016	1.0	-1.6	0.15	1.8	4016.0	0.46	1.0
theta_pr[1,23]	-0.022	0.081	1.1	-1.7	-0.069	1.7	175.0	0.02	1.0
theta_pr[1,24]	-0.094	0.012	0.96	-1.7	-0.11	1.5	6750.0	0.78	1.0
theta_pr[1,25]	-0.034	0.017	0.96	-1.7	0.00054	1.5	3142.0	0.36	1.0
theta_pr[1,26]	0.042	0.035	1.0	-1.7	0.072	1.7	870.0	0.1	1.0
theta_pr[1,27]	-0.047	0.011	0.96	-1.6	-0.061	1.5	6950.0	0.8	1.0
theta_pr[1,28]	-0.022	0.064	1.1	-1.9	0.016	1.7	284.0	0.033	1.0
theta_pr[1,29]	-0.052	0.01	0.96	-1.6	-0.074	1.5	8908.0	1.0	1.0
theta_pr[1,30]	0.0063	0.057	1.0	-1.6	-0.0029	1.7	310.0	0.036	1.0
theta_pr[1,31]	-0.083	0.0094	0.97	-1.7	-0.072	1.5	10606.0	1.2	1.0
theta_pr[1,32]	0.009	0.015	0.97	-1.6	-0.00087	1.6	4349.0	0.5	1.0
theta_pr[1,33]	0.25	0.018	1.0	-1.4	0.25	2.0	3440.0	0.4	1.0
theta_pr[1,34]	0.52	0.039	1.2	-1.5	0.53	2.4	952.0	0.11	1.0
theta_pr[1,35]	-0.068	0.022	0.97	-1.7	-0.051	1.5	1879.0	0.22	1.0
theta_pr[1,36]	0.036	0.013	0.99	-1.6	0.044	1.7	6227.0	0.72	1.0
theta_pr[1,37]	-0.0011	0.013	0.97	-1.6	0.036	1.6	5319.0	0.61	1.0
theta_pr[1,38]	-0.076	0.011	0.95	-1.7	-0.047	1.5	7894.0	0.91	1.0
theta_pr[1,39]	-0.089	0.035	0.98	-1.7	-0.075	1.5	785.0	0.09	1.0
theta_pr[1,40]	0.11	0.013	1.0	-1.6	0.13	1.8	6054.0	0.7	1.0
theta_pr[1,41]	-0.096	0.047	1.0	-1.9	-0.068	1.5	460.0	0.053	1.0
theta_pr[1,42]	0.4	0.027	1.1	-1.5	0.44	2.2	1743.0	0.2	1.0
theta_pr[1,43]	0.0035	0.011	0.96	-1.6	0.039	1.6	7278.0	0.84	1.0
theta_pr[1,44]	-0.069	0.014	0.97	-1.7	-0.076	1.5	4580.0	0.53	1.0
theta_pr[1,45]	0.011	0.013	0.98	-1.6	0.042	1.6	5994.0	0.69	1.0
theta_pr[1,46]	0.055	0.056	1.1	-1.6	0.039	1.9	355.0	0.041	1.0
theta_pr[1,47]	0.062	0.017	1.0	-1.6	0.058	1.7	3598.0	0.41	1.0
theta_pr[1,48]	-0.076	0.0099	0.95	-1.7	-0.042	1.5	9244.0	1.1	1.0
theta_pr[1,49]	-0.029	0.022	0.97	-1.6	-0.011	1.5	1945.0	0.22	1.0
theta_pr[1,50]	-0.075	0.01	0.93	-1.6	-0.093	1.4	8608.0	0.99	1.0
theta_pr[1,51]	-0.00048	0.011	0.97	-1.6	0.028	1.6	7877.0	0.91	1.0
theta_pr[1,52]	-0.098	0.021	0.95	-1.6	-0.09	1.4	2043.0	0.23	1.0
theta_pr[1,53]	-0.093	0.015	0.98	-1.7	-0.099	1.5	4525.0	0.52	1.0
theta_pr[1,54]	-0.087	0.0094	0.96	-1.7	-0.049	1.5	10541.0	1.2	1.0
theta_pr[1,55]	-0.035	0.012	0.98	-1.7	-0.0019	1.6	6522.0	0.75	1.0
theta_pr[1,56]	0.2	0.025	1.1	-1.6	0.21	1.9	1828.0	0.21	1.0
theta_pr[1,57]	0.03	0.065	1.1	-1.7	-0.0028	1.9	263.0	0.03	1.0
theta_pr[1,58]	-0.03	0.011	0.98	-1.7	-0.02	1.6	8215.0	0.94	1.0
theta_pr[1,59]	0.089	0.024	1.0	-1.7	0.078	1.8	1960.0	0.23	1.0
theta_pr[1,60]	0.14	0.02	1.0	-1.6	0.15	1.8	2820.0	0.32	1.0
theta_pr[1,61]	-0.052	0.0099	0.95	-1.6	-0.032	1.5	9113.0	1.0	1.0
theta_pr[1,62]	-0.067	0.022	0.94	-1.7	-0.043	1.4	1843.0	0.21	1.0
theta_pr[1,63]	0.17	0.018	1.1	-1.6	0.17	1.9	3527.0	0.41	1.0
theta_pr[1,64]	0.023	0.016	0.99	-1.7	0.065	1.6	3652.0	0.42	1.0
theta_pr[1,65]	-0.1	0.021	0.96	-1.7	-0.11	1.5	2204.0	0.25	1.0
theta_pr[1,66]	-0.15	0.041	0.98	-1.8	-0.12	1.4	571.0	0.066	1.0
theta_pr[1,67]	0.016	0.013	0.99	-1.6	-0.0041	1.6	5650.0	0.65	1.0
theta_pr[1,68]	-0.035	0.02	0.97	-1.7	-0.014	1.5	2269.0	0.26	1.0
theta_pr[1,69]	-0.075	0.024	0.94	-1.6	-0.067	1.4	1525.0	0.18	1.0
theta_pr[1,70]	0.015	0.025	1.0	-1.6	0.036	1.6	1610.0	0.19	1.0
theta_pr[1,71]	-0.14	0.036	0.95	-1.7	-0.11	1.4	690.0	0.079	1.0
theta_pr[1,72]	0.18	0.021	1.1	-1.6	0.2	1.9	2635.0	0.3	1.0
theta_pr[1,73]	0.27	0.022	1.1	-1.5	0.3	2.0	2400.0	0.28	1.0
theta_pr[1,74]	-0.0042	0.012	0.98	-1.6	0.0062	1.6	6610.0	0.76	1.0
theta_pr[1,75]	0.16	0.015	1.0	-1.6	0.18	1.9	5061.0	0.58	1.0
theta_pr[1,76]	-0.05	0.01	0.95	-1.6	-0.033	1.5	9141.0	1.1	1.0
theta_pr[1,77]	-0.031	0.014	0.95	-1.6	0.0082	1.5	4411.0	0.51	1.0
theta_pr[1,78]	-0.034	0.012	0.99	-1.7	-0.051	1.6	6641.0	0.76	1.0
theta_pr[1,79]	-0.041	0.068	1.0	-1.7	-0.071	1.7	227.0	0.026	1.0
theta_pr[1,80]	0.2	0.018	1.1	-1.6	0.22	1.9	3405.0	0.39	1.0
theta_pr[1,81]	0.0064	0.012	0.95	-1.6	0.046	1.5	5976.0	0.69	1.0
