subject	session	block	trial	exposure	valence	action	robot	correct	choice	rt	accuracy	sham	outcome	Y_hat	Y_pred	waic
09byk3dg92is9b06rwaybmoh	3	1	3	1	1	go	GW	1	1	0.7759999999999999	1	0.0	1	0.4997	0.5	0.4054651081081644
09byk3dg92is9b06rwaybmoh	3	1	7	2	1	go	GW	1	0		0	0.0	0	0.4967	0.5095120740557689	0.4114005139612361
09byk3dg92is9b06rwaybmoh	3	1	9	3	1	go	GW	1	1	1.079	1	0.0	1	0.5034	0.5006897015550181	0.4059134459531304
09byk3dg92is9b06rwaybmoh	3	1	15	4	1	go	GW	1	1	0.907	1	0.0	1	0.4954	0.49121737273584243	0.39906071874895727
09byk3dg92is9b06rwaybmoh	3	1	18	5	1	go	GW	1	1	0.865	1	0.0	1	0.4848	0.4832427783102722	0.3928078678084862
09byk3dg92is9b06rwaybmoh	3	1	24	6	1	go	GW	1	0		0	0.0	0	0.478	0.523647775897369	0.41956035298292754
09byk3dg92is9b06rwaybmoh	3	1	26	7	1	go	GW	1	1	0.928	1	0.0	1	0.4842	0.4840067430281935	0.3933385845599699
09byk3dg92is9b06rwaybmoh	3	1	31	8	1	go	GW	1	1	0.5660000000000001	1	1.0	0	0.477	0.47711947262555493	0.38772190013069946
09byk3dg92is9b06rwaybmoh	3	1	34	9	1	go	GW	1	1	0.893	1	0.0	1	0.4627	0.4704487187534374	0.38221015851988166
09byk3dg92is9b06rwaybmoh	3	1	38	10	1	go	GW	1	1	1.156	1	0.0	1	0.4684	0.46507767379960324	0.3776079446350428
09byk3dg92is9b06rwaybmoh	3	1	43	11	1	go	GW	1	1	0.743	1	0.0	1	0.4534	0.46024834554525823	0.3734131183150921
09byk3dg92is9b06rwaybmoh	3	1	48	12	1	go	GW	1	1	0.89	1	0.0	1	0.4585	0.4558677464466127	0.36956989470018337
09byk3dg92is9b06rwaybmoh	3	2	154	1	0	no-go	NGAL	0	0		1	0.0	1	0.5061	0.5	0.4054651081081644
09byk3dg92is9b06rwaybmoh	3	2	158	2	0	no-go	NGAL	0	0		1	0.0	1	0.501	0.490487925944231	0.3985596867757631
09byk3dg92is9b06rwaybmoh	3	2	162	3	0	no-go	NGAL	0	1	0.929	0	0.0	0	0.5164	0.5175017300537009	0.41609471233609413
09byk3dg92is9b06rwaybmoh	3	2	165	4	0	no-go	NGAL	0	0		1	1.0	0	0.5151	0.4912173727358423	0.39906071874895727
09byk3dg92is9b06rwaybmoh	3	2	170	5	0	no-go	NGAL	0	0		1	0.0	1	0.5145	0.4825950137896296	0.39235205851101956
09byk3dg92is9b06rwaybmoh	3	2	175	6	0	no-go	NGAL	0	1	0.847	0	0.0	0	0.5218	0.5242717014778127	0.4199560274214739
