subject	session	block	trial	exposure	valence	action	robot	correct	choice	rt	accuracy	sham	outcome	Y_hat	Y_pred	waic
02lqpjp4pevk73p8f7ipewf9	1	2	196	1	0	go	GAL	1	0		0	0.0	0	0.3849	0.6023518033976237	-0.5119455793421368
02lqpjp4pevk73p8f7ipewf9	1	2	198	2	0	go	GAL	1	0		0	0.0	0	0.4797	0.5214532620202839	-0.6613648747324941
02lqpjp4pevk73p8f7ipewf9	1	2	202	3	0	go	GAL	1	1	1.04	1	0.0	1	0.5011	0.5103998948834046	-0.6836462476521925
02lqpjp4pevk73p8f7ipewf9	1	2	207	4	0	go	GAL	1	0		0	0.0	0	0.5888	0.4094352224837597	-0.9226240617540297
02lqpjp4pevk73p8f7ipewf9	1	2	209	5	0	go	GAL	1	0		0	0.0	0	0.599	0.3943642022967196	-0.9602655631046939
02lqpjp4pevk73p8f7ipewf9	1	2	216	6	0	go	GAL	1	0		0	0.0	0	0.6071	0.38550148041239946	-0.982707654416647
02lqpjp4pevk73p8f7ipewf9	1	2	220	7	0	go	GAL	1	0		0	0.0	0	0.6272	0.37952729440036076	-0.9984411188873353
02lqpjp4pevk73p8f7ipewf9	1	2	224	8	0	go	GAL	1	0		0	0.0	0	0.6243	0.3750900383739041	-1.0109771148734048
02lqpjp4pevk73p8f7ipewf9	1	2	228	9	0	go	GAL	1	1	1.076	1	0.0	1	0.6257	0.6284313010877728	-0.47548301943501053
02lqpjp4pevk73p8f7ipewf9	1	2	231	10	0	go	GAL	1	1	0.873	1	1.0	0	0.6669	0.6569119789774108	-0.4314796648032846
02lqpjp4pevk73p8f7ipewf9	1	2	234	11	0	go	GAL	1	1	1.081	1	0.0	1	0.5126	0.5152691390371295	-0.6870882838315069
02lqpjp4pevk73p8f7ipewf9	1	2	238	12	0	go	GAL	1	1	1.177	1	0.0	1	0.6215	0.6218722221577567	-0.4867649946698369
02lqpjp4pevk73p8f7ipewf9	1	2	124	1	0	no-go	NGAL	0	1	1.083	0	1.0	1	0.3929	0.3976481966023764	-0.9337224188144428
02lqpjp4pevk73p8f7ipewf9	1	2	125	2	0	no-go	NGAL	0	1	0.391	0	0.0	0	0.4847	0.4785467379797161	-0.7490784893631389
02lqpjp4pevk73p8f7ipewf9	1	2	130	3	0	no-go	NGAL	0	0		1	0.0	1	0.3423	0.6489926993463582	-0.4378619167449149
02lqpjp4pevk73p8f7ipewf9	1	2	134	4	0	no-go	NGAL	0	0		1	0.0	1	0.2804	0.7181301553802312	-0.3375693555275531
