name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
mu_pr[1]	1.77	0.00611	0.191	1.47	1.76	2.1	982.0	0.0448	1.0
mu_pr[2]	0.0715	0.000232	0.0112	0.0529	0.0716	0.0898	2330.0	0.106	1.0
mu_pr[3]	-0.839	0.00243	0.0971	-0.997	-0.84	-0.68	1599.0	0.073	1.0
mu_pr[4]	0.442	0.000802	0.0475	0.365	0.441	0.522	3514.0	0.16	1.0
theta_pr[1,1]	0.523	0.0101	0.774	-0.621	0.456	1.88	5894.0	0.269	1.0
theta_pr[1,2]	-0.343	0.00745	0.528	-0.956	-0.465	0.704	5025.0	0.229	1.0
theta_pr[1,3]	0.709	0.00755	0.452	0.0444	0.665	1.52	3578.0	0.163	1.0
theta_pr[1,4]	0.375	0.0158	0.992	-1.09	0.331	2.08	3963.0	0.181	1.0
theta_pr[1,5]	-0.509	0.00972	0.533	-1.05	-0.642	0.565	3004.0	0.137	1.0
theta_pr[1,6]	-0.816	0.00418	0.167	-1.09	-0.816	-0.545	1596.0	0.0728	1.0
theta_pr[1,7]	0.0876	0.00817	0.592	-0.68	-0.0248	1.22	5252.0	0.24	1.0
theta_pr[1,8]	0.86	0.0152	0.898	-0.41	0.765	2.47	3473.0	0.158	1.0
theta_pr[1,9]	1.09	0.00805	0.528	0.297	1.05	2.02	4305.0	0.196	1.0
theta_pr[1,10]	-0.393	0.00478	0.213	-0.73	-0.401	-0.0297	1976.0	0.0902	1.0
theta_pr[1,11]	1.42	0.00768	0.582	0.541	1.37	2.43	5742.0	0.262	1.0
theta_pr[1,12]	-0.983	0.0118	0.423	-1.39	-1.05	-0.415	1294.0	0.0591	1.0
theta_pr[1,13]	-1.13	0.0131	0.375	-1.48	-1.18	-0.737	820.0	0.0374	1.01
theta_pr[1,14]	0.345	0.0105	0.711	-0.558	0.204	1.7	4583.0	0.209	1.0
theta_pr[1,15]	-1.24	0.0157	0.442	-1.59	-1.29	-0.927	789.0	0.036	1.01
theta_pr[1,16]	0.336	0.00686	0.507	-0.357	0.264	1.3	5448.0	0.249	1.0
theta_pr[1,17]	-0.0628	0.0142	0.862	-1.11	-0.278	1.63	3664.0	0.167	1.0
theta_pr[1,18]	0.524	0.00923	0.745	-0.559	0.454	1.86	6516.0	0.297	1.0
theta_pr[1,19]	-0.309	0.0124	0.692	-1.01	-0.526	1.23	3134.0	0.143	1.0
theta_pr[1,20]	0.768	0.0068	0.484	0.0733	0.716	1.65	5068.0	0.231	1.0
theta_pr[1,21]	0.171	0.0159	0.967	-1.07	-0.0162	1.96	3693.0	0.169	1.0
theta_pr[1,22]	-0.781	0.00465	0.222	-1.1	-0.796	-0.415	2273.0	0.104	1.0
theta_pr[1,23]	0.0574	0.00755	0.386	-0.454	0.00636	0.714	2622.0	0.12	1.0
theta_pr[1,24]	0.534	0.00913	0.757	-0.543	0.452	1.89	6874.0	0.314	1.0
theta_pr[1,25]	-0.896	0.0051	0.227	-1.23	-0.911	-0.53	1977.0	0.0902	1.0
theta_pr[1,26]	0.563	0.00712	0.584	-0.237	0.476	1.65	6739.0	0.308	1.0
theta_pr[1,27]	-0.372	0.0166	0.976	-1.37	-0.736	1.68	3466.0	0.158	1.0
theta_pr[1,28]	-0.402	0.0288	1.2	-1.53	-1.03	1.98	1728.0	0.0789	1.0
theta_pr[1,29]	-0.232	0.0378	1.31	-1.42	-0.946	2.41	1199.0	0.0547	1.0
theta_pr[1,30]	-1.0	0.00402	0.166	-1.27	-1.0	-0.725	1706.0	0.0778	1.0
theta_pr[1,31]	0.259	0.00936	0.717	-0.697	0.148	1.58	5868.0	0.268	1.0
theta_pr[1,32]	0.393	0.0103	0.8	-0.751	0.3	1.83	6089.0	0.278	1.0
theta_pr[1,33]	-0.304	0.00543	0.307	-0.733	-0.338	0.234	3184.0	0.145	1.0
theta_pr[1,34]	-0.659	0.0061	0.344	-1.08	-0.713	-0.069	3188.0	0.145	1.0
theta_pr[1,35]	1.11	0.00667	0.628	0.181	1.06	2.2	8850.0	0.404	1.0
theta_pr[1,36]	0.0365	0.007	0.527	-0.629	-0.0594	1.07	5681.0	0.259	1.0
theta_pr[1,37]	0.245	0.0071	0.486	-0.417	0.177	1.17	4692.0	0.214	1.0
theta_pr[1,38]	0.442	0.00757	0.582	-0.355	0.354	1.53	5915.0	0.27	1.0
theta_pr[1,39]	1.45	0.00855	0.537	0.638	1.42	2.4	3945.0	0.18	1.0
theta_pr[1,40]	-0.779	0.00429	0.169	-1.06	-0.78	-0.507	1551.0	0.0708	1.0
theta_pr[1,41]	-0.348	0.0134	0.77	-1.1	-0.614	1.37	3320.0	0.152	1.0
theta_pr[1,42]	-0.538	0.00546	0.274	-0.917	-0.571	-0.0593	2509.0	0.114	1.0
