name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
mu_pr[1]	1.79	0.00832	0.208	1.47	1.78	2.16	622.0	0.0236	1.01
mu_pr[2]	0.0952	0.000306	0.0141	0.0719	0.0951	0.119	2124.0	0.0804	1.0
mu_pr[3]	0.054	0.000247	0.0127	0.0334	0.054	0.0748	2649.0	0.1	1.0
mu_pr[4]	-0.793	0.00331	0.102	-0.964	-0.792	-0.628	945.0	0.0358	1.01
mu_pr[5]	0.313	0.000816	0.0487	0.233	0.313	0.394	3554.0	0.135	1.0
theta_pr[1,1]	0.389	0.0142	0.876	-0.985	0.362	1.9	3830.0	0.145	1.0
theta_pr[1,2]	-0.564	0.00825	0.439	-1.05	-0.667	0.308	2836.0	0.107	1.0
theta_pr[1,3]	0.686	0.00858	0.432	0.0435	0.648	1.47	2538.0	0.0961	1.0
theta_pr[1,4]	0.273	0.022	1.06	-1.29	0.268	2.03	2298.0	0.087	1.0
theta_pr[1,5]	-0.354	0.00899	0.557	-0.978	-0.494	0.786	3843.0	0.146	1.0
theta_pr[1,6]	-0.786	0.00539	0.17	-1.06	-0.786	-0.507	991.0	0.0375	1.01
theta_pr[1,7]	-0.0417	0.0102	0.68	-0.999	-0.137	1.2	4490.0	0.17	1.0
theta_pr[1,8]	0.67	0.013	0.77	-0.388	0.559	2.12	3502.0	0.133	1.0
theta_pr[1,9]	1.09	0.0103	0.507	0.339	1.05	1.98	2437.0	0.0923	1.0
theta_pr[1,10]	-0.385	0.00597	0.21	-0.718	-0.391	-0.029	1240.0	0.0469	1.01
theta_pr[1,11]	1.61	0.00963	0.606	0.694	1.57	2.66	3958.0	0.15	1.0
theta_pr[1,12]	-0.866	0.0118	0.505	-1.33	-0.984	0.145	1841.0	0.0697	1.0
theta_pr[1,13]	-1.07	0.0134	0.425	-1.44	-1.15	-0.543	1003.0	0.038	1.01
theta_pr[1,14]	0.395	0.00983	0.659	-0.476	0.277	1.64	4491.0	0.17	1.0
theta_pr[1,15]	-1.06	0.0254	0.659	-1.53	-1.22	0.466	673.0	0.0255	1.01
theta_pr[1,16]	0.344	0.00753	0.469	-0.316	0.284	1.19	3888.0	0.147	1.0
theta_pr[1,17]	0.286	0.0132	0.872	-0.952	0.185	1.84	4379.0	0.166	1.0
theta_pr[1,18]	0.393	0.0109	0.797	-0.791	0.326	1.81	5329.0	0.202	1.0
theta_pr[1,19]	-0.48	0.0107	0.513	-1.02	-0.607	0.569	2308.0	0.0874	1.0
theta_pr[1,20]	0.719	0.00828	0.459	0.0556	0.677	1.55	3072.0	0.116	1.0
theta_pr[1,21]	0.159	0.0165	0.921	-1.08	0.0229	1.85	3100.0	0.117	1.0
theta_pr[1,22]	-0.816	0.0054	0.202	-1.13	-0.824	-0.479	1394.0	0.0528	1.01
theta_pr[1,23]	-0.000564	0.00769	0.326	-0.458	-0.0347	0.562	1799.0	0.0681	1.0
theta_pr[1,24]	0.771	0.00944	0.744	-0.323	0.71	2.09	6211.0	0.235	1.0
theta_pr[1,25]	-0.984	0.0056	0.195	-1.29	-0.991	-0.662	1214.0	0.046	1.01
theta_pr[1,26]	0.523	0.00723	0.549	-0.24	0.444	1.55	5761.0	0.218	1.0
theta_pr[1,27]	0.59	0.019	1.02	-0.983	0.567	2.3	2858.0	0.108	1.0
theta_pr[1,28]	0.378	0.033	1.23	-1.37	0.451	2.34	1398.0	0.0529	1.0
theta_pr[1,29]	-0.121	0.0413	1.23	-1.35	-0.702	2.25	881.0	0.0334	1.0
theta_pr[1,30]	-0.961	0.00518	0.168	-1.23	-0.961	-0.686	1056.0	0.04	1.01
theta_pr[1,31]	0.375	0.0104	0.748	-0.672	0.282	1.75	5151.0	0.195	1.0
theta_pr[1,32]	0.807	0.0104	0.805	-0.459	0.772	2.2	5946.0	0.225	1.0
theta_pr[1,33]	-0.281	0.00662	0.304	-0.728	-0.309	0.256	2105.0	0.0797	1.0
theta_pr[1,34]	-0.572	0.00789	0.412	-1.04	-0.655	0.227	2728.0	0.103	1.0
theta_pr[1,35]	1.05	0.00745	0.578	0.184	1.01	2.05	6025.0	0.228	1.0
theta_pr[1,36]	0.331	0.00939	0.6	-0.457	0.232	1.47	4078.0	0.154	1.0
theta_pr[1,37]	0.314	0.00814	0.517	-0.374	0.226	1.29	4033.0	0.153	1.0
theta_pr[1,38]	0.28	0.00774	0.557	-0.474	0.197	1.33	5183.0	0.196	1.0
theta_pr[1,39]	1.37	0.011	0.527	0.567	1.33	2.31	2284.0	0.0865	1.0
theta_pr[1,40]	-0.755	0.00573	0.17	-1.03	-0.756	-0.469	877.0	0.0332	1.01
theta_pr[1,41]	-0.123	0.0136	0.761	-0.986	-0.343	1.44	3125.0	0.118	1.0
theta_pr[1,42]	-0.537	0.00615	0.262	-0.91	-0.564	-0.0754	1816.0	0.0688	1.0
theta_pr[1,43]	-0.168	0.0201	0.942	-1.29	-0.404	1.63	2200.0	0.0833	1.0
theta_pr[1,44]	-1.14	0.0154	0.373	-1.47	-1.18	-0.82	589.0	0.0223	1.01
theta_pr[1,45]	0.972	0.00779	0.625	0.0465	0.919	2.09	6424.0	0.243	1.0
theta_pr[1,46]	0.298	0.0144	0.837	-0.917	0.21	1.81	3368.0	0.128	1.0
theta_pr[1,47]	0.0428	0.0253	0.99	-1.19	-0.0332	1.75	1536.0	0.0582	1.0
theta_pr[1,48]	-0.811	0.00812	0.307	-1.17	-0.853	-0.361	1431.0	0.0542	1.01
theta_pr[1,49]	-0.473	0.00874	0.5	-1.04	-0.585	0.508	3273.0	0.124	1.0
theta_pr[1,50]	-0.402	0.025	0.996	-1.4	-0.813	1.67	1583.0	0.0599	1.0
theta_pr[1,51]	-0.232	0.00902	0.57	-0.895	-0.364	0.932	3995.0	0.151	1.0
theta_pr[1,52]	0.0608	0.0072	0.308	-0.394	0.0362	0.595	1836.0	0.0695	1.0
theta_pr[1,53]	-0.954	0.0427	1.04	-1.69	-1.34	1.65	592.0	0.0224	1.0
theta_pr[1,54]	0.123	0.0134	0.841	-1.05	0.0246	1.64	3948.0	0.15	1.0
theta_pr[1,55]	1.73	0.0105	0.575	0.851	1.7	2.75	3001.0	0.114	1.0
theta_pr[1,56]	-0.406	0.00863	0.491	-0.974	-0.515	0.549	3230.0	0.122	1.0
