name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-1.54e+04,1.17,32,-1.55e+04,-1.54e+04,-1.53e+04,741,0.0876,1.01
"accept_stat__",0.915,0.011,0.104,0.709,0.951,0.997,89.4,0.0106,1.02
"stepsize__",0.0313,0.00209,0.00296,0.0287,0.0302,0.0363,2.01,0.000237,2.99e+13
"treedepth__",7,nan,1.21e-13,7,7,7,nan,nan,nan
"n_leapfrog__",127,nan,1.81e-12,127,127,127,nan,nan,nan
"divergent__",0,nan,0,0,0,0,nan,nan,nan
"energy__",1.59e+04,1.46,39.6,1.59e+04,1.59e+04,1.6e+04,740,0.0875,1
"mu_pr[1,1]",1.98,0.0149,0.233,1.63,1.97,2.38,244,0.0289,1.01
"mu_pr[1,2]",2.10,0.0150,0.233,1.74,2.09,2.50,242,0.0287,1.01
"mu_pr[2,1]",0.0438,0.000458,0.0149,0.0193,0.0437,0.0681,1061,0.126,1.00
"mu_pr[2,2]",0.0596,0.000488,0.0151,0.0346,0.0596,0.0853,958,0.113,1.00
"mu_pr[3,1]",0.0544,0.000458,0.0184,0.0241,0.0545,0.0850,1624,0.192,1.00
"mu_pr[3,2]",0.0411,0.000487,0.0192,0.00994,0.0412,0.0724,1552,0.184,1.00
"mu_pr[4,1]",-0.856,0.00414,0.106,-1.03,-0.855,-0.686,655,0.0775,1.01
"mu_pr[4,2]",-0.907,0.00460,0.106,-1.08,-0.905,-0.734,537,0.0635,1.01
"mu_pr[5,1]",0.282,0.00157,0.0602,0.185,0.280,0.386,1478,0.175,1.00
"mu_pr[5,2]",0.275,0.00199,0.0626,0.172,0.275,0.378,993,0.117,1.01
"theta_c_pr[1,1]",0.402,0.0230,0.866,-0.954,0.381,1.86,1420,0.168,1.00
"theta_c_pr[1,2]",-0.563,0.0115,0.314,-1.00,-0.600,-0.0169,749,0.0886,1.00
"theta_c_pr[1,3]",0.580,0.0132,0.436,-0.0557,0.535,1.34,1084,0.128,1.00
"theta_c_pr[1,4]",0.122,0.0391,1.07,-1.33,0.0785,1.93,755,0.0893,1.01
"theta_c_pr[1,5]",-0.312,0.0128,0.508,-0.938,-0.406,0.679,1574,0.186,1.00
"theta_c_pr[1,6]",-0.828,0.00844,0.166,-1.10,-0.828,-0.557,386,0.0456,1.01
"theta_c_pr[1,7]",-0.133,0.0197,0.639,-1.04,-0.196,1.01,1050,0.124,1.00
"theta_c_pr[1,8]",0.862,0.0188,0.724,-0.246,0.820,2.12,1488,0.176,1.00
"theta_c_pr[1,9]",0.952,0.0159,0.511,0.200,0.902,1.85,1029,0.122,1.00
"theta_c_pr[1,10]",-0.489,0.00973,0.201,-0.801,-0.498,-0.153,428,0.0506,1.01
"theta_c_pr[1,11]",1.54,0.0152,0.592,0.639,1.50,2.58,1520,0.180,1.00
"theta_c_pr[1,12]",-0.816,0.0253,0.600,-1.38,-0.986,0.505,564,0.0667,1.01
"theta_c_pr[1,13]",-0.470,0.0364,0.915,-1.40,-0.843,1.41,630,0.0746,1.00
"theta_c_pr[1,14]",0.798,0.0186,0.737,-0.363,0.756,2.08,1571,0.186,1.000
"theta_c_pr[1,15]",-0.867,0.0440,0.857,-1.53,-1.17,1.22,378,0.0448,1.01
"theta_c_pr[1,16]",0.210,0.0113,0.441,-0.412,0.161,0.992,1511,0.179,1.00
"theta_c_pr[1,17]",0.507,0.0220,0.898,-0.881,0.476,2.04,1671,0.198,1.00
"theta_c_pr[1,18]",0.859,0.0249,0.808,-0.556,0.879,2.14,1055,0.125,1.00
"theta_c_pr[1,19]",-0.578,0.0114,0.416,-1.06,-0.666,0.203,1324,0.157,1.00
"theta_c_pr[1,20]",0.668,0.0152,0.493,-0.0283,0.615,1.57,1057,0.125,1.00
"theta_c_pr[1,21]",0.0621,0.0256,0.862,-1.11,-0.0451,1.62,1130,0.134,1.01
"theta_c_pr[1,22]",-0.872,0.0107,0.228,-1.19,-0.892,-0.495,457,0.0540,1.01
"theta_c_pr[1,23]",-0.0716,0.0101,0.314,-0.519,-0.100,0.457,967,0.114,1.00
"theta_c_pr[1,24]",1.19,0.0143,0.712,0.0519,1.16,2.40,2476,0.293,1.00
"theta_c_pr[1,25]",-1.04,0.00917,0.195,-1.34,-1.05,-0.735,451,0.0534,1.00
"theta_c_pr[1,26]",0.578,0.0132,0.591,-0.260,0.511,1.64,2013,0.238,1.00
"theta_c_pr[1,27]",0.678,0.0315,1.03,-0.990,0.703,2.36,1071,0.127,1.00
"theta_c_pr[1,28]",0.155,0.0585,1.22,-1.43,0.149,2.17,437,0.0517,1.01
"theta_c_pr[1,29]",0.00959,0.0578,1.20,-1.32,-0.422,2.26,434,0.0514,1.01
"theta_c_pr[1,30]",-1.01,0.00805,0.167,-1.29,-1.01,-0.741,431,0.0510,1.00
"theta_c_pr[1,31]",0.741,0.0286,0.681,-0.364,0.710,1.88,565,0.0668,1.01
"theta_c_pr[1,32]",0.968,0.0160,0.788,-0.290,0.956,2.32,2417,0.286,1.00
