Param,Type,Group,Mean,2.5%,97.5%
b1,sh,0,0.942949,0.925661,0.955685
b1,sh,1,0.927912,0.895799,0.951157
b1,sh,2,0.972347,0.958248,0.982373
b1,sh,3,0.928587,0.89053,0.954653
b2,sh,0,0.783237,0.728305,0.831014
b2,sh,1,0.817802,0.748281,0.870456
b2,sh,2,0.546652,0.391751,0.679477
b2,sh,3,0.985258,0.977368,0.990512
b3,sh,0,0.70264,0.643702,0.753789
b3,sh,1,0.581037,0.463841,0.690106
b3,sh,2,0.741972,0.64507,0.816867
b3,sh,3,0.784912,0.68713,0.857292
b4,sh,0,0.701428,0.643093,0.755265
b4,sh,1,0.547865,0.405973,0.671782
b4,sh,2,0.824323,0.755398,0.879861
b4,sh,3,0.732095,0.635216,0.810254
a1,sh,0,0.826563,0.778981,0.862419
a1,sh,1,0.731936,0.622017,0.814905
a1,sh,2,0.844439,0.772884,0.896625
a1,sh,3,0.903315,0.840614,0.941742
a2,sh,0,0.969367,0.95562,0.978948
a2,sh,1,0.992424,0.989615,0.994587
a2,sh,2,0.985946,0.974779,0.991645
a2,sh,3,0.92973,0.890679,0.957878
c1,sh,0,0.803757,0.749599,0.847314
c1,sh,1,0.751002,0.63322,0.839142
c1,sh,2,0.868567,0.807536,0.914959
c1,sh,3,0.791704,0.692134,0.868239
b1,trt,0,0.988646,0.984311,0.991516
b1,trt,1,0.979484,0.968288,0.986941
b1,trt,2,0.988002,0.981611,0.992046
b1,trt,3,0.998451,0.997523,0.999069
b2,trt,0,0.962778,0.949203,0.972632
b2,trt,1,0.919602,0.881376,0.947171
b2,trt,2,0.974897,0.962212,0.984365
b2,trt,3,0.993834,0.99018,0.996391
b3,trt,0,0.696072,0.622105,0.765444
b3,trt,1,0.600715,0.438763,0.741471
b3,trt,2,0.606254,0.449458,0.746348
b3,trt,3,0.881247,0.812448,0.929143
b4,trt,0,0.729283,0.669091,0.778471
b4,trt,1,0.760711,0.659296,0.835418
b4,trt,2,0.69856,0.584979,0.782341
b4,trt,3,0.728578,0.62422,0.809596
a1,trt,0,0.861131,0.816714,0.897545
a1,trt,1,0.984412,0.975963,0.99009
a1,trt,2,0.675783,0.549158,0.781752
a1,trt,3,0.923198,0.884719,0.950183
a2,trt,0,0.767849,0.710351,0.81476
a2,trt,1,0.777165,0.683937,0.849612
a2,trt,2,0.675285,0.551136,0.776567
a2,trt,3,0.851096,0.766514,0.906322
c1,trt,0,0.779689,0.693771,0.843508
c1,trt,1,0.895055,0.849798,0.938984
c1,trt,2,0.712196,0.534492,0.836579
c1,trt,3,0.731817,0.535104,0.851939
