Param,Type,Group,Mean,2.5%,97.5%
b1,sh,0,-0.019033,-0.040681,0.000608
b1,sh,1,0.026042,-0.016089,0.073104
b1,sh,2,-0.012948,-0.027238,-0.000509
b1,sh,3,-0.070192,-0.108792,-0.043836
b2,sh,0,-0.199333,-0.257812,-0.151927
b2,sh,1,-0.171319,-0.239272,-0.121479
b2,sh,2,-0.445964,-0.61468,-0.313995
b2,sh,3,0.019285,0.001455,0.03863
b3,sh,0,-0.033795,-0.105089,0.042382
b3,sh,1,0.099865,-0.073185,0.28554
b3,sh,2,-0.053671,-0.171981,0.07303
b3,sh,3,-0.147579,-0.241545,-0.06122
b4,sh,0,-0.054707,-0.147699,0.04363
b4,sh,1,0.253707,-0.010523,0.522489
b4,sh,2,-0.16886,-0.244938,-0.112743
b4,sh,3,-0.248969,-0.348891,-0.159682
a1,sh,0,0.360207,0.252373,0.477666
a1,sh,1,0.241811,-0.011892,0.549925
a1,sh,2,-0.094714,-0.163992,-0.037181
a1,sh,3,0.933525,0.735468,1.116097
a2,sh,0,0.319929,0.251154,0.39255
a2,sh,1,0.613854,0.479637,0.763068
a2,sh,2,0.392935,0.221179,0.577055
a2,sh,3,-0.047001,-0.085282,-0.013739
c1,sh,0,0.17815,0.020194,0.27362
c1,sh,1,0.071714,-0.171256,0.200695
c1,sh,2,0.486094,0.125624,0.621444
c1,sh,3,-0.023358,-0.168265,0.229567
b1,trt,0,0.125182,0.101088,0.152482
b1,trt,1,0.139373,0.099804,0.184512
b1,trt,2,0.215579,0.156492,0.292848
b1,trt,3,0.020593,0.011762,0.032227
b2,trt,0,-0.009815,-0.025066,0.004245
b2,trt,1,-0.060294,-0.09349,-0.031289
b2,trt,2,0.035105,0.009195,0.064389
b2,trt,3,-0.004257,-0.008407,-0.001541
b3,trt,0,0.317536,0.185065,0.445826
b3,trt,1,0.179101,-0.109506,0.427037
b3,trt,2,0.180598,-0.066745,0.380645
b3,trt,3,0.59291,0.418339,0.788294
b4,trt,0,0.227127,0.126061,0.315447
b4,trt,1,0.413742,0.242437,0.603659
b4,trt,2,0.276943,0.102952,0.444367
b4,trt,3,-0.009304,-0.147163,0.127938
a1,trt,0,0.415287,0.2936,0.530919
a1,trt,1,0.640016,0.429725,0.805413
a1,trt,2,0.29446,0.087794,0.488401
a1,trt,3,0.311387,0.136879,0.546678
a2,trt,0,-0.078089,-0.150989,0.007885
a2,trt,1,-0.137001,-0.248328,-0.03893
a2,trt,2,-0.172599,-0.3391,0.004873
a2,trt,3,0.075333,-0.034411,0.243522
c1,trt,0,0.240493,0.087152,0.345867
c1,trt,1,0.165996,0.030659,0.319359
c1,trt,2,0.266986,-0.005072,0.48114
c1,trt,3,0.288498,0.005784,0.50207
