	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu[1]	11.5	0.0397	1.19	9.27	11.4	13.9	905.0	0.0412	1.01
b1_mu[2]	11.8	0.0388	1.2	9.55	11.8	14.2	953.0	0.0433	1.01
b2_mu[1]	12.1	0.0359	1.34	9.48	12.0	14.7	1398.0	0.0636	1.0
b2_mu[2]	12.2	0.0343	1.31	9.65	12.1	14.7	1464.0	0.0666	1.0
b3_mu[1]	1.08	0.00308	0.113	0.859	1.08	1.3	1337.0	0.0608	1.0
b3_mu[2]	0.957	0.00296	0.11	0.736	0.954	1.17	1390.0	0.0632	1.0
b4_mu[1]	0.115	0.00197	0.0815	-0.0521	0.115	0.271	1713.0	0.0779	1.0
b4_mu[2]	0.166	0.00205	0.0821	-0.00162	0.165	0.321	1598.0	0.0727	1.0
a1_mu[1]	0.282	0.000918	0.0323	0.218	0.282	0.342	1238.0	0.0563	1.0
a1_mu[2]	0.251	0.000854	0.0302	0.192	0.25	0.31	1248.0	0.0568	1.0
a2_mu[1]	0.218	0.00112	0.0338	0.152	0.216	0.282	908.0	0.0413	1.01
a2_mu[2]	0.231	0.00108	0.0343	0.165	0.229	0.298	1013.0	0.0461	1.01
c1_mu[1]	0.06	0.0004	0.0162	0.0303	0.0591	0.0935	1648.0	0.075	1.0
c1_mu[2]	0.0607	0.000365	0.0157	0.0322	0.0597	0.0932	1861.0	0.0846	1.0
sigma[1,1]	0.815	0.00253	0.107	0.626	0.806	1.04	1795.0	0.0816	1.0
sigma[2,1]	0.778	0.00245	0.106	0.593	0.769	0.998	1866.0	0.0849	1.0
sigma[3,1]	0.174	0.000441	0.0166	0.143	0.172	0.207	1421.0	0.0647	1.0
sigma[4,1]	0.121	0.000292	0.0121	0.0981	0.12	0.146	1713.0	0.0779	1.0
sigma[5,1]	0.584	0.0034	0.0923	0.417	0.579	0.768	736.0	0.0335	1.01
sigma[6,1]	0.755	0.0019	0.0848	0.596	0.75	0.927	1997.0	0.0908	1.0
sigma[7,1]	1.63	0.00417	0.198	1.27	1.61	2.05	2269.0	0.103	1.0
sigma[1,2]	0.0587	0.00127	0.0336	0.00277	0.0572	0.127	699.0	0.0318	1.0
sigma[2,2]	0.0971	0.00223	0.0485	0.0119	0.0918	0.202	474.0	0.0216	1.01
sigma[3,2]	0.0577	0.000221	0.00931	0.0398	0.0575	0.0759	1774.0	0.0807	1.0
sigma[4,2]	0.0577	0.000168	0.00768	0.0429	0.0574	0.0728	2100.0	0.0955	1.0
sigma[5,2]	0.167	0.00131	0.0392	0.0861	0.167	0.243	897.0	0.0408	1.0
sigma[6,2]	0.282	0.00119	0.0431	0.199	0.28	0.366	1310.0	0.0596	1.0
sigma[7,2]	0.707	0.00355	0.126	0.46	0.702	0.966	1264.0	0.0575	1.0
b1[1,1]	5.34	0.103	4.92	0.556	3.51	18.1	2270.0	0.103	1.0
b1[2,1]	5.77	0.104	4.89	0.948	3.94	18.7	2228.0	0.101	1.0
b1[1,2]	5.92	0.042	2.25	2.9	5.42	11.3	2888.0	0.131	1.0
b1[2,2]	6.31	0.0438	2.36	2.92	5.87	11.9	2915.0	0.133	1.0
b1[1,3]	19.7	0.0798	5.3	10.6	19.1	30.7	4403.0	0.2	1.0
b1[2,3]	20.1	0.0752	5.21	11.3	19.5	31.1	4797.0	0.218	1.0
b1[1,4]	5.25	0.115	5.29	-0.0694	3.35	18.6	2134.0	0.0971	1.0
b1[2,4]	5.83	0.109	5.13	0.42	4.09	18.9	2226.0	0.101	1.0
b1[1,5]	6.3	0.0348	2.01	3.51	5.9	11.0	3347.0	0.152	1.0
b1[2,5]	6.89	0.0349	2.06	3.89	6.52	11.7	3474.0	0.158	1.0
b1[1,6]	9.24	0.0963	4.18	4.38	8.08	20.1	1888.0	0.0859	1.0
b1[2,6]	9.22	0.104	4.39	4.25	7.86	20.7	1778.0	0.0809	1.0
b1[1,7]	9.95	0.0567	3.23	5.09	9.4	17.5	3239.0	0.147	1.0
b1[2,7]	9.97	0.0572	3.33	4.9	9.42	17.7	3393.0	0.154	1.0
b1[1,8]	20.0	0.0852	5.67	10.4	19.4	32.1	4428.0	0.201	1.0
b1[2,8]	20.3	0.0866	5.7	10.9	19.6	32.4	4328.0	0.197	1.0
b1[1,9]	20.1	0.0499	3.93	13.3	19.8	28.4	6205.0	0.282	1.0
b1[2,9]	20.3	0.0527	3.98	13.4	19.9	28.6	5709.0	0.26	1.0
b1[1,10]	5.78	0.0238	1.28	3.57	5.66	8.59	2912.0	0.132	1.0
b1[2,10]	6.74	0.0188	1.22	4.55	6.63	9.24	4197.0	0.191	1.0
b1[1,11]	19.0	0.0616	4.64	11.0	18.6	28.9	5683.0	0.259	1.0
b1[2,11]	19.3	0.0615	4.61	11.3	18.9	29.2	5621.0	0.256	1.0
b1[1,12]	8.49	0.117	5.41	2.87	6.64	22.6	2142.0	0.0974	1.0
b1[2,12]	8.73	0.121	5.54	2.58	6.97	23.0	2115.0	0.0962	1.0
b1[1,13]	1.33	0.141	3.98	-2.57	-0.174	12.5	800.0	0.0364	1.0
b1[2,13]	2.93	0.0978	3.23	0.65	1.83	12.4	1095.0	0.0498	1.0
b1[1,14]	26.4	0.0791	6.22	15.3	25.8	39.3	6180.0	0.281	0.999
b1[2,14]	26.4	0.0808	6.29	15.2	25.9	39.5	6049.0	0.275	0.999
b1[1,15]	11.3	0.109	5.82	2.64	10.3	24.1	2869.0	0.13	1.0
b1[2,15]	11.8	0.109	5.88	2.41	10.9	24.6	2938.0	0.134	1.0
b1[1,16]	13.6	0.13	5.88	3.22	13.2	26.1	2037.0	0.0926	1.0
b1[2,16]	14.1	0.106	5.43	5.8	13.4	25.9	2612.0	0.119	1.0
b1[1,17]	4.8	0.0734	3.18	1.83	3.79	13.2	1880.0	0.0855	1.0
b1[2,17]	5.05	0.075	3.29	1.75	4.05	13.7	1920.0	0.0873	1.0
b1[1,18]	6.42	0.0766	3.77	2.48	5.23	16.0	2418.0	0.11	1.0
b1[2,18]	6.79	0.0786	3.85	2.34	5.71	16.5	2393.0	0.109	1.0
b1[1,19]	11.6	0.0674	4.27	5.58	10.8	21.6	4010.0	0.182	1.0
b1[2,19]	11.6	0.0697	4.41	5.27	10.8	22.0	3997.0	0.182	1.0
b1[1,20]	18.1	0.07	5.12	9.59	17.5	29.3	5354.0	0.244	1.0
b1[2,20]	18.6	0.0664	5.02	10.4	17.9	29.5	5706.0	0.26	1.0
b1[1,21]	6.92	0.0798	3.6	2.61	6.04	15.9	2037.0	0.0927	1.0
b1[2,21]	7.28	0.0809	3.64	2.74	6.42	16.4	2031.0	0.0924	1.0
b1[1,22]	4.78	0.0422	1.75	2.76	4.42	8.73	1722.0	0.0783	1.0
b1[2,22]	5.05	0.0427	1.85	2.67	4.7	9.1	1880.0	0.0855	1.0
b1[1,23]	12.5	0.0633	3.84	6.47	11.9	21.2	3669.0	0.167	1.0
b1[2,23]	13.5	0.0555	3.66	7.79	12.9	21.8	4355.0	0.198	0.999
b1[1,24]	17.8	0.0743	5.7	8.3	17.1	29.7	5885.0	0.268	1.0
b1[2,24]	18.0	0.0752	5.76	8.45	17.4	30.0	5864.0	0.267	1.0
b1[1,25]	9.74	0.0692	3.8	4.71	8.95	18.5	3017.0	0.137	1.0
b1[2,25]	9.51	0.0756	4.04	3.94	8.72	18.6	2860.0	0.13	1.0
b1[1,26]	17.7	0.0594	4.53	10.3	17.2	27.8	5822.0	0.265	1.0
b1[2,26]	17.9	0.0604	4.56	10.2	17.3	27.8	5702.0	0.259	1.0
b1[1,27]	4.08	0.105	4.58	-0.566	2.45	16.3	1924.0	0.0875	1.0
b1[2,27]	4.53	0.104	4.54	0.0528	3.0	16.3	1914.0	0.0871	1.0
b1[1,28]	2.79	0.112	3.46	0.16	1.72	12.7	964.0	0.0439	1.0
b1[2,28]	2.91	0.113	3.58	0.273	1.75	12.8	999.0	0.0454	1.0
b1[1,29]	3.53	0.0499	1.7	1.66	3.12	7.29	1164.0	0.053	1.0
b1[2,29]	3.48	0.0507	1.73	1.56	3.08	7.43	1161.0	0.0528	1.0
b1[1,30]	11.9	0.0978	5.89	3.18	11.1	24.7	3627.0	0.165	1.0
b1[2,30]	12.7	0.0874	5.65	4.18	11.8	25.2	4173.0	0.19	1.0
b1[1,31]	16.2	0.0781	5.17	7.82	15.6	27.1	4373.0	0.199	1.0
b1[2,31]	15.9	0.0935	5.52	5.99	15.4	27.4	3490.0	0.159	1.0
b1[1,32]	17.0	0.0609	4.41	9.62	16.5	26.3	5235.0	0.238	1.0
b1[2,32]	17.4	0.058	4.4	9.94	17.0	26.7	5772.0	0.263	0.999
b1[1,33]	12.6	0.0588	3.91	6.41	12.0	21.3	4419.0	0.201	1.0
b1[2,33]	12.8	0.0594	3.93	6.66	12.2	21.4	4381.0	0.199	1.0
b1[1,34]	19.9	0.0732	5.54	11.1	19.1	32.1	5722.0	0.26	1.0
b1[2,34]	20.0	0.0739	5.63	10.9	19.2	32.3	5794.0	0.264	1.0
b1[1,35]	20.5	0.0635	4.91	12.2	20.0	31.1	5996.0	0.273	1.0
b1[2,35]	20.7	0.0658	4.95	12.3	20.2	31.5	5672.0	0.258	1.0
b1[1,36]	12.5	0.0821	4.53	5.24	11.9	22.0	3045.0	0.139	1.0
b1[2,36]	13.7	0.0644	4.24	7.09	13.2	22.8	4341.0	0.197	1.0
b1[1,37]	14.2	0.067	4.59	6.51	13.7	24.2	4696.0	0.214	1.0
b1[2,37]	14.6	0.0678	4.66	6.53	14.1	24.6	4715.0	0.214	1.0
b1[1,38]	21.2	0.0676	5.13	12.5	20.7	32.2	5767.0	0.262	1.0
b1[2,38]	21.8	0.064	5.02	13.4	21.2	32.4	6164.0	0.28	1.0
b1[1,39]	6.15	0.0173	1.2	4.12	6.02	8.59	4789.0	0.218	1.0
b1[2,39]	6.23	0.0193	1.35	3.92	6.1	9.0	4880.0	0.222	1.0
