subject,session,block,trial,exposure,stimulus,valence,action,robot,choice,accuracy,rt,outcome,Y_hat,Y_pred,pwaic,k_u,loo
09byk3dg92is9b06rwaybmoh,3,1,4,1,1,1,no-go,ngw,0,1,,1,0.646,0.343774,0.001779,-0.163488,0.342886
09byk3dg92is9b06rwaybmoh,3,1,5,2,1,1,no-go,ngw,1,0,0.763,0,0.555,0.554458,0.003352,-0.037392,0.552779
09byk3dg92is9b06rwaybmoh,3,1,11,3,1,1,no-go,ngw,0,1,,0,0.5586,0.445542,0.003352,-0.071504,0.44387
09byk3dg92is9b06rwaybmoh,3,1,16,4,1,1,no-go,ngw,1,0,0.852,0,0.5848,0.584571,0.002534,-0.133791,0.583304
09byk3dg92is9b06rwaybmoh,3,1,20,5,1,1,no-go,ngw,1,0,0.77,0,0.5886,0.584571,0.002534,-0.133791,0.583304
09byk3dg92is9b06rwaybmoh,3,1,22,6,1,1,no-go,ngw,1,0,0.772,0,0.5832,0.584571,0.002534,-0.133791,0.583304
09byk3dg92is9b06rwaybmoh,3,1,28,7,1,1,no-go,ngw,0,1,,1,0.5872,0.415429,0.002534,-0.040341,0.414163
09byk3dg92is9b06rwaybmoh,3,1,32,8,1,1,no-go,ngw,0,1,,1,0.509,0.500666,0.005051,-0.056095,0.498141
09byk3dg92is9b06rwaybmoh,3,1,36,9,1,1,no-go,ngw,0,1,,1,0.4358,0.560886,0.007651,-0.191367,0.557053
09byk3dg92is9b06rwaybmoh,3,1,39,10,1,1,no-go,ngw,0,1,,0,0.398,0.603103,0.009745,-0.166886,0.598209
09byk3dg92is9b06rwaybmoh,3,1,2,1,2,1,no-go,ngw,0,1,,0,0.6576,0.343774,0.001779,-0.163488,0.342886
09byk3dg92is9b06rwaybmoh,3,1,6,2,2,1,no-go,ngw,1,0,0.709,0,0.6672,0.656226,0.001779,-0.121274,0.655335
09byk3dg92is9b06rwaybmoh,3,1,10,3,2,1,no-go,ngw,1,0,0.929,1,0.6668,0.656226,0.001779,-0.121274,0.655335
09byk3dg92is9b06rwaybmoh,3,1,14,4,2,1,no-go,ngw,1,0,0.599,0,0.7312,0.743517,0.002593,-0.071821,0.742218
09byk3dg92is9b06rwaybmoh,3,1,17,5,2,1,no-go,ngw,1,0,1.043,0,0.7292,0.720521,0.002124,-0.044136,0.719456
09byk3dg92is9b06rwaybmoh,3,1,23,6,2,1,no-go,ngw,0,1,,1,0.6978,0.295888,0.001984,-0.118151,0.294897
09byk3dg92is9b06rwaybmoh,3,1,27,7,2,1,no-go,ngw,0,1,,1,0.6054,0.391436,0.002574,-0.123268,0.390155
