name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
lp__	-11500.0	0.72	22.5	-11600.0	-11500.0	-11500.0	978.0	0.526	1.0
theta_mu[1]	0.715	0.00201	0.0594	0.601	0.713	0.833	875.0	0.471	1.0
theta_mu[2]	0.023	0.000224	0.00953	0.00329	0.0229	0.0407	1806.0	0.971	1.0
theta_mu[3]	0.108	0.000237	0.012	0.0836	0.108	0.131	2558.0	1.38	1.0
theta_mu[4]	-0.747	0.0027	0.0862	-0.928	-0.746	-0.584	1016.0	0.546	1.01
theta_mu[5]	0.403	0.000864	0.0474	0.308	0.402	0.495	3003.0	1.62	1.0
theta_pr[1,1]	-0.529	0.0117	0.729	-1.52	-0.689	1.26	3907.0	2.1	1.0
theta_pr[1,2]	-0.432	0.00764	0.427	-1.06	-0.517	0.536	3131.0	1.68	1.0
theta_pr[1,3]	1.2	0.00801	0.543	0.246	1.16	2.34	4598.0	2.47	1.0
theta_pr[1,4]	-0.58	0.0123	0.757	-1.62	-0.749	1.13	3798.0	2.04	1.0
theta_pr[1,5]	-0.385	0.00795	0.377	-0.981	-0.441	0.465	2254.0	1.21	1.0
theta_pr[1,6]	-0.711	0.00513	0.18	-1.08	-0.711	-0.372	1229.0	0.661	1.0
theta_pr[1,7]	0.016	0.00781	0.481	-0.756	-0.0525	1.1	3800.0	2.04	1.0
theta_pr[1,8]	0.443	0.00892	0.574	-0.495	0.366	1.73	4148.0	2.23	1.0
theta_pr[1,9]	1.63	0.00788	0.574	0.581	1.6	2.81	5295.0	2.85	1.0
theta_pr[1,10]	-0.105	0.00512	0.254	-0.58	-0.118	0.414	2468.0	1.33	1.0
theta_pr[1,11]	1.42	0.00773	0.552	0.411	1.38	2.56	5109.0	2.75	1.0
theta_pr[1,12]	-0.809	0.00945	0.475	-1.44	-0.925	0.427	2529.0	1.36	1.0
theta_pr[1,13]	-1.03	0.0115	0.449	-1.57	-1.13	0.187	1533.0	0.825	1.0
theta_pr[1,14]	0.0743	0.00957	0.53	-0.703	-0.0222	1.31	3075.0	1.65	1.0
theta_pr[1,15]	-0.84	0.014	0.673	-1.65	-1.06	0.873	2321.0	1.25	1.0
theta_pr[1,16]	0.409	0.00712	0.405	-0.281	0.37	1.29	3242.0	1.74	1.0
theta_pr[1,17]	-0.277	0.0116	0.639	-1.18	-0.42	1.18	3027.0	1.63	1.0
theta_pr[1,18]	0.167	0.00976	0.667	-0.913	0.077	1.65	4666.0	2.51	1.0
theta_pr[1,19]	-0.0183	0.01	0.593	-0.903	-0.118	1.35	3504.0	1.88	1.0
theta_pr[1,20]	1.21	0.00787	0.543	0.234	1.16	2.33	4769.0	2.57	1.0
theta_pr[1,21]	-0.00709	0.01	0.7	-1.13	-0.103	1.54	4879.0	2.62	1.0
theta_pr[1,22]	-0.752	0.00586	0.222	-1.2	-0.76	-0.308	1433.0	0.771	1.0
theta_pr[1,23]	1.07	0.00772	0.51	0.153	1.01	2.14	4370.0	2.35	1.0
theta_pr[1,24]	0.491	0.00935	0.616	-0.53	0.422	1.81	4348.0	2.34	1.0
theta_pr[1,25]	-0.981	0.00628	0.214	-1.37	-0.993	-0.571	1155.0	0.621	1.0
theta_pr[1,26]	0.558	0.00874	0.508	-0.283	0.494	1.67	3380.0	1.82	1.0
theta_pr[1,27]	-0.437	0.0111	0.67	-1.38	-0.582	1.13	3679.0	1.98	1.0
theta_pr[1,28]	-0.237	0.012	0.8	-1.47	-0.364	1.48	4436.0	2.39	1.0
theta_pr[1,29]	-0.606	0.0119	0.636	-1.45	-0.776	0.914	2830.0	1.52	1.0
theta_pr[1,30]	-0.877	0.00614	0.211	-1.28	-0.888	-0.469	1179.0	0.634	1.0
theta_pr[1,31]	-0.492	0.00691	0.278	-0.987	-0.517	0.0872	1620.0	0.871	1.0
theta_pr[1,32]	0.182	0.00975	0.633	-0.884	0.109	1.56	4213.0	2.27	1.0
theta_pr[1,33]	-0.0362	0.00717	0.399	-0.688	-0.0844	0.825	3088.0	1.66	1.0
theta_pr[1,34]	-0.275	0.00927	0.505	-0.995	-0.38	0.9	2960.0	1.59	1.0
theta_pr[1,35]	0.867	0.00875	0.567	-0.0999	0.81	2.09	4204.0	2.26	1.0
theta_pr[1,36]	0.638	0.00803	0.507	-0.191	0.574	1.7	3982.0	2.14	1.0
theta_pr[1,37]	0.335	0.00748	0.384	-0.3	0.287	1.17	2640.0	1.42	1.0
theta_pr[1,38]	0.529	0.00949	0.605	-0.456	0.448	1.86	4063.0	2.19	1.0
theta_pr[1,39]	1.75	0.00748	0.551	0.722	1.72	2.86	5424.0	2.92	0.999
theta_pr[1,40]	-0.635	0.00521	0.191	-1.02	-0.639	-0.264	1350.0	0.726	1.0
theta_pr[1,41]	-0.32	0.00907	0.504	-1.04	-0.424	0.882	3084.0	1.66	1.0
theta_pr[1,42]	-0.265	0.00771	0.383	-0.842	-0.326	0.633	2467.0	1.33	1.0
theta_pr[1,43]	-0.794	0.013	0.59	-1.52	-0.96	0.711	2053.0	1.1	1.0
theta_pr[1,44]	-1.06	0.0133	0.452	-1.59	-1.17	0.164	1157.0	0.622	1.0
theta_pr[1,45]	1.11	0.00899	0.646	-0.0275	1.04	2.42	5158.0	2.77	1.0
theta_pr[1,46]	-0.179	0.00963	0.643	-1.15	-0.286	1.27	4460.0	2.4	1.0
theta_pr[1,47]	-0.543	0.0111	0.581	-1.28	-0.705	0.912	2748.0	1.48	1.0
theta_pr[1,48]	-0.34	0.00915	0.506	-1.08	-0.442	0.861	3053.0	1.64	1.0
theta_pr[1,49]	-0.341	0.00916	0.489	-1.04	-0.446	0.821	2851.0	1.53	1.0
theta_pr[1,50]	-0.886	0.00984	0.349	-1.41	-0.929	-0.155	1257.0	0.676	1.0
theta_pr[1,51]	-0.388	0.00855	0.416	-1.0	-0.465	0.676	2367.0	1.27	1.0
theta_pr[1,52]	0.285	0.00641	0.367	-0.368	0.246	1.06	3267.0	1.76	1.0
theta_pr[1,53]	-1.29	0.0161	0.661	-2.11	-1.46	0.561	1696.0	0.912	1.0
theta_pr[1,54]	-0.303	0.0114	0.703	-1.33	-0.443	1.27	3816.0	2.05	1.0
theta_pr[1,55]	1.99	0.00778	0.597	0.873	1.95	3.2	5886.0	3.17	0.999
theta_pr[1,56]	-0.49	0.0096	0.452	-1.12	-0.588	0.625	2219.0	1.19	1.0
theta_pr[1,57]	-0.573	0.0113	0.678	-1.5	-0.732	1.04	3577.0	1.92	1.0
theta_pr[1,58]	0.00037	0.0101	0.68	-1.06	-0.104	1.51	4515.0	2.43	1.0
theta_pr[1,59]	-1.06	0.0112	0.363	-1.56	-1.12	-0.227	1053.0	0.566	1.0
theta_pr[1,60]	1.92	0.0076	0.57	0.837	1.89	3.04	5614.0	3.02	1.0
theta_pr[1,61]	0.362	0.0058	0.346	-0.271	0.341	1.08	3546.0	1.91	1.0
theta_pr[1,62]	-0.951	0.0116	0.484	-1.51	-1.08	0.412	1745.0	0.938	1.0
theta_pr[1,63]	-0.557	0.0109	0.531	-1.26	-0.676	0.714	2369.0	1.27	1.0
theta_pr[1,64]	0.281	0.00996	0.693	-0.912	0.203	1.74	4842.0	2.6	1.0
theta_pr[1,65]	0.112	0.00807	0.47	-0.621	0.0361	1.18	3390.0	1.82	1.0
theta_pr[1,66]	-0.125	0.00694	0.387	-0.79	-0.171	0.72	3109.0	1.67	1.0
theta_pr[1,67]	-0.375	0.00562	0.229	-0.816	-0.387	0.0834	1655.0	0.89	1.0
theta_pr[1,68]	1.45	0.00765	0.577	0.399	1.4	2.67	5695.0	3.06	1.0
theta_pr[1,69]	0.738	0.00771	0.491	-0.0935	0.689	1.8	4060.0	2.18	1.0
theta_pr[1,70]	0.467	0.00885	0.546	-0.405	0.391	1.66	3807.0	2.05	0.999
theta_pr[1,71]	-0.214	0.00914	0.508	-0.95	-0.324	0.973	3086.0	1.66	1.0
theta_pr[1,72]	1.9	0.00754	0.586	0.8	1.87	3.07	6053.0	3.26	1.0
theta_pr[1,73]	2.76	0.00787	0.665	1.49	2.73	4.04	7138.0	3.84	1.0
theta_pr[1,74]	-0.451	0.0107	0.507	-1.12	-0.575	0.842	2235.0	1.2	1.0
theta_pr[1,75]	-0.572	0.0125	0.725	-1.52	-0.75	1.15	3352.0	1.8	1.0
theta_pr[1,76]	1.92	0.0076	0.578	0.816	1.9	3.08	5786.0	3.11	1.0
theta_pr[1,77]	-0.872	0.00906	0.358	-1.36	-0.939	-0.00373	1560.0	0.839	1.0
theta_pr[1,78]	-0.916	0.0114	0.437	-1.47	-1.02	0.24	1479.0	0.795	1.0
theta_pr[1,79]	-0.296	0.00663	0.333	-0.846	-0.335	0.441	2527.0	1.36	1.0
theta_pr[1,80]	-0.768	0.00527	0.206	-1.17	-0.773	-0.368	1533.0	0.825	1.0
theta_pr[1,81]	0.0245	0.0104	0.676	-0.986	-0.0807	1.49	4180.0	2.25	1.0
theta_pr[1,82]	-0.339	0.00596	0.266	-0.814	-0.353	0.196	1995.0	1.07	1.0
theta_pr[1,83]	-1.15	0.0114	0.394	-1.64	-1.22	-0.0722	1203.0	0.647	1.01
theta_pr[1,84]	-0.271	0.00999	0.551	-1.06	-0.383	1.06	3038.0	1.63	1.0
theta_pr[1,85]	1.43	0.00789	0.551	0.397	1.4	2.54	4879.0	2.62	1.0
theta_pr[1,86]	-0.173	0.01	0.521	-1.05	-0.231	0.963	2710.0	1.46	1.0
theta_pr[1,87]	-1.14	0.00998	0.35	-1.61	-1.2	-0.278	1227.0	0.66	1.0
theta_pr[1,88]	-0.0762	0.00623	0.319	-0.625	-0.111	0.609	2619.0	1.41	1.0
theta_pr[1,89]	-0.409	0.0112	0.685	-1.34	-0.569	1.18	3734.0	2.01	1.0
theta_pr[1,90]	-0.0295	0.00565	0.288	-0.549	-0.0499	0.563	2601.0	1.4	1.0
theta_pr[1,91]	0.0535	0.0117	0.754	-1.22	-0.0255	1.63	4172.0	2.24	1.0
theta_pr[1,92]	1.23	0.00771	0.54	0.258	1.19	2.37	4914.0	2.64	0.999
theta_pr[1,93]	1.09	0.00714	0.498	0.223	1.06	2.14	4871.0	2.62	0.999
theta_pr[1,94]	-1.18	0.00989	0.283	-1.61	-1.21	-0.648	819.0	0.44	1.0
theta_pr[1,95]	-0.967	0.0143	0.627	-1.73	-1.15	0.724	1935.0	1.04	0.999
theta_pr[1,96]	0.161	0.01	0.648	-0.851	0.0695	1.57	4162.0	2.24	1.0
theta_pr[1,97]	-0.0428	0.0107	0.678	-1.06	-0.159	1.51	4017.0	2.16	1.0
theta_pr[1,98]	-0.879	0.00952	0.316	-1.34	-0.923	-0.157	1104.0	0.594	1.0
theta_pr[1,99]	0.52	0.00637	0.398	-0.172	0.482	1.38	3910.0	2.1	1.0
theta_pr[2,1]	-1.16	0.00574	0.407	-2.06	-1.16	-0.414	5040.0	2.71	1.0
theta_pr[2,2]	-0.633	0.00581	0.448	-1.57	-0.623	0.182	5942.0	3.2	1.0
theta_pr[2,3]	1.12	0.00738	0.614	-0.0916	1.12	2.32	6924.0	3.72	1.0
theta_pr[2,4]	-0.219	0.00525	0.394	-1.02	-0.218	0.515	5612.0	3.02	1.0
theta_pr[2,5]	0.336	0.00577	0.449	-0.563	0.334	1.2	6040.0	3.25	0.999
theta_pr[2,6]	-1.04	0.00619	0.487	-2.06	-1.03	-0.148	6191.0	3.33	1.0
theta_pr[2,7]	-0.605	0.00561	0.426	-1.5	-0.601	0.192	5763.0	3.1	1.0
theta_pr[2,8]	0.369	0.00584	0.461	-0.57	0.37	1.23	6233.0	3.35	1.0
theta_pr[2,9]	0.591	0.00692	0.594	-0.633	0.591	1.71	7373.0	3.97	1.0
theta_pr[2,10]	-1.77	0.00666	0.561	-2.99	-1.77	-0.734	7109.0	3.82	1.0
theta_pr[2,11]	-0.729	0.00666	0.543	-1.85	-0.719	0.261	6643.0	3.57	1.0
theta_pr[2,12]	0.784	0.00562	0.423	-0.0921	0.784	1.57	5656.0	3.04	1.0
theta_pr[2,13]	0.661	0.00521	0.407	-0.179	0.659	1.44	6110.0	3.29	1.0
theta_pr[2,14]	-0.33	0.00593	0.447	-1.26	-0.33	0.513	5699.0	3.07	1.0
theta_pr[2,15]	-0.0152	0.00543	0.387	-0.806	-0.016	0.722	5080.0	2.73	1.0
theta_pr[2,16]	-0.397	0.00661	0.51	-1.44	-0.392	0.546	5945.0	3.2	1.0
theta_pr[2,17]	1.13	0.00552	0.43	0.277	1.12	1.96	6078.0	3.27	1.0
theta_pr[2,18]	-1.09	0.00558	0.404	-1.94	-1.08	-0.334	5247.0	2.82	1.0
theta_pr[2,19]	0.552	0.00541	0.451	-0.354	0.545	1.42	6951.0	3.74	1.0
theta_pr[2,20]	-0.877	0.0067	0.576	-2.07	-0.886	0.196	7382.0	3.97	1.0
theta_pr[2,21]	0.142	0.00528	0.399	-0.67	0.145	0.881	5705.0	3.07	1.0
theta_pr[2,22]	0.639	0.00576	0.468	-0.307	0.629	1.57	6594.0	3.55	1.0
theta_pr[2,23]	1.17	0.00718	0.563	0.0517	1.17	2.27	6136.0	3.3	1.0
theta_pr[2,24]	-0.424	0.00528	0.414	-1.27	-0.423	0.354	6149.0	3.31	1.0
theta_pr[2,25]	-0.555	0.00561	0.424	-1.44	-0.556	0.233	5725.0	3.08	1.0
theta_pr[2,26]	-0.177	0.00604	0.494	-1.22	-0.177	0.757	6684.0	3.6	0.999
theta_pr[2,27]	0.728	0.00561	0.412	-0.0963	0.725	1.53	5394.0	2.9	1.0
theta_pr[2,28]	0.975	0.00527	0.407	0.166	0.962	1.76	5972.0	3.21	1.0
theta_pr[2,29]	-2.7	0.00688	0.488	-3.73	-2.68	-1.82	5035.0	2.71	0.999
theta_pr[2,30]	0.232	0.00599	0.453	-0.698	0.234	1.1	5712.0	3.07	1.0
theta_pr[2,31]	-0.621	0.00618	0.466	-1.58	-0.618	0.251	5691.0	3.06	1.0
theta_pr[2,32]	0.38	0.00508	0.4	-0.45	0.38	1.13	6202.0	3.34	1.0
theta_pr[2,33]	-0.00812	0.00682	0.53	-1.09	-0.0215	0.995	6058.0	3.26	1.0
theta_pr[2,34]	1.14	0.0059	0.447	0.286	1.12	1.99	5726.0	3.08	1.0
theta_pr[2,35]	-0.567	0.00561	0.464	-1.54	-0.563	0.304	6856.0	3.69	1.0
theta_pr[2,36]	1.29	0.00566	0.504	0.29	1.27	2.28	7931.0	4.27	1.0
